image_name,height,width,pixels
Berberis_thunbergii.npy,180,288,51840
Berberis_vulgaris.npy,293,423,123939
Betula_papyrifera.npy,1810,1001,1811810
Betula_pendula.npy,952,372,354144
Clematis_vitalba.npy,1650,1199,1978350
Fallopia_aubertii.npy,912,460,419520
Frangula_alnus.npy,808,528,426624
Hedera_helixSTERILE.npy,2282,1325,3023650
Koelreuteria_paniculata.npy,1236,700,865200
Laburnum_anagyroides.npy,340,577,196180
Physocarpus_opulifolius.npy,782,1008,788256
Quercus_cerris.npy,2028,788,1598064
Quercus_palustris.npy,1100,2144,2358400
Robinia_viscosa.npy,605,820,496100
Sorbus_intermedia.npy,1620,868,1406160
Syringa_chinensis.npy,852,372,316944
Tilia_cordata.npy,808,632,510656
Tilia_tomentosa.npy,1532,1188,1820016
Viburnum_rhytidophyllum.npy,654,2239,1464306
Zelkova_serrata.npy,2064,844,1742016
