image_name,height,width,pixels
Actinidia_arguta.npy,1568,924,1448832
Amygdalus_communis.npy,1590,468,744120
Caragana_arborescens.npy,224,380,85120
Carya_ovata.npy,3506,1210,4242260
Celtis_occidentalis.npy,1408,668,940544
Clematis_vitalba.npy,1650,1199,1978350
Cornus_alba.npy,2196,1244,2731824
Cotoneaster_horizontalis.npy,756,231,174636
Euonymus_verrucosa.npy,471,856,403176
Ginkgo_biloba.npy,1636,1076,1760336
Hedera_helixSTERILE.npy,2282,1325,3023650
Juglans_regia.npy,1636,856,1400416
Kolkwitzia_amabilis.npy,825,1045,862125
Laburnum_anagyroides.npy,340,577,196180
Ledum_palustre.npy,187,962,179894
Ligustrum_ovalifolium.npy,1166,600,699600
Loranthus_europaeus.npy,189,352,66528
Magnolia_hypoleuca.npy,3982,2072,8250704
Philadelphus_coronarius.npy,570,960,547200
Populus_alba.npy,1668,1072,1788096
Quercus_cerris.npy,2028,788,1598064
Quercus_macrocarpa.npy,1370,2327,3187990
Quercus_petraea.npy,2004,1028,2060112
Salix_pentandra.npy,627,1521,953667
Sambucus_nigra.npy,1516,624,945984
Spiraea_douglasii.npy,329,730,240170
Ulmus_minor.npy,1112,556,618272
Viburnum_pragense.npy,286,894,255684
Vinca_major.npy,398,698,277804
Weigela_florida.npy,277,572,158444
