image_name,height,width,pixels
HCircle-10_binary.npy,331,194,64214
bat-10_binary.npy,346,740,256040
bottle-01_binary.npy,288,352,101376
cattle-10_binary.npy,345,580,200100
cellular_phone-10_binary.npy,194,471,91374
crown-10_binary.npy,89,172,15308
cup-10_binary.npy,298,372,110856
device2-10_binary.npy,512,512,262144
device7-10_binary.npy,512,512,262144
elephant-10_binary.npy,289,298,86122
fly-10_binary.npy,311,346,107606
hat-10_binary.npy,87,199,17313
horse-10_binary.npy,404,417,168468
horseshoe-10_binary.npy,61,59,3599
jar-10_binary.npy,512,512,262144
key-10_binary.npy,230,379,87170
lizzard-10_binary.npy,308,527,162316
pencil-10_binary.npy,217,485,105245
personal_car-10_binary.npy,219,400,87600
tree-10_binary.npy,256,256,65536
