image_name,height,width,pixels
Bone-10_binary.npy,439,357,156723
Comma-10_binary.npy,419,269,112711
Glas-10_binary.npy,358,322,115276
HCircle-10_binary.npy,331,194,64214
Heart-10_binary.npy,384,447,171648
Misk-10_binary.npy,403,336,135408
apple-10_binary.npy,256,256,65536
bat-10_binary.npy,346,740,256040
beetle-10_binary.npy,418,412,172216
bell-10_binary.npy,420,320,134400
bird-10_binary.npy,386,390,150540
bottle-01_binary.npy,288,352,101376
brick-01_binary.npy,288,352,101376
butterfly-10_binary.npy,304,373,113392
camel-10_binary.npy,333,369,122877
car-01_binary.npy,288,352,101376
carriage-01_binary.npy,288,352,101376
cattle-10_binary.npy,345,580,200100
cellular_phone-10_binary.npy,194,471,91374
chicken-10_binary.npy,139,139,19321
children-10_binary.npy,240,352,84480
chopper-01_binary.npy,288,352,101376
classic-10_binary.npy,166,309,51294
crown-10_binary.npy,89,172,15308
cup-10_binary.npy,298,372,110856
deer-10_binary.npy,551,500,275500
device0-10_binary.npy,512,512,262144
device1-10_binary.npy,512,512,262144
device2-10_binary.npy,512,512,262144
device3-10_binary.npy,558,558,311364
device4-10_binary.npy,558,558,311364
device5-10_binary.npy,558,558,311364
device6-10_binary.npy,558,558,311364
device7-10_binary.npy,512,512,262144
device8-10_binary.npy,558,558,311364
device9-10_binary.npy,558,558,311364
dog-10_binary.npy,187,255,47685
elephant-10_binary.npy,289,298,86122
face-10_binary.npy,337,269,90653
fish-10_binary.npy,59,209,12331
flatfish-10_binary.npy,214,420,89880
fly-10_binary.npy,311,346,107606
fork-10_binary.npy,480,640,307200
fountain-01_binary.npy,243,360,87480
frog-10_binary.npy,274,285,78090
guitar-10_binary.npy,639,348,222372
hammer-10_binary.npy,256,256,65536
hat-10_binary.npy,87,199,17313
horse-10_binary.npy,404,417,168468
horseshoe-10_binary.npy,61,59,3599
jar-10_binary.npy,512,512,262144
key-10_binary.npy,230,379,87170
lizzard-10_binary.npy,308,527,162316
lmfish-10_binary.npy,168,323,54264
octopus-10_binary.npy,256,256,65536
pencil-10_binary.npy,217,485,105245
personal_car-10_binary.npy,219,400,87600
pocket-10_binary.npy,128,90,11520
rat-01_binary.npy,288,352,101376
ray-10_binary.npy,638,635,405130
sea_snake-10_binary.npy,161,161,25921
shoe-10_binary.npy,263,480,126240
spoon-10_binary.npy,256,256,65536
spring-10_binary.npy,353,582,205446
stef-01_binary.npy,240,352,84480
teddy-01_binary.npy,243,360,87480
tree-10_binary.npy,256,256,65536
truck-01_binary.npy,288,352,101376
turtle-10_binary.npy,175,345,60375
watch-10_binary.npy,245,500,122500
