image_name,height,width,pixels
Acer_campestre.npy,2056,1512,3108672
Acer_ginnala.npy,1180,588,693840
Acer_monspessulanum.npy,718,582,417876
Acer_negundo.npy,1252,764,956528
Acer_palmatum.npy,924,660,609840
Acer_platanoides.npy,1920,1606,3083520
Acer_pseudoplatanus.npy,3113,2047,6372311
Acer_saccharinum.npy,2164,1624,3514336
Acer_saccharum.npy,2172,1620,3518640
Acer_tataricum.npy,1326,742,983892
Actinidia_arguta.npy,1568,924,1448832
Aesculus_carnea.npy,3506,2549,8936794
Aesculus_glabra.npy,1595,516,823020
Aesculus_hippocastanum.npy,1660,824,1367840
Aesculus_octandra.npy,2549,802,2044298
Aesculus_pavia.npy,493,1449,714357
Ailanthus_altissima.npy,2920,968,2826560
Alnus_alnobetula.npy,895,553,494935
Alnus_glutinosa.npy,1624,932,1513568
Alnus_incana.npy,1804,1132,2042128
Alnus_orientalis.npy,1078,639,688842
Amelanchier_ovalis.npy,1138,709,806842
Amorpha_fruticosa.npy,736,372,273792
Amygdalus_communis.npy,1590,468,744120
Arctostaphylos_uvaursi.npy,308,407,125356
Aronia_melanocarpa.npy,1180,660,778800
Berberis_thunbergii.npy,180,288,51840
Berberis_vulgaris.npy,293,423,123939
Betula_nana.npy,500,420,210000
Betula_papyrifera.npy,1810,1001,1811810
Betula_pendula.npy,952,372,354144
Betula_pubescens.npy,892,440,392480
Buddleja_davidii.npy,2549,696,1774104
Buxus_sempervirens.npy,508,356,180848
Caragana_arborescens.npy,224,380,85120
Carpinus_betulus.npy,1324,644,852656
Carya_ovata.npy,3506,1210,4242260
Castanea_sativa.npy,3448,1661,5727128
Catalpa_bignonioides.npy,2838,2062,5851956
Celtis_occidentalis.npy,1408,668,940544
Cercidiphyllum_japonicum.npy,1084,1000,1084000
Cercis_siliquastrum.npy,1320,1580,2085600
Chaenomeles_japonica.npy,1176,616,724416
Clematis_vitalba.npy,1650,1199,1978350
Colutea_arborescens.npy,472,448,211456
Cornus_alba.npy,2196,1244,2731824
Cornus_mas.npy,1148,746,856408
Cornus_sanguinea.npy,407,775,315425
Corylus_avellana.npy,2168,1496,3243328
Corylus_colurna.npy,2008,1448,2907584
Corylus_maxima.npy,1680,1068,1794240
Cotinus_coggygria.npy,1636,904,1478944
Cotoneaster_horizontalis.npy,756,231,174636
Cotoneaster_integerrimus.npy,249,376,93624
Crataegus_monogyna.npy,534,385,205590
Cydonia_oblonga.npy,1276,752,959552
Daphne_mezereum.npy,605,1644,994620
Deutzia_scabra.npy,1078,522,562716
Elaeagnus_angustifolia.npy,940,360,338400
Euonymus_europaea.npy,1230,601,739230
Euonymus_verrucosa.npy,471,856,403176
Fagus_sylvatica.npy,1584,1020,1615680
Fallopia_aubertii.npy,912,460,419520
Ficus_carica.npy,1983,1578,3129174
Forsythia_intermedia.npy,1212,460,557520
Frangula_alnus.npy,808,528,426624
Fraxinus_excelsior.npy,1744,990,1726560
Fraxinus_ornus.npy,1128,492,554976
Ginkgo_biloba.npy,1636,1076,1760336
Gleditsia_triacanthos.npy,584,312,182208
Gymnocladus_dioicus.npy,1100,559,614900
Hamamelis_japonica.npy,1248,840,1048320
Hamamelis_virginiana.npy,1308,780,1020240
Hedera_helixFERTILE.npy,2060,1332,2743920
Hedera_helixSTERILE.npy,2282,1325,3023650
Hibiscus_syriacus.npy,1808,792,1431936
Hippophae_rhamnoides.npy,1060,234,248040
Humulus_lupulus.npy,1557,1875,2919375
Hydrangea_petiolaris.npy,3118,1408,4390144
Ilex_aquifolium.npy,644,348,224112
Juglans_cinerea.npy,1904,792,1507968
Juglans_nigra.npy,1804,580,1046320
Juglans_regia.npy,1636,856,1400416
Kerria_japonica.npy,1336,536,716096
Koelreuteria_paniculata.npy,1236,700,865200
Kolkwitzia_amabilis.npy,825,1045,862125
Laburnum_anagyroides.npy,340,577,196180
Laurus_nobilis.npy,1634,490,800660
Lavandula_angustifolia.npy,118,408,48144
Ledum_palustre.npy,187,962,179894
Ligustrum_ovalifolium.npy,1166,600,699600
Ligustrum_vulgare.npy,1240,612,758880
Liquidambar_styraciflua.npy,3506,2549,8936794
Liriodendron_tulipifera.npy,1924,1380,2655120
Lonicera_henryi.npy,357,1124,401268
Lonicera_involucrata.npy,1600,771,1233600
Lonicera_purpusii.npy,483,945,456435
Lonicera_tatarica.npy,302,699,211098
Lonicera_xylosteum.npy,644,475,305900
Loranthus_europaeus.npy,189,352,66528
Lycium_barbarum.npy,812,384,311808
Maclura_pomiferaFEMALE.npy,512,727,372224
Maclura_pomiferaMALE.npy,1353,540,730620
Magnolia_hypoleuca.npy,3982,2072,8250704
Magnolia_soulangeana.npy,2064,1168,2410752
Magnolia_specPETRIN.npy,783,2013,1576179
Mahonia_aquifolium.npy,1000,540,540000
Malus_domestica.npy,675,1656,1117800
Mespilus_germanica.npy,1784,720,1284480
Morus_alba.npy,1815,1347,2444805
Myrtus_communis.npy,604,352,212608
Nerium_oleander.npy,341,1727,588907
Olea_oleaster.npy,1198,270,323460
Ostrya_carpinifolia.npy,765,1488,1138320
Paliurus_spinachristi.npy,610,522,318420
Parthenocissus_inserta.npy,1356,576,781056
Parthenocissus_tricuspidata.npy,3350,1545,5175750
Paulownia_tomentosa.npy,2657,1931,5130667
Phellodendron_amurense.npy,1768,790,1396720
Philadelphus_coronarius.npy,570,960,547200
Physocarpus_opulifolius.npy,782,1008,788256
Pistacia_lentiscus.npy,544,319,173536
Pittosporum_tobira.npy,1534,682,1046188
Platanus_hispanica.npy,2470,2828,6985160
Populus_alba.npy,1668,1072,1788096
Populus_canadensis.npy,1772,1384,2452448
Populus_canescens.npy,1634,2101,3433034
Populus_nigra.npy,1932,1024,1978368
Populus_tremula.npy,1768,1144,2022592
Prunus_armeniaca.npy,1268,848,1075264
Prunus_avium.npy,3479,1384,4814936
Prunus_cerasifera.npy,712,459,326808
Prunus_laurocerasus.npy,1692,648,1096416
Prunus_mahaleb.npy,1192,600,715200
Prunus_padus.npy,584,1158,676272
Prunus_persica.npy,3510,2550,8950500
Prunus_spinosa.npy,940,460,432400
Pterocarya_pterocarpa.npy,2008,668,1341344
Punica_granatum.npy,1023,412,421476
Pyracantha_coccinea.npy,712,284,202208
Pyrus_amygdaliformis.npy,842,274,230708
Quercus_cerris.npy,2028,788,1598064
Quercus_frainetto.npy,1840,1056,1943040
Quercus_macrocarpa.npy,1370,2327,3187990
Quercus_palustris.npy,1100,2144,2358400
Quercus_petraea.npy,2004,1028,2060112
Quercus_pubescens.npy,1509,912,1376208
Quercus_robur.npy,1640,1044,1712160
Quercus_rubra.npy,2296,1616,3710336
Rhamnus_cathartica.npy,822,472,387984
Rhus_hirta.npy,1564,472,738208
Ribes_alpinum.npy,892,590,526280
Ribes_rubra.npy,1051,1499,1575449
Robinia_pseudacacia.npy,920,632,581440
Robinia_viscosa.npy,605,820,496100
Rosa_canina.npy,358,684,244872
Ruscus_aculeatus.npy,452,720,325440
Salix_alba.npy,700,180,126000
Salix_aurita.npy,424,816,345984
Salix_caprea.npy,1676,836,1401136
Salix_pentandra.npy,627,1521,953667
Salix_purpurea.npy,393,1743,684999
Sambucus_nigra.npy,1516,624,945984
Sambucus_racemosa.npy,1436,666,956376
Sophora_japonica.npy,1104,408,450432
Sorbaria_sorbifolia.npy,370,820,303400
Sorbus_aria.npy,1568,840,1317120
Sorbus_aucuparia.npy,822,323,265506
Sorbus_domestica.npy,836,456,381216
Sorbus_intermedia.npy,1620,868,1406160
Sorbus_torminalis.npy,1454,1262,1834948
Spiraea_douglasii.npy,329,730,240170
Spiraea_japonica.npy,1100,539,592900
Spiraea_salicifolia.npy,742,363,269346
Spiraea_vanhouttei.npy,896,452,404992
Staphylea_pinnata.npy,1112,772,858464
Symphoricarpos_albus.npy,832,472,392704
Symphoricarpos_orbiculatus.npy,195,292,56940
Syringa_chinensis.npy,852,372,316944
Syringa_josikaea.npy,1708,812,1386896
Syringa_prestoniae.npy,1056,2268,2395008
Syringa_vulgaris.npy,1480,772,1142560
Tilia_cordata.npy,808,632,510656
Tilia_platyphyllos.npy,1936,1556,3012416
Tilia_tomentosa.npy,1532,1188,1820016
Ulmus_glabra.npy,1224,668,817632
Ulmus_laevis.npy,2016,1344,2709504
Ulmus_minor.npy,1112,556,618272
Ulmus_pumila.npy,924,508,469392
Vaccinium_myrtillus.npy,287,312,89544
Vaccinium_uliginosum.npy,374,556,207944
Vaccinium_vitisidaea.npy,385,341,131285
Viburnum_farreri.npy,1404,558,783432
Viburnum_lantana.npy,1100,2539,2792900
Viburnum_opulus.npy,640,901,576640
Viburnum_pragense.npy,286,894,255684
Viburnum_rhytidophyllum.npy,654,2239,1464306
Vinca_major.npy,398,698,277804
Vinca_minor.npy,788,296,233248
Vitis_riparia.npy,1596,1436,2291856
Vitis_vinifera.npy,2470,2071,5115370
Weigela_florida.npy,277,572,158444
Wisteria_sinensis.npy,1320,582,768240
Zelkova_serrata.npy,2064,844,1742016
