image_name,height,width,pixels
Acer_campestre_binary.npy,2056,1512,3108672
Acer_ginnala_binary.npy,1180,588,693840
Acer_monspessulanum_binary.npy,718,582,417876
Acer_negundo_binary.npy,1252,764,956528
Acer_palmatum_binary.npy,924,660,609840
Acer_platanoides_binary.npy,1920,1606,3083520
Acer_pseudoplatanus_binary.npy,3113,2047,6372311
Acer_saccharinum_binary.npy,2164,1624,3514336
Acer_saccharum_binary.npy,2172,1620,3518640
Acer_tataricum_binary.npy,1326,742,983892
Actinidia_arguta_binary.npy,1568,924,1448832
Aesculus_carnea_binary.npy,3506,2549,8936794
Aesculus_glabra_binary.npy,1595,516,823020
Aesculus_hippocastanum_binary.npy,1660,824,1367840
Aesculus_octandra_binary.npy,2549,802,2044298
Aesculus_pavia_binary.npy,493,1449,714357
Ailanthus_altissima_binary.npy,2920,968,2826560
Alnus_alnobetula_binary.npy,895,553,494935
Alnus_glutinosa_binary.npy,1624,932,1513568
Alnus_incana_binary.npy,1804,1132,2042128
Alnus_orientalis_binary.npy,1078,639,688842
Amelanchier_ovalis_binary.npy,1138,709,806842
Amorpha_fruticosa_binary.npy,736,372,273792
Amygdalus_communis_binary.npy,1590,468,744120
Arctostaphylos_uvaursi_binary.npy,308,407,125356
Aronia_melanocarpa_binary.npy,1180,660,778800
Berberis_thunbergii_binary.npy,180,288,51840
Berberis_vulgaris_binary.npy,293,423,123939
Betula_nana_binary.npy,500,420,210000
Betula_papyrifera_binary.npy,1810,1001,1811810
Betula_pendula_binary.npy,952,372,354144
Betula_pubescens_binary.npy,892,440,392480
Buddleja_davidii_binary.npy,2549,696,1774104
Buxus_sempervirens_binary.npy,508,356,180848
Caragana_arborescens_binary.npy,224,380,85120
Carpinus_betulus_binary.npy,1324,644,852656
Carya_ovata_binary.npy,3506,1210,4242260
Castanea_sativa_binary.npy,3448,1661,5727128
Catalpa_bignonioides_binary.npy,2838,2062,5851956
Celtis_occidentalis_binary.npy,1408,668,940544
Cercidiphyllum_japonicum_binary.npy,1084,1000,1084000
Cercis_siliquastrum_binary.npy,1320,1580,2085600
Chaenomeles_japonica_binary.npy,1176,616,724416
Clematis_vitalba_binary.npy,1650,1199,1978350
Colutea_arborescens_binary.npy,472,448,211456
Cornus_alba_binary.npy,2196,1244,2731824
Cornus_mas_binary.npy,1148,746,856408
Cornus_sanguinea_binary.npy,407,775,315425
Corylus_avellana_binary.npy,2168,1496,3243328
Corylus_colurna_binary.npy,2008,1448,2907584
Corylus_maxima_binary.npy,1680,1068,1794240
Cotinus_coggygria_binary.npy,1636,904,1478944
Cotoneaster_horizontalis_binary.npy,756,231,174636
Cotoneaster_integerrimus_binary.npy,249,376,93624
Crataegus_monogyna_binary.npy,534,385,205590
Cydonia_oblonga_binary.npy,1276,752,959552
Daphne_mezereum_binary.npy,605,1644,994620
Deutzia_scabra_binary.npy,1078,522,562716
Elaeagnus_angustifolia_binary.npy,940,360,338400
Euonymus_europaea_binary.npy,1230,601,739230
Euonymus_verrucosa_binary.npy,471,856,403176
Fagus_sylvatica_binary.npy,1584,1020,1615680
Fallopia_aubertii_binary.npy,912,460,419520
Ficus_carica_binary.npy,1983,1578,3129174
Forsythia_intermedia_binary.npy,1212,460,557520
Frangula_alnus_binary.npy,808,528,426624
Fraxinus_excelsior_binary.npy,1744,990,1726560
Fraxinus_ornus_binary.npy,1128,492,554976
Ginkgo_biloba_binary.npy,1636,1076,1760336
Gleditsia_triacanthos_binary.npy,584,312,182208
Gymnocladus_dioicus_binary.npy,1100,559,614900
Hamamelis_japonica_binary.npy,1248,840,1048320
Hamamelis_virginiana_binary.npy,1308,780,1020240
Hedera_helixFERTILE_binary.npy,2060,1332,2743920
Hedera_helixSTERILE_binary.npy,2282,1325,3023650
Hibiscus_syriacus_binary.npy,1808,792,1431936
Hippophae_rhamnoides_binary.npy,1060,234,248040
Humulus_lupulus_binary.npy,1557,1875,2919375
Hydrangea_petiolaris_binary.npy,3118,1408,4390144
Ilex_aquifolium_binary.npy,644,348,224112
Juglans_cinerea_binary.npy,1904,792,1507968
Juglans_nigra_binary.npy,1804,580,1046320
Juglans_regia_binary.npy,1636,856,1400416
Kerria_japonica_binary.npy,1336,536,716096
Koelreuteria_paniculata_binary.npy,1236,700,865200
Kolkwitzia_amabilis_binary.npy,825,1045,862125
Laburnum_anagyroides_binary.npy,340,577,196180
Laurus_nobilis_binary.npy,1634,490,800660
Lavandula_angustifolia_binary.npy,118,408,48144
Ledum_palustre_binary.npy,187,962,179894
Ligustrum_ovalifolium_binary.npy,1166,600,699600
