image_name,height,width,pixels
Bone-10_binary.npy,439,357,156723
Bone-11_binary.npy,439,342,150138
Bone-12_binary.npy,425,335,142375
Bone-13_binary.npy,313,357,111741
Bone-14_binary.npy,439,357,156723
Bone-15_binary.npy,439,357,156723
Bone-16_binary.npy,439,357,156723
Bone-17_binary.npy,439,357,156723
Bone-18_binary.npy,410,298,122180
Bone-19_binary.npy,439,357,156723
Bone-1_binary.npy,439,357,156723
Bone-20_binary.npy,439,271,118969
Bone-2_binary.npy,439,357,156723
Bone-3_binary.npy,439,357,156723
Bone-4_binary.npy,439,357,156723
Bone-5_binary.npy,439,357,156723
Bone-6_binary.npy,439,357,156723
Bone-7_binary.npy,439,357,156723
Bone-8_binary.npy,439,357,156723
Bone-9_binary.npy,439,357,156723
Comma-10_binary.npy,419,269,112711
Comma-11_binary.npy,472,230,108560
Comma-12_binary.npy,412,283,116596
Comma-13_binary.npy,445,283,125935
Comma-14_binary.npy,445,283,125935
Comma-15_binary.npy,445,284,126380
Comma-16_binary.npy,445,284,126380
Comma-17_binary.npy,430,287,123410
Comma-18_binary.npy,427,287,122549
Comma-19_binary.npy,430,287,123410
Comma-1_binary.npy,445,283,125935
Comma-20_binary.npy,424,285,120840
Comma-2_binary.npy,445,283,125935
Comma-3_binary.npy,445,283,125935
Comma-4_binary.npy,386,276,106536
Comma-5_binary.npy,445,283,125935
Comma-6_binary.npy,445,283,125935
Comma-7_binary.npy,445,283,125935
Comma-8_binary.npy,445,283,125935
Comma-9_binary.npy,359,282,101238
Glas-10_binary.npy,358,322,115276
Glas-11_binary.npy,289,324,93636
Glas-12_binary.npy,361,324,116964
Glas-13_binary.npy,361,324,116964
Glas-14_binary.npy,361,324,116964
Glas-15_binary.npy,361,317,114437
Glas-16_binary.npy,361,324,116964
Glas-17_binary.npy,361,262,94582
Glas-18_binary.npy,361,324,116964
Glas-19_binary.npy,361,324,116964
Glas-1_binary.npy,361,324,116964
Glas-20_binary.npy,361,324,116964
Glas-2_binary.npy,361,324,116964
Glas-3_binary.npy,361,324,116964
Glas-4_binary.npy,361,324,116964
Glas-5_binary.npy,361,324,116964
Glas-6_binary.npy,361,324,116964
