image_name,height,width,pixels
Bone-10_binary.npy,439,357,156723
Bone-13_binary.npy,313,357,111741
Bone-17_binary.npy,439,357,156723
Bone-18_binary.npy,410,298,122180
Comma-12_binary.npy,412,283,116596
Comma-13_binary.npy,445,283,125935
Comma-14_binary.npy,445,283,125935
Comma-17_binary.npy,430,287,123410
Glas-10_binary.npy,358,322,115276
Glas-11_binary.npy,289,324,93636
Glas-3_binary.npy,361,324,116964
Glas-8_binary.npy,361,324,116964
HCircle-12_binary.npy,331,194,64214
HCircle-16_binary.npy,331,194,64214
HCircle-17_binary.npy,331,194,64214
HCircle-6_binary.npy,331,194,64214
Heart-10_binary.npy,384,447,171648
Heart-16_binary.npy,384,464,178176
Heart-7_binary.npy,384,464,178176
Heart-9_binary.npy,380,423,160740
Misk-17_binary.npy,403,331,133393
Misk-3_binary.npy,403,331,133393
Misk-4_binary.npy,355,331,117505
Misk-7_binary.npy,404,329,132916
apple-10_binary.npy,256,256,65536
apple-15_binary.npy,256,256,65536
apple-18_binary.npy,256,256,65536
apple-8_binary.npy,256,256,65536
bat-14_binary.npy,464,719,333616
bat-18_binary.npy,403,612,246636
bat-1_binary.npy,585,626,366210
bat-3_binary.npy,730,781,570130
beetle-12_binary.npy,270,257,69390
beetle-13_binary.npy,201,198,39798
beetle-16_binary.npy,282,138,38916
beetle-1_binary.npy,660,613,404580
bell-13_binary.npy,253,190,48070
bell-20_binary.npy,480,640,307200
bell-2_binary.npy,64,59,3776
bell-7_binary.npy,149,112,16688
bird-11_binary.npy,288,261,75168
bird-18_binary.npy,241,274,66034
bird-4_binary.npy,739,715,528385
bird-9_binary.npy,261,288,75168
bottle-03_binary.npy,288,352,101376
bottle-04_binary.npy,288,352,101376
bottle-13_binary.npy,288,352,101376
bottle-18_binary.npy,288,352,101376
brick-07_binary.npy,288,352,101376
brick-10_binary.npy,288,352,101376
brick-12_binary.npy,288,352,101376
brick-18_binary.npy,288,352,101376
butterfly-11_binary.npy,474,483,228942
butterfly-12_binary.npy,359,392,140728
butterfly-17_binary.npy,614,593,364102
butterfly-19_binary.npy,421,429,180609
camel-12_binary.npy,320,376,120320
camel-13_binary.npy,317,385,122045
camel-17_binary.npy,376,367,137992
camel-2_binary.npy,323,352,113696
car-06_binary.npy,288,352,101376
car-09_binary.npy,288,352,101376
car-12_binary.npy,288,352,101376
car-15_binary.npy,288,352,101376
carriage-07_binary.npy,288,352,101376
carriage-09_binary.npy,288,352,101376
carriage-12_binary.npy,288,352,101376
carriage-20_binary.npy,288,352,101376
cattle-12_binary.npy,281,440,123640
cattle-15_binary.npy,498,520,258960
cattle-17_binary.npy,673,697,469081
cattle-7_binary.npy,481,501,240981
cellular_phone-15_binary.npy,168,385,64680
cellular_phone-18_binary.npy,186,424,78864
cellular_phone-2_binary.npy,146,366,53436
cellular_phone-4_binary.npy,204,469,95676
chicken-11_binary.npy,139,139,19321
chicken-17_binary.npy,266,286,76076
chicken-1_binary.npy,396,412,163152
chicken-7_binary.npy,135,123,16605
children-11_binary.npy,240,352,84480
children-17_binary.npy,240,352,84480
children-1_binary.npy,240,352,84480
children-2_binary.npy,240,352,84480
chopper-03_binary.npy,288,352,101376
chopper-07_binary.npy,288,352,101376
chopper-09_binary.npy,288,352,101376
chopper-11_binary.npy,288,352,101376
classic-16_binary.npy,278,481,133718
classic-2_binary.npy,145,376,54520
classic-4_binary.npy,333,744,247752
classic-5_binary.npy,333,744,247752
confusions_binary.npy,346,461,159506
crown-14_binary.npy,72,149,10728
crown-17_binary.npy,113,181,20453
crown-18_binary.npy,164,264,43296
crown-9_binary.npy,41,76,3116
