image_name,rectangle_count,execution_time_sec
Acer_campestre.npy,2067,0.38
Acer_ginnala.npy,849,0.08
Acer_monspessulanum.npy,529,0.05
Acer_negundo.npy,618,0.12
Acer_palmatum.npy,813,0.07
Acer_platanoides.npy,2375,0.43
Acer_pseudoplatanus.npy,2698,0.79
Acer_saccharinum.npy,3147,0.43
Acer_saccharum.npy,2475,0.44
Acer_tataricum.npy,692,0.12
Actinidia_arguta.npy,779,0.17
Aesculus_carnea.npy,1866,1.09
Aesculus_glabra.npy,581,0.1
Aesculus_hippocastanum.npy,908,0.17
Aesculus_octandra.npy,1437,0.25
Aesculus_pavia.npy,479,0.08
Ailanthus_altissima.npy,996,0.34
Alnus_alnobetula.npy,649,0.06
Alnus_glutinosa.npy,1220,0.18
Alnus_incana.npy,1129,0.25
Alnus_orientalis.npy,673,0.08
Amelanchier_ovalis.npy,584,0.1
Amorpha_fruticosa.npy,217,0.03
Amygdalus_communis.npy,285,0.09
Arctostaphylos_uvaursi.npy,99,0.01
Aronia_melanocarpa.npy,786,0.09
Berberis_thunbergii.npy,93,0.01
Berberis_vulgaris.npy,219,0.01
Betula_nana.npy,150,0.02
Betula_papyrifera.npy,1174,0.22
Betula_pendula.npy,386,0.04
Betula_pubescens.npy,393,0.05
Buddleja_davidii.npy,1271,0.22
Buxus_sempervirens.npy,160,0.02
Caragana_arborescens.npy,150,0.01
Carpinus_betulus.npy,722,0.1
Carya_ovata.npy,924,0.51
Castanea_sativa.npy,1661,0.68
Catalpa_bignonioides.npy,2029,0.7
Celtis_occidentalis.npy,690,0.12
Cercidiphyllum_japonicum.npy,1061,0.13
Cercis_siliquastrum.npy,1318,0.25
Chaenomeles_japonica.npy,642,0.09
Clematis_vitalba.npy,1182,0.24
Colutea_arborescens.npy,284,0.02
Cornus_alba.npy,1093,0.33
Cornus_mas.npy,534,0.1
Cornus_sanguinea.npy,307,0.04
Corylus_avellana.npy,2008,0.39
Corylus_colurna.npy,1831,0.35
Corylus_maxima.npy,1147,0.21
Cotinus_coggygria.npy,899,0.17
Cotoneaster_horizontalis.npy,124,0.02
Cotoneaster_integerrimus.npy,195,0.01
Crataegus_monogyna.npy,367,0.03
Cydonia_oblonga.npy,769,0.11
