image_name,rectangle_count,execution_time_sec
Acer_campestre.npy,2067,0.75
Acer_ginnala.npy,849,0.16
Acer_monspessulanum.npy,499,0.1
Acer_negundo.npy,618,0.23
Acer_palmatum.npy,813,0.14
Acer_platanoides.npy,2375,0.73
Acer_pseudoplatanus.npy,2698,1.55
Acer_saccharinum.npy,3147,0.97
Acer_saccharum.npy,2475,0.84
Acer_tataricum.npy,692,0.23
Actinidia_arguta.npy,779,0.34
Aesculus_carnea.npy,1866,2.14
Aesculus_glabra.npy,581,0.19
Aesculus_hippocastanum.npy,908,0.32
Aesculus_octandra.npy,1437,0.48
Aesculus_pavia.npy,479,0.17
Ailanthus_altissima.npy,996,0.66
Alnus_alnobetula.npy,649,0.12
Alnus_glutinosa.npy,1220,0.36
Alnus_incana.npy,1129,0.48
Alnus_orientalis.npy,673,0.16
Amelanchier_ovalis.npy,584,0.19
Amorpha_fruticosa.npy,217,0.17
Amygdalus_communis.npy,285,0.2
Arctostaphylos_uvaursi.npy,99,0.03
Aronia_melanocarpa.npy,786,0.18
Berberis_thunbergii.npy,93,0.01
Berberis_vulgaris.npy,219,0.03
Betula_nana.npy,150,0.05
Betula_papyrifera.npy,1174,0.44
Betula_pendula.npy,386,0.08
Betula_pubescens.npy,393,0.09
Buddleja_davidii.npy,1271,0.42
Buxus_sempervirens.npy,160,0.04
Caragana_arborescens.npy,150,0.02
Carpinus_betulus.npy,722,0.21
Carya_ovata.npy,924,1.01
Castanea_sativa.npy,1661,1.37
Catalpa_bignonioides.npy,2029,1.41
Celtis_occidentalis.npy,690,0.22
Cercidiphyllum_japonicum.npy,1061,0.25
Cercis_siliquastrum.npy,1318,0.49
Chaenomeles_japonica.npy,642,0.17
Clematis_vitalba.npy,1182,0.47
Colutea_arborescens.npy,284,0.05
Cornus_alba.npy,1093,0.64
Cornus_mas.npy,534,0.2
Cornus_sanguinea.npy,307,0.07
Corylus_avellana.npy,2008,0.77
Corylus_colurna.npy,1831,0.69
Corylus_maxima.npy,1147,0.43
Cotinus_coggygria.npy,899,0.34
Cotoneaster_horizontalis.npy,124,0.04
Cotoneaster_integerrimus.npy,195,0.02
Crataegus_monogyna.npy,367,0.05
Cydonia_oblonga.npy,769,0.22
Daphne_mezereum.npy,270,0.23
Deutzia_scabra.npy,310,0.13
Elaeagnus_angustifolia.npy,253,0.08
Euonymus_europaea.npy,580,0.17
Euonymus_verrucosa.npy,413,0.1
Fagus_sylvatica.npy,921,0.37
Fallopia_aubertii.npy,360,0.1
Ficus_carica.npy,2131,0.75
Forsythia_intermedia.npy,426,0.13
Frangula_alnus.npy,449,0.1
Fraxinus_excelsior.npy,800,0.41
Fraxinus_ornus.npy,433,0.13
Ginkgo_biloba.npy,1093,0.41
Gleditsia_triacanthos.npy,109,0.04
Gymnocladus_dioicus.npy,545,0.14
Hamamelis_japonica.npy,892,0.24
Hamamelis_virginiana.npy,732,0.25
Hedera_helixFERTILE.npy,1720,0.68
Hedera_helixSTERILE.npy,1896,0.72
Hibiscus_syriacus.npy,807,0.33
Hippophae_rhamnoides.npy,99,0.06
Humulus_lupulus.npy,2722,0.69
Hydrangea_petiolaris.npy,1494,1.07
Ilex_aquifolium.npy,339,0.05
Juglans_cinerea.npy,773,0.35
Juglans_nigra.npy,581,0.24
Juglans_regia.npy,774,0.33
Kerria_japonica.npy,661,0.17
Koelreuteria_paniculata.npy,932,0.2
Kolkwitzia_amabilis.npy,332,0.2
Laburnum_anagyroides.npy,265,0.05
Laurus_nobilis.npy,440,0.23
Lavandula_angustifolia.npy,64,0.01
Ledum_palustre.npy,95,0.04
Ligustrum_ovalifolium.npy,447,0.17
Ligustrum_vulgare.npy,205,0.18
Liquidambar_styraciflua.npy,3688,2.18
Liriodendron_tulipifera.npy,1627,0.63
Lonicera_henryi.npy,286,0.09
Lonicera_involucrata.npy,700,0.32
Lonicera_purpusii.npy,415,0.11
Lonicera_tatarica.npy,262,0.05
Lonicera_xylosteum.npy,378,0.07
Loranthus_europaeus.npy,125,0.02
Lycium_barbarum.npy,239,0.07
Maclura_pomiferaFEMALE.npy,546,0.09
Maclura_pomiferaMALE.npy,507,0.18
Magnolia_hypoleuca.npy,2069,1.94
Magnolia_soulangeana.npy,1159,0.6
Magnolia_specPETRIN.npy,793,0.39
Mahonia_aquifolium.npy,546,0.13
Malus_domestica.npy,748,0.26
Mespilus_germanica.npy,652,0.3
Morus_alba.npy,1845,0.6
Myrtus_communis.npy,186,0.05
Nerium_oleander.npy,224,0.14
Olea_oleaster.npy,205,0.07
Ostrya_carpinifolia.npy,851,0.26
Paliurus_spinachristi.npy,283,0.07
Parthenocissus_inserta.npy,690,0.18
Parthenocissus_tricuspidata.npy,1232,1.24
Paulownia_tomentosa.npy,2163,1.22
Phellodendron_amurense.npy,642,0.33
Philadelphus_coronarius.npy,601,0.13
Physocarpus_opulifolius.npy,934,0.18
Pistacia_lentiscus.npy,92,0.04
Pittosporum_tobira.npy,583,0.25
Platanus_hispanica.npy,4413,1.64
Populus_alba.npy,1262,0.67
Populus_canadensis.npy,1213,0.58
Populus_canescens.npy,1471,0.82
Populus_nigra.npy,1229,0.48
Populus_tremula.npy,1187,0.49
Prunus_armeniaca.npy,695,0.25
Prunus_avium.npy,1384,1.15
Prunus_cerasifera.npy,299,0.08
