image_name,rectangle_count,execution_time_sec
Bone-10_binary.npy,411,0.02
Bone-13_binary.npy,334,0.01
Bone-17_binary.npy,387,0.02
Bone-18_binary.npy,311,0.01
Comma-12_binary.npy,286,0.01
Comma-13_binary.npy,289,0.01
Comma-14_binary.npy,289,0.01
Comma-17_binary.npy,297,0.01
Glas-10_binary.npy,549,0.01
Glas-11_binary.npy,292,0.01
Glas-3_binary.npy,561,0.01
Glas-8_binary.npy,561,0.01
HCircle-12_binary.npy,194,0.01
HCircle-16_binary.npy,227,0.01
HCircle-17_binary.npy,231,0.01
HCircle-6_binary.npy,194,0.01
Heart-10_binary.npy,505,0.02
Heart-16_binary.npy,506,0.02
Heart-7_binary.npy,506,0.02
Heart-9_binary.npy,495,0.02
Misk-17_binary.npy,548,0.02
Misk-3_binary.npy,481,0.02
Misk-4_binary.npy,535,0.01
Misk-7_binary.npy,554,0.02
apple-10_binary.npy,214,0.01
apple-15_binary.npy,236,0.01
apple-18_binary.npy,244,0.01
apple-8_binary.npy,201,0.01
bat-14_binary.npy,738,0.04
bat-18_binary.npy,582,0.03
bat-1_binary.npy,590,0.04
bat-3_binary.npy,652,0.07
beetle-12_binary.npy,381,0.01
beetle-13_binary.npy,535,0.01
beetle-16_binary.npy,348,0.0
beetle-1_binary.npy,1201,0.05
bell-13_binary.npy,202,0.01
bell-20_binary.npy,257,0.04
bell-2_binary.npy,59,0.0
bell-7_binary.npy,115,0.0
bird-11_binary.npy,324,0.01
bird-18_binary.npy,214,0.01
bird-4_binary.npy,736,0.06
bird-9_binary.npy,317,0.01
bottle-03_binary.npy,167,0.01
bottle-04_binary.npy,168,0.01
bottle-13_binary.npy,145,0.01
bottle-18_binary.npy,164,0.01
brick-07_binary.npy,131,0.01
brick-10_binary.npy,105,0.01
brick-12_binary.npy,109,0.01
brick-18_binary.npy,103,0.01
butterfly-11_binary.npy,875,0.03
butterfly-12_binary.npy,611,0.02
butterfly-17_binary.npy,1021,0.04
butterfly-19_binary.npy,435,0.02
camel-12_binary.npy,404,0.01
camel-13_binary.npy,484,0.01
camel-17_binary.npy,403,0.02
camel-2_binary.npy,602,0.01
car-06_binary.npy,98,0.01
car-09_binary.npy,98,0.01
car-12_binary.npy,117,0.01
car-15_binary.npy,118,0.01
carriage-07_binary.npy,224,0.01
carriage-09_binary.npy,248,0.01
carriage-12_binary.npy,250,0.01
carriage-20_binary.npy,230,0.01
cattle-12_binary.npy,698,0.01
cattle-15_binary.npy,957,0.03
cattle-17_binary.npy,806,0.06
cattle-7_binary.npy,813,0.03
cellular_phone-15_binary.npy,109,0.01
cellular_phone-18_binary.npy,119,0.01
cellular_phone-2_binary.npy,108,0.01
cellular_phone-4_binary.npy,133,0.01
chicken-11_binary.npy,144,0.0
chicken-17_binary.npy,399,0.01
chicken-1_binary.npy,506,0.02
chicken-7_binary.npy,127,0.0
children-11_binary.npy,166,0.01
children-17_binary.npy,166,0.01
children-1_binary.npy,166,0.01
children-2_binary.npy,166,0.01
chopper-03_binary.npy,158,0.01
chopper-07_binary.npy,153,0.01
chopper-09_binary.npy,143,0.01
chopper-11_binary.npy,149,0.01
classic-16_binary.npy,184,0.02
classic-2_binary.npy,192,0.01
classic-4_binary.npy,468,0.03
classic-5_binary.npy,468,0.03
confusions_binary.npy,1839,0.02
crown-14_binary.npy,151,0.0
crown-17_binary.npy,231,0.0
crown-18_binary.npy,410,0.01
crown-9_binary.npy,46,0.0
cup-20_binary.npy,373,0.02
cup-2_binary.npy,377,0.02
cup-3_binary.npy,330,0.01
cup-8_binary.npy,301,0.01
deer-14_binary.npy,521,0.01
deer-17_binary.npy,1283,0.08
deer-5_binary.npy,1579,0.06
deer-6_binary.npy,1112,0.04
device0-11_binary.npy,588,0.03
device0-12_binary.npy,610,0.03
device0-13_binary.npy,719,0.03
device0-14_binary.npy,547,0.03
device1-12_binary.npy,453,0.03
device1-15_binary.npy,505,0.03
device1-2_binary.npy,474,0.03
device1-3_binary.npy,476,0.03
device2-18_binary.npy,854,0.04
device2-2_binary.npy,452,0.03
device2-4_binary.npy,781,0.03
device2-6_binary.npy,880,0.04
device3-10_binary.npy,399,0.04
device3-13_binary.npy,684,0.04
