image_name,generation,best_rectangle_count,fitness
Berberis_thunbergii.npy,0,93,12531.0
Berberis_thunbergii.npy,1,92,12541.0
Berberis_thunbergii.npy,2,91,12551.0
Berberis_thunbergii.npy,3,91,12551.0
Berberis_thunbergii.npy,4,91,12551.0
Berberis_thunbergii.npy,5,91,12551.0
Berberis_thunbergii.npy,6,91,12551.0
Berberis_thunbergii.npy,7,91,12551.0
Berberis_thunbergii.npy,8,91,12551.0
Berberis_thunbergii.npy,9,91,12551.0
Berberis_thunbergii.npy,10,91,12551.0
Berberis_thunbergii.npy,11,91,12551.0
Berberis_thunbergii.npy,12,91,12551.0
Berberis_thunbergii.npy,13,91,12551.0
Berberis_thunbergii.npy,14,91,12551.0
Berberis_vulgaris.npy,0,219,45163.0
Berberis_vulgaris.npy,1,212,45233.0
Berberis_vulgaris.npy,2,212,45233.0
Berberis_vulgaris.npy,3,212,45233.0
Berberis_vulgaris.npy,4,212,45233.0
Berberis_vulgaris.npy,5,209,45263.0
Berberis_vulgaris.npy,6,205,45303.0
Berberis_vulgaris.npy,7,204,45313.0
Berberis_vulgaris.npy,8,204,45313.0
Berberis_vulgaris.npy,9,204,45313.0
Berberis_vulgaris.npy,10,203,45323.0
Berberis_vulgaris.npy,11,203,45323.0
Berberis_vulgaris.npy,12,203,45323.0
Berberis_vulgaris.npy,13,203,45323.0
Berberis_vulgaris.npy,14,203,45323.0
Berberis_vulgaris.npy,15,203,45323.0
Berberis_vulgaris.npy,16,203,45323.0
Berberis_vulgaris.npy,17,203,45323.0
Berberis_vulgaris.npy,18,203,45323.0
Berberis_vulgaris.npy,19,203,45323.0
Berberis_vulgaris.npy,20,203,45323.0
Berberis_vulgaris.npy,21,203,45323.0
Berberis_vulgaris.npy,22,203,45323.0
Betula_papyrifera.npy,0,1174,632016.0
Betula_papyrifera.npy,1,1117,632586.0
Betula_papyrifera.npy,2,1108,632676.0
Betula_papyrifera.npy,3,1088,632876.0
Betula_papyrifera.npy,4,1088,632876.0
Betula_papyrifera.npy,5,1088,632876.0
Betula_papyrifera.npy,6,1073,633026.0
Betula_papyrifera.npy,7,1073,633026.0
Betula_papyrifera.npy,8,1072,633036.0
Betula_papyrifera.npy,9,1068,633076.0
Betula_papyrifera.npy,10,1068,633076.0
Betula_papyrifera.npy,11,1064,633116.0
Betula_papyrifera.npy,12,1064,633116.0
Betula_papyrifera.npy,13,1063,633126.0
Betula_papyrifera.npy,14,1063,633126.0
Betula_papyrifera.npy,15,1062,633136.0
Betula_papyrifera.npy,16,1062,633136.0
Betula_papyrifera.npy,17,1061,633146.0
Betula_papyrifera.npy,18,1060,633156.0
Betula_papyrifera.npy,19,1060,633156.0
Betula_papyrifera.npy,20,1051,633246.0
Betula_papyrifera.npy,21,1051,633246.0
Betula_papyrifera.npy,22,1051,633246.0
Betula_papyrifera.npy,23,1051,633246.0
Betula_papyrifera.npy,24,1051,633246.0
Betula_papyrifera.npy,25,1051,633246.0
Betula_papyrifera.npy,26,1051,633246.0
Betula_papyrifera.npy,27,1051,633246.0
Betula_papyrifera.npy,28,1051,633246.0
Betula_papyrifera.npy,29,1051,633246.0
Betula_papyrifera.npy,30,1051,633246.0
Betula_papyrifera.npy,31,1051,633246.0
Betula_papyrifera.npy,32,1051,633246.0
Betula_pendula.npy,0,852,81634.0
Betula_pendula.npy,1,608,84074.0
Betula_pendula.npy,2,600,84154.0
Betula_pendula.npy,3,535,84804.0
Betula_pendula.npy,4,535,84804.0
Betula_pendula.npy,5,535,84804.0
Betula_pendula.npy,6,535,84804.0
Betula_pendula.npy,7,535,84804.0
Betula_pendula.npy,8,535,84804.0
Betula_pendula.npy,9,498,85174.0
Betula_pendula.npy,10,498,85174.0
Betula_pendula.npy,11,498,85174.0
Betula_pendula.npy,12,471,85444.0
Betula_pendula.npy,13,471,85444.0
Betula_pendula.npy,14,417,85984.0
Betula_pendula.npy,15,417,85984.0
Betula_pendula.npy,16,410,86054.0
Betula_pendula.npy,17,401,86144.0
Betula_pendula.npy,18,387,86284.0
Betula_pendula.npy,19,371,86444.0
Betula_pendula.npy,20,371,86444.0
Betula_pendula.npy,21,371,86444.0
Betula_pendula.npy,22,371,86444.0
Betula_pendula.npy,23,371,86444.0
Betula_pendula.npy,24,371,86444.0
Betula_pendula.npy,25,371,86444.0
Betula_pendula.npy,26,366,86494.0
Betula_pendula.npy,27,366,86494.0
Betula_pendula.npy,28,366,86494.0
Betula_pendula.npy,29,366,86494.0
Betula_pendula.npy,30,360,86554.0
Betula_pendula.npy,31,360,86554.0
Betula_pendula.npy,32,359,86564.0
Betula_pendula.npy,33,357,86584.0
