image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Berberis_thunbergii.npy,64101990,8,91,1.92,12551.0,23
Berberis_vulgaris.npy,64101990,8,203,4.26,45323.0,30
Betula_papyrifera.npy,64101990,8,1045,63.93,633306.0,51
Betula_pendula.npy,64101990,8,345,11.59,86704.0,31
Clematis_vitalba.npy,64101990,8,991,58.32,481618.0,62
Fallopia_aubertii.npy,64101990,8,343,10.55,117957.0,26
Frangula_alnus.npy,64101990,8,426,11.92,172838.0,31
Hedera_helixSTERILE.npy,64101990,8,1451,98.23,646848.0,57
Koelreuteria_paniculata.npy,64101990,8,752,34.36,380280.0,62
Laburnum_anagyroides.npy,64101990,8,262,5.75,87656.0,33
Physocarpus_opulifolius.npy,64101990,8,636,27.78,330853.0,49
Quercus_cerris.npy,64101990,8,1171,54.61,713439.0,32
Quercus_palustris.npy,64101990,8,1773,72.8,310512.0,45
Robinia_viscosa.npy,64101990,8,335,11.83,135949.0,32
Sorbus_intermedia.npy,64101990,8,962,41.24,651346.0,59
Syringa_chinensis.npy,64101990,8,350,8.86,114776.0,19
Tilia_cordata.npy,64101990,8,446,15.03,209135.0,45
Tilia_tomentosa.npy,64101990,8,1082,40.42,793338.0,56
Viburnum_rhytidophyllum.npy,64101990,8,584,56.02,612567.0,32
Zelkova_serrata.npy,64101990,8,916,61.94,756506.0,38
