image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Berberis_thunbergii.npy,99432092,15,91,4.25,12551.0,14
Berberis_vulgaris.npy,99432092,15,203,11.3,45323.0,26
Betula_papyrifera.npy,99432092,15,1047,143.07,633286.0,42
Betula_pendula.npy,99432092,15,345,34.56,86704.0,34
Clematis_vitalba.npy,99432092,15,1035,127.32,481178.0,41
Fallopia_aubertii.npy,99432092,15,343,22.71,117957.0,23
Frangula_alnus.npy,99432092,15,426,42.2,172838.0,31
Hedera_helixSTERILE.npy,99432092,15,1472,258.04,646638.0,40
Koelreuteria_paniculata.npy,99432092,15,752,147.5,380280.0,69
Laburnum_anagyroides.npy,99432092,15,262,8.44,87656.0,14
Physocarpus_opulifolius.npy,99432092,15,653,118.31,330683.0,84
Quercus_cerris.npy,99432092,15,1171,271.86,713439.0,52
Quercus_palustris.npy,99432092,15,1782,273.56,310422.0,49
Robinia_viscosa.npy,99432092,15,335,33.87,135949.0,32
Sorbus_intermedia.npy,99432092,15,996,131.84,651006.0,40
Syringa_chinensis.npy,99432092,15,350,17.38,114776.0,17
Tilia_cordata.npy,99432092,15,446,45.28,209135.0,52
Tilia_tomentosa.npy,99432092,15,1038,220.37,793778.0,45
Viburnum_rhytidophyllum.npy,99432092,15,584,90.87,612567.0,24
Zelkova_serrata.npy,99432092,15,916,396.13,756506.0,55
