image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Berberis_thunbergii.npy,50719857,15,91,2.59,12551.0,14
Berberis_vulgaris.npy,50719857,15,203,7.5,45323.0,27
Betula_papyrifera.npy,50719857,15,1050,130.7,633256.0,42
Betula_pendula.npy,50719857,15,345,35.33,86704.0,32
Clematis_vitalba.npy,50719857,15,984,154.53,481688.0,65
Fallopia_aubertii.npy,50719857,15,343,27.53,117957.0,24
Frangula_alnus.npy,50719857,15,426,22.79,172838.0,27
Hedera_helixSTERILE.npy,50719857,15,1452,317.31,646838.0,51
Koelreuteria_paniculata.npy,50719857,15,752,56.17,380280.0,40
Laburnum_anagyroides.npy,50719857,15,262,8.95,87656.0,15
Physocarpus_opulifolius.npy,50719857,15,636,62.59,330853.0,40
Quercus_cerris.npy,50719857,15,1171,130.44,713439.0,32
Quercus_palustris.npy,50719857,15,1788,192.03,310362.0,47
Robinia_viscosa.npy,50719857,15,335,23.47,135949.0,24
Sorbus_intermedia.npy,50719857,15,951,115.9,651456.0,70
Syringa_chinensis.npy,50719857,15,350,21.72,114776.0,18
Tilia_cordata.npy,50719857,15,446,28.76,209135.0,29
Tilia_tomentosa.npy,50719857,15,1038,165.78,793778.0,55
Viburnum_rhytidophyllum.npy,50719857,15,584,103.35,612567.0,22
Zelkova_serrata.npy,50719857,15,916,128.27,756506.0,38
