image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Berberis_thunbergii.npy,50719857,15,91,2.15,12551.0,14
Berberis_vulgaris.npy,50719857,15,203,7.46,45323.0,18
Betula_papyrifera.npy,50719857,15,1045,89.16,633306.0,24
Betula_pendula.npy,50719857,15,345,20.39,86704.0,19
Clematis_vitalba.npy,50719857,15,997,73.92,481558.0,29
Fallopia_aubertii.npy,50719857,15,343,20.73,117957.0,17
Frangula_alnus.npy,50719857,15,426,22.1,172838.0,17
Hedera_helixSTERILE.npy,50719857,15,1450,248.07,646858.0,47
Koelreuteria_paniculata.npy,50719857,15,752,44.79,380280.0,29
Laburnum_anagyroides.npy,50719857,15,262,8.06,87656.0,15
Physocarpus_opulifolius.npy,50719857,15,636,87.45,330853.0,30
Quercus_cerris.npy,50719857,15,1171,123.41,713439.0,21
Quercus_palustris.npy,50719857,15,1794,117.92,310302.0,25
Robinia_viscosa.npy,50719857,15,335,16.62,135949.0,17
Sorbus_intermedia.npy,50719857,15,968,73.37,651286.0,31
Syringa_chinensis.npy,50719857,15,350,21.52,114776.0,15
Tilia_cordata.npy,50719857,15,446,28.42,209135.0,23
Tilia_tomentosa.npy,50719857,15,1038,125.28,793778.0,27
Viburnum_rhytidophyllum.npy,50719857,15,584,78.53,612567.0,17
Zelkova_serrata.npy,50719857,15,916,78.01,756506.0,20
