image_name,generation,best_rectangle_count,fitness
Actinidia_arguta.npy,0,779,433159.0
Actinidia_arguta.npy,1,744,433509.0
Actinidia_arguta.npy,2,744,433509.0
Actinidia_arguta.npy,3,744,433509.0
Actinidia_arguta.npy,4,726,433689.0
Actinidia_arguta.npy,5,726,433689.0
Actinidia_arguta.npy,6,722,433729.0
Actinidia_arguta.npy,7,711,433839.0
Actinidia_arguta.npy,8,711,433839.0
Actinidia_arguta.npy,9,711,433839.0
Actinidia_arguta.npy,10,709,433859.0
Actinidia_arguta.npy,11,708,433869.0
Actinidia_arguta.npy,12,704,433909.0
Actinidia_arguta.npy,13,701,433939.0
Actinidia_arguta.npy,14,698,433969.0
Actinidia_arguta.npy,15,697,433979.0
Actinidia_arguta.npy,16,694,434009.0
Actinidia_arguta.npy,17,694,434009.0
Actinidia_arguta.npy,18,694,434009.0
Actinidia_arguta.npy,19,694,434009.0
Actinidia_arguta.npy,20,694,434009.0
Actinidia_arguta.npy,21,694,434009.0
Actinidia_arguta.npy,22,694,434009.0
Amygdalus_communis.npy,0,285,116696.0
Amygdalus_communis.npy,1,285,116696.0
Amygdalus_communis.npy,2,285,116696.0
Amygdalus_communis.npy,3,285,116696.0
Amygdalus_communis.npy,4,285,116696.0
Amygdalus_communis.npy,5,285,116696.0
Amygdalus_communis.npy,6,285,116696.0
Caragana_arborescens.npy,0,150,35119.0
Caragana_arborescens.npy,1,146,35159.0
Caragana_arborescens.npy,2,146,35159.0
Caragana_arborescens.npy,3,146,35159.0
Caragana_arborescens.npy,4,146,35159.0
Caragana_arborescens.npy,5,146,35159.0
Caragana_arborescens.npy,6,146,35159.0
Caragana_arborescens.npy,7,146,35159.0
Carya_ovata.npy,0,924,1141422.0
Carya_ovata.npy,1,904,1141622.0
Carya_ovata.npy,2,904,1141622.0
Carya_ovata.npy,3,903,1141632.0
Carya_ovata.npy,4,903,1141632.0
Carya_ovata.npy,5,903,1141632.0
Carya_ovata.npy,6,898,1141682.0
Carya_ovata.npy,7,898,1141682.0
Carya_ovata.npy,8,898,1141682.0
Carya_ovata.npy,9,898,1141682.0
Carya_ovata.npy,10,898,1141682.0
Carya_ovata.npy,11,896,1141702.0
Carya_ovata.npy,12,896,1141702.0
Carya_ovata.npy,13,894,1141722.0
Carya_ovata.npy,14,893,1141732.0
Carya_ovata.npy,15,893,1141732.0
Carya_ovata.npy,16,891,1141752.0
Carya_ovata.npy,17,891,1141752.0
Carya_ovata.npy,18,891,1141752.0
Carya_ovata.npy,19,891,1141752.0
Carya_ovata.npy,20,891,1141752.0
Carya_ovata.npy,21,890,1141762.0
Carya_ovata.npy,22,890,1141762.0
Carya_ovata.npy,23,889,1141772.0
Carya_ovata.npy,24,889,1141772.0
Carya_ovata.npy,25,889,1141772.0
Carya_ovata.npy,26,889,1141772.0
Carya_ovata.npy,27,889,1141772.0
Carya_ovata.npy,28,889,1141772.0
Carya_ovata.npy,29,889,1141772.0
Celtis_occidentalis.npy,0,690,400597.0
Celtis_occidentalis.npy,1,687,400627.0
Celtis_occidentalis.npy,2,644,401057.0
Celtis_occidentalis.npy,3,640,401097.0
Celtis_occidentalis.npy,4,640,401097.0
Celtis_occidentalis.npy,5,626,401237.0
Celtis_occidentalis.npy,6,626,401237.0
Celtis_occidentalis.npy,7,626,401237.0
Celtis_occidentalis.npy,8,626,401237.0
Celtis_occidentalis.npy,9,626,401237.0
Celtis_occidentalis.npy,10,618,401317.0
Celtis_occidentalis.npy,11,618,401317.0
Celtis_occidentalis.npy,12,616,401337.0
Celtis_occidentalis.npy,13,616,401337.0
Celtis_occidentalis.npy,14,614,401357.0
Celtis_occidentalis.npy,15,613,401367.0
Celtis_occidentalis.npy,16,613,401367.0
Celtis_occidentalis.npy,17,613,401367.0
Celtis_occidentalis.npy,18,610,401397.0
Celtis_occidentalis.npy,19,610,401397.0
Celtis_occidentalis.npy,20,610,401397.0
Celtis_occidentalis.npy,21,610,401397.0
Celtis_occidentalis.npy,22,610,401397.0
Celtis_occidentalis.npy,23,610,401397.0
Celtis_occidentalis.npy,24,610,401397.0
