image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
HCircle-10_binary.npy,96595912,15,127,6.64,47774.0,37
bat-10_binary.npy,96595912,15,389,18.41,50359.0,26
bottle-01_binary.npy,96595912,15,36,3.3,3900.0,22
cattle-10_binary.npy,96595912,15,438,25.28,112611.0,56
cellular_phone-10_binary.npy,96595912,15,64,9.3,48081.0,38
crown-10_binary.npy,96595912,15,101,3.32,7824.0,41
cup-10_binary.npy,96595912,15,171,9.53,40912.0,42
device2-10_binary.npy,96595912,15,538,31.57,75025.0,55
device7-10_binary.npy,96595912,15,764,38.74,93163.0,56
elephant-10_binary.npy,96595912,15,257,10.46,40246.0,32
fly-10_binary.npy,96595912,15,412,14.9,36411.0,37
hat-10_binary.npy,96595912,15,50,2.39,12237.0,34
horse-10_binary.npy,96595912,15,467,18.22,27927.0,43
horseshoe-10_binary.npy,96595912,15,44,1.25,1781.0,36
jar-10_binary.npy,96595912,15,290,19.37,97860.0,41
key-10_binary.npy,96595912,15,130,7.32,20639.0,61
lizzard-10_binary.npy,96595912,15,426,28.54,56320.0,35
pencil-10_binary.npy,96595912,15,58,5.69,11131.0,13
personal_car-10_binary.npy,96595912,15,152,6.07,34524.0,28
tree-10_binary.npy,96595912,15,114,3.83,14485.0,22
