image_name,generation,best_rectangle_count,fitness
HCircle-10_binary.npy,0,200,47044.0
HCircle-10_binary.npy,1,182,47224.0
HCircle-10_binary.npy,2,180,47244.0
HCircle-10_binary.npy,3,180,47244.0
HCircle-10_binary.npy,4,166,47384.0
HCircle-10_binary.npy,5,154,47504.0
HCircle-10_binary.npy,6,154,47504.0
HCircle-10_binary.npy,7,144,47604.0
HCircle-10_binary.npy,8,142,47624.0
HCircle-10_binary.npy,9,142,47624.0
HCircle-10_binary.npy,10,137,47674.0
HCircle-10_binary.npy,11,137,47674.0
HCircle-10_binary.npy,12,134,47704.0
HCircle-10_binary.npy,13,134,47704.0
HCircle-10_binary.npy,14,134,47704.0
HCircle-10_binary.npy,15,132,47724.0
HCircle-10_binary.npy,16,130,47744.0
HCircle-10_binary.npy,17,129,47754.0
HCircle-10_binary.npy,18,129,47754.0
HCircle-10_binary.npy,19,129,47754.0
HCircle-10_binary.npy,20,128,47764.0
HCircle-10_binary.npy,21,128,47764.0
HCircle-10_binary.npy,22,128,47764.0
HCircle-10_binary.npy,23,128,47764.0
bat-10_binary.npy,0,429,49959.0
bat-10_binary.npy,1,409,50159.0
bat-10_binary.npy,2,406,50189.0
bat-10_binary.npy,3,406,50189.0
bat-10_binary.npy,4,406,50189.0
bat-10_binary.npy,5,401,50239.0
bat-10_binary.npy,6,401,50239.0
bat-10_binary.npy,7,396,50289.0
bat-10_binary.npy,8,395,50299.0
bat-10_binary.npy,9,393,50319.0
bat-10_binary.npy,10,393,50319.0
bat-10_binary.npy,11,392,50329.0
bat-10_binary.npy,12,390,50349.0
bat-10_binary.npy,13,390,50349.0
bat-10_binary.npy,14,389,50359.0
bat-10_binary.npy,15,389,50359.0
bat-10_binary.npy,16,389,50359.0
bat-10_binary.npy,17,389,50359.0
bottle-01_binary.npy,0,42,3840.0
bottle-01_binary.npy,1,39,3870.0
bottle-01_binary.npy,2,39,3870.0
bottle-01_binary.npy,3,38,3880.0
bottle-01_binary.npy,4,37,3890.0
bottle-01_binary.npy,5,37,3890.0
bottle-01_binary.npy,6,37,3890.0
bottle-01_binary.npy,7,37,3890.0
cattle-10_binary.npy,0,840,108591.0
cattle-10_binary.npy,1,648,110511.0
cattle-10_binary.npy,2,640,110591.0
cattle-10_binary.npy,3,640,110591.0
cattle-10_binary.npy,4,631,110681.0
cattle-10_binary.npy,5,631,110681.0
cattle-10_binary.npy,6,537,111621.0
cattle-10_binary.npy,7,537,111621.0
cattle-10_binary.npy,8,515,111841.0
cattle-10_binary.npy,9,515,111841.0
cattle-10_binary.npy,10,515,111841.0
cattle-10_binary.npy,11,515,111841.0
cellular_phone-10_binary.npy,0,148,47241.0
cellular_phone-10_binary.npy,1,148,47241.0
cellular_phone-10_binary.npy,2,115,47571.0
cellular_phone-10_binary.npy,3,110,47621.0
cellular_phone-10_binary.npy,4,105,47671.0
cellular_phone-10_binary.npy,5,105,47671.0
cellular_phone-10_binary.npy,6,98,47741.0
cellular_phone-10_binary.npy,7,98,47741.0
cellular_phone-10_binary.npy,8,94,47781.0
cellular_phone-10_binary.npy,9,94,47781.0
cellular_phone-10_binary.npy,10,94,47781.0
cellular_phone-10_binary.npy,11,93,47791.0
cellular_phone-10_binary.npy,12,89,47831.0
cellular_phone-10_binary.npy,13,84,47881.0
cellular_phone-10_binary.npy,14,83,47891.0
cellular_phone-10_binary.npy,15,82,47901.0
cellular_phone-10_binary.npy,16,82,47901.0
cellular_phone-10_binary.npy,17,77,47951.0
cellular_phone-10_binary.npy,18,77,47951.0
cellular_phone-10_binary.npy,19,73,47991.0
cellular_phone-10_binary.npy,20,70,48021.0
cellular_phone-10_binary.npy,21,70,48021.0
cellular_phone-10_binary.npy,22,69,48031.0
cellular_phone-10_binary.npy,23,69,48031.0
cellular_phone-10_binary.npy,24,64,48081.0
cellular_phone-10_binary.npy,25,64,48081.0
cellular_phone-10_binary.npy,26,64,48081.0
cellular_phone-10_binary.npy,27,64,48081.0
crown-10_binary.npy,0,182,7014.0
crown-10_binary.npy,1,134,7494.0
crown-10_binary.npy,2,134,7494.0
crown-10_binary.npy,3,127,7564.0
crown-10_binary.npy,4,127,7564.0
crown-10_binary.npy,5,127,7564.0
crown-10_binary.npy,6,127,7564.0
cup-10_binary.npy,0,331,39312.0
cup-10_binary.npy,1,331,39312.0
cup-10_binary.npy,2,259,40032.0
cup-10_binary.npy,3,247,40152.0
cup-10_binary.npy,4,242,40202.0
cup-10_binary.npy,5,242,40202.0
cup-10_binary.npy,6,239,40232.0
cup-10_binary.npy,7,234,40282.0
cup-10_binary.npy,8,219,40432.0
cup-10_binary.npy,9,206,40562.0
cup-10_binary.npy,10,206,40562.0
cup-10_binary.npy,11,206,40562.0
cup-10_binary.npy,12,189,40732.0
cup-10_binary.npy,13,189,40732.0
cup-10_binary.npy,14,189,40732.0
cup-10_binary.npy,15,189,40732.0
device2-10_binary.npy,0,835,72055.0
device2-10_binary.npy,1,764,72765.0
device2-10_binary.npy,2,764,72765.0
device2-10_binary.npy,3,703,73375.0
device2-10_binary.npy,4,703,73375.0
device2-10_binary.npy,5,703,73375.0
device2-10_binary.npy,6,701,73395.0
device2-10_binary.npy,7,658,73825.0
device2-10_binary.npy,8,637,74035.0
device2-10_binary.npy,9,596,74445.0
device2-10_binary.npy,10,596,74445.0
device2-10_binary.npy,11,585,74555.0
device2-10_binary.npy,12,582,74585.0
device2-10_binary.npy,13,582,74585.0
device2-10_binary.npy,14,582,74585.0
device2-10_binary.npy,15,558,74825.0
device2-10_binary.npy,16,553,74875.0
device2-10_binary.npy,17,553,74875.0
device2-10_binary.npy,18,553,74875.0
device2-10_binary.npy,19,548,74925.0
device2-10_binary.npy,20,544,74965.0
device2-10_binary.npy,21,544,74965.0
device2-10_binary.npy,22,543,74975.0
device2-10_binary.npy,23,540,75005.0
device2-10_binary.npy,24,540,75005.0
device2-10_binary.npy,25,540,75005.0
device2-10_binary.npy,26,538,75025.0
device2-10_binary.npy,27,538,75025.0
device2-10_binary.npy,28,538,75025.0
device2-10_binary.npy,29,538,75025.0
device7-10_binary.npy,0,1112,89683.0
device7-10_binary.npy,1,1033,90473.0
device7-10_binary.npy,2,1013,90673.0
device7-10_binary.npy,3,1013,90673.0
device7-10_binary.npy,4,945,91353.0
device7-10_binary.npy,5,894,91863.0
device7-10_binary.npy,6,866,92143.0
device7-10_binary.npy,7,866,92143.0
device7-10_binary.npy,8,866,92143.0
device7-10_binary.npy,9,817,92633.0
device7-10_binary.npy,10,817,92633.0
device7-10_binary.npy,11,799,92813.0
device7-10_binary.npy,12,792,92883.0
device7-10_binary.npy,13,792,92883.0
device7-10_binary.npy,14,790,92903.0
device7-10_binary.npy,15,783,92973.0
device7-10_binary.npy,16,783,92973.0
device7-10_binary.npy,17,783,92973.0
device7-10_binary.npy,18,776,93043.0
device7-10_binary.npy,19,776,93043.0
device7-10_binary.npy,20,772,93083.0
device7-10_binary.npy,21,772,93083.0
device7-10_binary.npy,22,772,93083.0
device7-10_binary.npy,23,768,93123.0
device7-10_binary.npy,24,768,93123.0
device7-10_binary.npy,25,768,93123.0
device7-10_binary.npy,26,768,93123.0
elephant-10_binary.npy,0,328,39536.0
elephant-10_binary.npy,1,290,39916.0
elephant-10_binary.npy,2,290,39916.0
elephant-10_binary.npy,3,290,39916.0
elephant-10_binary.npy,4,272,40096.0
elephant-10_binary.npy,5,271,40106.0
elephant-10_binary.npy,6,264,40176.0
elephant-10_binary.npy,7,264,40176.0
elephant-10_binary.npy,8,263,40186.0
elephant-10_binary.npy,9,261,40206.0
elephant-10_binary.npy,10,261,40206.0
elephant-10_binary.npy,11,260,40216.0
elephant-10_binary.npy,12,260,40216.0
elephant-10_binary.npy,13,259,40226.0
