image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
HCircle-10_binary.npy,90705598,15,127,5.77,47774.0,29
bat-10_binary.npy,90705598,15,389,16.88,50359.0,23
bottle-01_binary.npy,90705598,15,36,3.15,3900.0,23
cattle-10_binary.npy,90705598,15,441,25.35,112581.0,46
cellular_phone-10_binary.npy,90705598,15,64,9.05,48081.0,39
crown-10_binary.npy,90705598,15,102,3.12,7814.0,33
cup-10_binary.npy,90705598,15,171,8.62,40912.0,31
device2-10_binary.npy,90705598,15,535,27.0,75055.0,44
device7-10_binary.npy,90705598,15,762,38.72,93183.0,59
elephant-10_binary.npy,90705598,15,257,10.32,40246.0,29
fly-10_binary.npy,90705598,15,408,15.35,36451.0,49
hat-10_binary.npy,90705598,15,50,1.97,12237.0,26
horse-10_binary.npy,90705598,15,467,17.07,27927.0,35
horseshoe-10_binary.npy,90705598,15,44,1.15,1781.0,33
jar-10_binary.npy,90705598,15,290,18.06,97860.0,37
key-10_binary.npy,90705598,15,131,5.65,20629.0,50
lizzard-10_binary.npy,90705598,15,426,16.8,56320.0,34
pencil-10_binary.npy,90705598,15,58,3.76,11131.0,9
personal_car-10_binary.npy,90705598,15,152,6.46,34524.0,21
tree-10_binary.npy,90705598,15,114,3.51,14485.0,20
