image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
HCircle-10_binary.npy,59661460,20,127,9.51,47774.0,40
bat-10_binary.npy,59661460,20,389,26.4,50359.0,28
bottle-01_binary.npy,59661460,20,36,4.89,3900.0,20
cattle-10_binary.npy,59661460,20,441,38.81,112581.0,52
cellular_phone-10_binary.npy,59661460,20,64,12.39,48081.0,36
crown-10_binary.npy,59661460,20,102,5.19,7814.0,44
cup-10_binary.npy,59661460,20,171,12.85,40912.0,35
device2-10_binary.npy,59661460,20,539,26.15,75015.0,42
device7-10_binary.npy,59661460,20,763,54.43,93173.0,49
elephant-10_binary.npy,59661460,20,257,15.71,40246.0,27
fly-10_binary.npy,59661460,20,409,22.4,36441.0,55
hat-10_binary.npy,59661460,20,50,2.97,12237.0,30
horse-10_binary.npy,59661460,20,467,23.56,27927.0,43
horseshoe-10_binary.npy,59661460,20,44,1.52,1781.0,31
jar-10_binary.npy,59661460,20,290,26.65,97860.0,37
key-10_binary.npy,59661460,20,131,8.88,20629.0,53
lizzard-10_binary.npy,59661460,20,423,36.92,56350.0,59
pencil-10_binary.npy,59661460,20,58,3.71,11131.0,13
personal_car-10_binary.npy,59661460,20,152,9.56,34524.0,35
tree-10_binary.npy,59661460,20,114,6.29,14485.0,29
