image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
HCircle-10_binary.npy,79723041,15,158,22.75,47464.0,34
bat-10_binary.npy,79723041,15,405,35.3,50199.0,33
bottle-01_binary.npy,79723041,15,36,4.34,3900.0,38
cattle-10_binary.npy,79723041,15,587,53.87,111121.0,16
cellular_phone-10_binary.npy,79723041,15,136,22.72,47361.0,20
crown-10_binary.npy,79723041,15,125,8.11,7584.0,60
cup-10_binary.npy,79723041,15,314,11.46,39482.0,13
device2-10_binary.npy,79723041,15,835,34.14,72055.0,13
device7-10_binary.npy,79723041,15,1091,41.77,89893.0,13
elephant-10_binary.npy,79723041,15,328,13.76,39536.0,13
fly-10_binary.npy,79723041,15,556,20.49,34971.0,21
hat-10_binary.npy,79723041,15,58,7.47,12157.0,45
horse-10_binary.npy,79723041,15,605,16.7,26547.0,13
horseshoe-10_binary.npy,79723041,15,45,2.39,1771.0,65
jar-10_binary.npy,79723041,15,435,29.65,96410.0,13
key-10_binary.npy,79723041,15,144,7.65,20499.0,22
lizzard-10_binary.npy,79723041,15,561,27.51,54970.0,13
pencil-10_binary.npy,79723041,15,58,7.63,11131.0,13
personal_car-10_binary.npy,79723041,15,179,10.43,34254.0,13
tree-10_binary.npy,79723041,15,137,5.52,14255.0,14
