image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
HCircle-10_binary.npy,64337002,15,156,5.73,47484.0,14
bat-10_binary.npy,64337002,15,389,21.03,50359.0,27
bottle-01_binary.npy,64337002,15,36,3.47,3900.0,19
cattle-10_binary.npy,64337002,15,436,48.98,112631.0,49
cellular_phone-10_binary.npy,64337002,15,64,11.46,48081.0,51
crown-10_binary.npy,64337002,15,101,4.7,7824.0,50
cup-10_binary.npy,64337002,15,224,8.41,40382.0,20
device2-10_binary.npy,64337002,15,538,76.02,75025.0,65
device7-10_binary.npy,64337002,15,768,111.68,93123.0,105
elephant-10_binary.npy,64337002,15,257,12.24,40246.0,35
fly-10_binary.npy,64337002,15,425,22.61,36281.0,63
hat-10_binary.npy,64337002,15,50,3.08,12237.0,43
horse-10_binary.npy,64337002,15,466,39.43,27937.0,69
horseshoe-10_binary.npy,64337002,15,44,0.73,1781.0,34
jar-10_binary.npy,64337002,15,374,13.18,97020.0,14
key-10_binary.npy,64337002,15,136,4.65,20579.0,30
lizzard-10_binary.npy,64337002,15,426,26.33,56320.0,50
pencil-10_binary.npy,64337002,15,58,9.55,11131.0,13
personal_car-10_binary.npy,64337002,15,152,9.78,34524.0,28
tree-10_binary.npy,64337002,15,114,5.83,14485.0,25
