image_name,generation,best_rectangle_count,fitness
HCircle-10_binary.npy,0,200,47044.0
HCircle-10_binary.npy,1,200,47044.0
HCircle-10_binary.npy,2,200,47044.0
HCircle-10_binary.npy,3,200,47044.0
HCircle-10_binary.npy,4,200,47044.0
HCircle-10_binary.npy,5,200,47044.0
HCircle-10_binary.npy,6,200,47044.0
HCircle-10_binary.npy,7,200,47044.0
HCircle-10_binary.npy,8,200,47044.0
HCircle-10_binary.npy,9,200,47044.0
HCircle-10_binary.npy,10,200,47044.0
HCircle-10_binary.npy,11,200,47044.0
HCircle-10_binary.npy,12,200,47044.0
bat-10_binary.npy,0,429,49959.0
bat-10_binary.npy,1,429,49959.0
bat-10_binary.npy,2,429,49959.0
bat-10_binary.npy,3,429,49959.0
bat-10_binary.npy,4,429,49959.0
bat-10_binary.npy,5,429,49959.0
bat-10_binary.npy,6,429,49959.0
bat-10_binary.npy,7,429,49959.0
bat-10_binary.npy,8,429,49959.0
bat-10_binary.npy,9,429,49959.0
bat-10_binary.npy,10,429,49959.0
bat-10_binary.npy,11,429,49959.0
bat-10_binary.npy,12,429,49959.0
bottle-01_binary.npy,0,42,3840.0
bottle-01_binary.npy,1,42,3840.0
bottle-01_binary.npy,2,40,3860.0
bottle-01_binary.npy,3,39,3870.0
bottle-01_binary.npy,4,39,3870.0
bottle-01_binary.npy,5,39,3870.0
bottle-01_binary.npy,6,39,3870.0
bottle-01_binary.npy,7,39,3870.0
bottle-01_binary.npy,8,39,3870.0
bottle-01_binary.npy,9,39,3870.0
bottle-01_binary.npy,10,39,3870.0
bottle-01_binary.npy,11,39,3870.0
bottle-01_binary.npy,12,39,3870.0
bottle-01_binary.npy,13,39,3870.0
bottle-01_binary.npy,14,39,3870.0
bottle-01_binary.npy,15,39,3870.0
cattle-10_binary.npy,0,753,109461.0
cattle-10_binary.npy,1,753,109461.0
cattle-10_binary.npy,2,753,109461.0
cattle-10_binary.npy,3,753,109461.0
cattle-10_binary.npy,4,753,109461.0
cattle-10_binary.npy,5,753,109461.0
cattle-10_binary.npy,6,753,109461.0
cattle-10_binary.npy,7,753,109461.0
cattle-10_binary.npy,8,753,109461.0
cattle-10_binary.npy,9,753,109461.0
cattle-10_binary.npy,10,753,109461.0
cattle-10_binary.npy,11,753,109461.0
cattle-10_binary.npy,12,753,109461.0
cellular_phone-10_binary.npy,0,148,47241.0
cellular_phone-10_binary.npy,1,148,47241.0
cellular_phone-10_binary.npy,2,148,47241.0
cellular_phone-10_binary.npy,3,148,47241.0
cellular_phone-10_binary.npy,4,148,47241.0
cellular_phone-10_binary.npy,5,148,47241.0
cellular_phone-10_binary.npy,6,148,47241.0
cellular_phone-10_binary.npy,7,148,47241.0
cellular_phone-10_binary.npy,8,148,47241.0
cellular_phone-10_binary.npy,9,148,47241.0
cellular_phone-10_binary.npy,10,148,47241.0
cellular_phone-10_binary.npy,11,148,47241.0
cellular_phone-10_binary.npy,12,148,47241.0
crown-10_binary.npy,0,182,7014.0
crown-10_binary.npy,1,178,7054.0
crown-10_binary.npy,2,178,7054.0
crown-10_binary.npy,3,178,7054.0
crown-10_binary.npy,4,178,7054.0
crown-10_binary.npy,5,178,7054.0
crown-10_binary.npy,6,178,7054.0
crown-10_binary.npy,7,178,7054.0
crown-10_binary.npy,8,178,7054.0
crown-10_binary.npy,9,178,7054.0
crown-10_binary.npy,10,178,7054.0
crown-10_binary.npy,11,178,7054.0
crown-10_binary.npy,12,178,7054.0
crown-10_binary.npy,13,178,7054.0
cup-10_binary.npy,0,314,39482.0
cup-10_binary.npy,1,314,39482.0
cup-10_binary.npy,2,246,40162.0
cup-10_binary.npy,3,246,40162.0
cup-10_binary.npy,4,246,40162.0
cup-10_binary.npy,5,246,40162.0
cup-10_binary.npy,6,246,40162.0
cup-10_binary.npy,7,246,40162.0
cup-10_binary.npy,8,246,40162.0
cup-10_binary.npy,9,246,40162.0
cup-10_binary.npy,10,246,40162.0
cup-10_binary.npy,11,246,40162.0
cup-10_binary.npy,12,246,40162.0
cup-10_binary.npy,13,246,40162.0
cup-10_binary.npy,14,246,40162.0
device2-10_binary.npy,0,835,72055.0
device2-10_binary.npy,1,835,72055.0
device2-10_binary.npy,2,835,72055.0
device2-10_binary.npy,3,835,72055.0
device2-10_binary.npy,4,835,72055.0
device2-10_binary.npy,5,835,72055.0
device2-10_binary.npy,6,835,72055.0
device2-10_binary.npy,7,835,72055.0
device2-10_binary.npy,8,835,72055.0
device2-10_binary.npy,9,835,72055.0
device2-10_binary.npy,10,835,72055.0
device2-10_binary.npy,11,835,72055.0
device2-10_binary.npy,12,835,72055.0
device7-10_binary.npy,0,1112,89683.0
device7-10_binary.npy,1,1112,89683.0
device7-10_binary.npy,2,1112,89683.0
device7-10_binary.npy,3,1112,89683.0
device7-10_binary.npy,4,1112,89683.0
device7-10_binary.npy,5,1090,89903.0
device7-10_binary.npy,6,1090,89903.0
device7-10_binary.npy,7,1090,89903.0
device7-10_binary.npy,8,1090,89903.0
device7-10_binary.npy,9,1090,89903.0
device7-10_binary.npy,10,1090,89903.0
device7-10_binary.npy,11,1090,89903.0
device7-10_binary.npy,12,1090,89903.0
device7-10_binary.npy,13,1090,89903.0
device7-10_binary.npy,14,1090,89903.0
device7-10_binary.npy,15,1090,89903.0
device7-10_binary.npy,16,1090,89903.0
device7-10_binary.npy,17,1090,89903.0
elephant-10_binary.npy,0,328,39536.0
elephant-10_binary.npy,1,328,39536.0
elephant-10_binary.npy,2,328,39536.0
elephant-10_binary.npy,3,328,39536.0
elephant-10_binary.npy,4,328,39536.0
elephant-10_binary.npy,5,328,39536.0
elephant-10_binary.npy,6,328,39536.0
elephant-10_binary.npy,7,328,39536.0
elephant-10_binary.npy,8,328,39536.0
elephant-10_binary.npy,9,328,39536.0
elephant-10_binary.npy,10,328,39536.0
elephant-10_binary.npy,11,328,39536.0
elephant-10_binary.npy,12,328,39536.0
fly-10_binary.npy,0,573,34801.0
fly-10_binary.npy,1,573,34801.0
fly-10_binary.npy,2,573,34801.0
fly-10_binary.npy,3,573,34801.0
fly-10_binary.npy,4,573,34801.0
fly-10_binary.npy,5,573,34801.0
fly-10_binary.npy,6,573,34801.0
fly-10_binary.npy,7,573,34801.0
fly-10_binary.npy,8,573,34801.0
fly-10_binary.npy,9,573,34801.0
fly-10_binary.npy,10,573,34801.0
fly-10_binary.npy,11,573,34801.0
fly-10_binary.npy,12,573,34801.0
hat-10_binary.npy,0,87,11867.0
hat-10_binary.npy,1,76,11977.0
hat-10_binary.npy,2,76,11977.0
hat-10_binary.npy,3,76,11977.0
hat-10_binary.npy,4,76,11977.0
hat-10_binary.npy,5,76,11977.0
hat-10_binary.npy,6,76,11977.0
hat-10_binary.npy,7,76,11977.0
hat-10_binary.npy,8,76,11977.0
hat-10_binary.npy,9,76,11977.0
hat-10_binary.npy,10,76,11977.0
hat-10_binary.npy,11,76,11977.0
hat-10_binary.npy,12,76,11977.0
hat-10_binary.npy,13,76,11977.0
horse-10_binary.npy,0,605,26547.0
horse-10_binary.npy,1,605,26547.0
horse-10_binary.npy,2,605,26547.0
horse-10_binary.npy,3,605,26547.0
horse-10_binary.npy,4,605,26547.0
horse-10_binary.npy,5,605,26547.0
horse-10_binary.npy,6,605,26547.0
horse-10_binary.npy,7,605,26547.0
horse-10_binary.npy,8,605,26547.0
horse-10_binary.npy,9,605,26547.0
horse-10_binary.npy,10,605,26547.0
horse-10_binary.npy,11,605,26547.0
horse-10_binary.npy,12,605,26547.0
horseshoe-10_binary.npy,0,66,1561.0
horseshoe-10_binary.npy,1,66,1561.0
horseshoe-10_binary.npy,2,66,1561.0
horseshoe-10_binary.npy,3,66,1561.0
horseshoe-10_binary.npy,4,66,1561.0
horseshoe-10_binary.npy,5,66,1561.0
horseshoe-10_binary.npy,6,66,1561.0
horseshoe-10_binary.npy,7,66,1561.0
horseshoe-10_binary.npy,8,66,1561.0
horseshoe-10_binary.npy,9,66,1561.0
horseshoe-10_binary.npy,10,66,1561.0
horseshoe-10_binary.npy,11,66,1561.0
horseshoe-10_binary.npy,12,66,1561.0
jar-10_binary.npy,0,435,96410.0
jar-10_binary.npy,1,435,96410.0
jar-10_binary.npy,2,435,96410.0
jar-10_binary.npy,3,435,96410.0
jar-10_binary.npy,4,435,96410.0
jar-10_binary.npy,5,435,96410.0
jar-10_binary.npy,6,435,96410.0
jar-10_binary.npy,7,435,96410.0
jar-10_binary.npy,8,435,96410.0
jar-10_binary.npy,9,435,96410.0
jar-10_binary.npy,10,435,96410.0
jar-10_binary.npy,11,435,96410.0
jar-10_binary.npy,12,435,96410.0
key-10_binary.npy,0,162,20319.0
key-10_binary.npy,1,162,20319.0
key-10_binary.npy,2,162,20319.0
key-10_binary.npy,3,162,20319.0
key-10_binary.npy,4,162,20319.0
key-10_binary.npy,5,162,20319.0
key-10_binary.npy,6,162,20319.0
key-10_binary.npy,7,162,20319.0
key-10_binary.npy,8,162,20319.0
key-10_binary.npy,9,162,20319.0
key-10_binary.npy,10,162,20319.0
key-10_binary.npy,11,162,20319.0
key-10_binary.npy,12,162,20319.0
lizzard-10_binary.npy,0,561,54970.0
lizzard-10_binary.npy,1,561,54970.0
lizzard-10_binary.npy,2,561,54970.0
lizzard-10_binary.npy,3,561,54970.0
lizzard-10_binary.npy,4,561,54970.0
lizzard-10_binary.npy,5,561,54970.0
lizzard-10_binary.npy,6,561,54970.0
lizzard-10_binary.npy,7,561,54970.0
lizzard-10_binary.npy,8,561,54970.0
lizzard-10_binary.npy,9,561,54970.0
lizzard-10_binary.npy,10,561,54970.0
lizzard-10_binary.npy,11,561,54970.0
lizzard-10_binary.npy,12,561,54970.0
pencil-10_binary.npy,0,58,11131.0
pencil-10_binary.npy,1,58,11131.0
pencil-10_binary.npy,2,58,11131.0
pencil-10_binary.npy,3,58,11131.0
pencil-10_binary.npy,4,58,11131.0
pencil-10_binary.npy,5,58,11131.0
pencil-10_binary.npy,6,58,11131.0
pencil-10_binary.npy,7,58,11131.0
pencil-10_binary.npy,8,58,11131.0
pencil-10_binary.npy,9,58,11131.0
pencil-10_binary.npy,10,58,11131.0
pencil-10_binary.npy,11,58,11131.0
pencil-10_binary.npy,12,58,11131.0
personal_car-10_binary.npy,0,179,34254.0
personal_car-10_binary.npy,1,179,34254.0
personal_car-10_binary.npy,2,179,34254.0
personal_car-10_binary.npy,3,179,34254.0
personal_car-10_binary.npy,4,179,34254.0
personal_car-10_binary.npy,5,179,34254.0
personal_car-10_binary.npy,6,179,34254.0
personal_car-10_binary.npy,7,179,34254.0
personal_car-10_binary.npy,8,179,34254.0
personal_car-10_binary.npy,9,179,34254.0
personal_car-10_binary.npy,10,179,34254.0
personal_car-10_binary.npy,11,179,34254.0
personal_car-10_binary.npy,12,179,34254.0
tree-10_binary.npy,0,141,14215.0
tree-10_binary.npy,1,141,14215.0
tree-10_binary.npy,2,141,14215.0
tree-10_binary.npy,3,141,14215.0
tree-10_binary.npy,4,141,14215.0
tree-10_binary.npy,5,141,14215.0
tree-10_binary.npy,6,141,14215.0
tree-10_binary.npy,7,141,14215.0
tree-10_binary.npy,8,141,14215.0
tree-10_binary.npy,9,141,14215.0
tree-10_binary.npy,10,141,14215.0
tree-10_binary.npy,11,141,14215.0
tree-10_binary.npy,12,141,14215.0
