image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
HCircle-10_binary.npy,4243692,15,127,4.18,47774.0,22
bat-10_binary.npy,4243692,15,389,17.96,50359.0,24
bottle-01_binary.npy,4243692,15,36,2.61,3900.0,20
cattle-10_binary.npy,4243692,15,436,19.89,112631.0,29
cellular_phone-10_binary.npy,4243692,15,64,5.3,48081.0,25
crown-10_binary.npy,4243692,15,102,2.18,7814.0,26
cup-10_binary.npy,4243692,15,171,6.35,40912.0,28
device2-10_binary.npy,4243692,15,536,27.05,75045.0,49
device7-10_binary.npy,4243692,15,764,30.38,93163.0,32
elephant-10_binary.npy,4243692,15,257,8.15,40246.0,23
fly-10_binary.npy,4243692,15,410,10.72,36431.0,30
hat-10_binary.npy,4243692,15,50,1.86,12237.0,21
horse-10_binary.npy,4243692,15,468,11.93,27917.0,24
horseshoe-10_binary.npy,4243692,15,44,0.8,1781.0,24
jar-10_binary.npy,4243692,15,290,14.93,97860.0,29
key-10_binary.npy,4243692,15,128,6.23,20659.0,54
lizzard-10_binary.npy,4243692,15,426,15.7,56320.0,26
pencil-10_binary.npy,4243692,15,58,3.53,11131.0,13
personal_car-10_binary.npy,4243692,15,152,4.79,34524.0,22
tree-10_binary.npy,4243692,15,114,3.1,14485.0,22
