image_name,generation,best_rectangle_count,fitness
Bone-10_binary.npy,0,411,27270.0
Bone-10_binary.npy,1,402,27360.0
Bone-10_binary.npy,2,395,27430.0
Bone-10_binary.npy,3,395,27430.0
Bone-10_binary.npy,4,395,27430.0
Bone-10_binary.npy,5,390,27480.0
Bone-10_binary.npy,6,388,27500.0
Bone-10_binary.npy,7,388,27500.0
Bone-10_binary.npy,8,387,27510.0
Bone-10_binary.npy,9,387,27510.0
Bone-10_binary.npy,10,386,27520.0
Bone-10_binary.npy,11,385,27530.0
Bone-10_binary.npy,12,385,27530.0
Bone-10_binary.npy,13,382,27560.0
Bone-10_binary.npy,14,382,27560.0
Bone-10_binary.npy,15,382,27560.0
Bone-10_binary.npy,16,382,27560.0
Bone-10_binary.npy,17,382,27560.0
Bone-10_binary.npy,18,382,27560.0
Bone-10_binary.npy,19,382,27560.0
Bone-10_binary.npy,20,382,27560.0
Bone-10_binary.npy,21,382,27560.0
Comma-10_binary.npy,0,422,64549.0
Comma-10_binary.npy,1,359,65179.0
Comma-10_binary.npy,2,301,65759.0
Comma-10_binary.npy,3,301,65759.0
Comma-10_binary.npy,4,301,65759.0
Comma-10_binary.npy,5,301,65759.0
Comma-10_binary.npy,6,301,65759.0
Comma-10_binary.npy,7,301,65759.0
Comma-10_binary.npy,8,301,65759.0
Comma-10_binary.npy,9,273,66039.0
Comma-10_binary.npy,10,262,66149.0
Comma-10_binary.npy,11,262,66149.0
Comma-10_binary.npy,12,262,66149.0
Comma-10_binary.npy,13,250,66269.0
Comma-10_binary.npy,14,250,66269.0
Comma-10_binary.npy,15,250,66269.0
Comma-10_binary.npy,16,229,66479.0
Comma-10_binary.npy,17,218,66589.0
Comma-10_binary.npy,18,218,66589.0
Comma-10_binary.npy,19,218,66589.0
Comma-10_binary.npy,20,218,66589.0
Comma-10_binary.npy,21,218,66589.0
Comma-10_binary.npy,22,206,66709.0
Comma-10_binary.npy,23,206,66709.0
Comma-10_binary.npy,24,206,66709.0
Comma-10_binary.npy,25,202,66749.0
Comma-10_binary.npy,26,197,66799.0
Comma-10_binary.npy,27,196,66809.0
Comma-10_binary.npy,28,196,66809.0
Comma-10_binary.npy,29,196,66809.0
Comma-10_binary.npy,30,196,66809.0
Comma-10_binary.npy,31,196,66809.0
Comma-10_binary.npy,32,187,66899.0
Comma-10_binary.npy,33,182,66949.0
Comma-10_binary.npy,34,182,66949.0
Comma-10_binary.npy,35,182,66949.0
Comma-10_binary.npy,36,182,66949.0
Comma-10_binary.npy,37,182,66949.0
Comma-10_binary.npy,38,175,67019.0
Comma-10_binary.npy,39,175,67019.0
Comma-10_binary.npy,40,170,67069.0
Comma-10_binary.npy,41,170,67069.0
Comma-10_binary.npy,42,170,67069.0
Comma-10_binary.npy,43,170,67069.0
Comma-10_binary.npy,44,170,67069.0
Comma-10_binary.npy,45,167,67099.0
Comma-10_binary.npy,46,167,67099.0
Comma-10_binary.npy,47,167,67099.0
Comma-10_binary.npy,48,167,67099.0
Comma-10_binary.npy,49,166,67109.0
Comma-10_binary.npy,50,166,67109.0
Comma-10_binary.npy,51,166,67109.0
Comma-10_binary.npy,52,166,67109.0
Comma-10_binary.npy,53,166,67109.0
Comma-10_binary.npy,54,166,67109.0
Comma-10_binary.npy,55,166,67109.0
Comma-10_binary.npy,56,166,67109.0
Comma-10_binary.npy,57,166,67109.0
Glas-10_binary.npy,0,358,48115.0
Glas-10_binary.npy,1,358,48115.0
Glas-10_binary.npy,2,358,48115.0
Glas-10_binary.npy,3,301,48685.0
Glas-10_binary.npy,4,288,48815.0
Glas-10_binary.npy,5,288,48815.0
Glas-10_binary.npy,6,270,48995.0
Glas-10_binary.npy,7,270,48995.0
Glas-10_binary.npy,8,257,49125.0
Glas-10_binary.npy,9,256,49135.0
Glas-10_binary.npy,10,221,49485.0
Glas-10_binary.npy,11,221,49485.0
Glas-10_binary.npy,12,221,49485.0
Glas-10_binary.npy,13,213,49565.0
Glas-10_binary.npy,14,213,49565.0
Glas-10_binary.npy,15,213,49565.0
Glas-10_binary.npy,16,209,49605.0
Glas-10_binary.npy,17,209,49605.0
Glas-10_binary.npy,18,209,49605.0
Glas-10_binary.npy,19,196,49735.0
Glas-10_binary.npy,20,196,49735.0
Glas-10_binary.npy,21,196,49735.0
Glas-10_binary.npy,22,195,49745.0
Glas-10_binary.npy,23,195,49745.0
Glas-10_binary.npy,24,195,49745.0
Glas-10_binary.npy,25,190,49795.0
Glas-10_binary.npy,26,190,49795.0
Glas-10_binary.npy,27,190,49795.0
Glas-10_binary.npy,28,188,49815.0
Glas-10_binary.npy,29,188,49815.0
Glas-10_binary.npy,30,188,49815.0
Glas-10_binary.npy,31,188,49815.0
Glas-10_binary.npy,32,186,49835.0
Glas-10_binary.npy,33,186,49835.0
Glas-10_binary.npy,34,186,49835.0
Glas-10_binary.npy,35,186,49835.0
Glas-10_binary.npy,36,186,49835.0
Glas-10_binary.npy,37,185,49845.0
Glas-10_binary.npy,38,185,49845.0
Glas-10_binary.npy,39,185,49845.0
Glas-10_binary.npy,40,185,49845.0
Glas-10_binary.npy,41,185,49845.0
