image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Bone-10_binary.npy,26981568,20,411,16.41,27270.0,9
Comma-10_binary.npy,26981568,20,265,23.91,66119.0,9
Glas-10_binary.npy,26981568,20,358,21.84,48115.0,9
HCircle-10_binary.npy,26981568,20,200,14.03,47044.0,9
Heart-10_binary.npy,26981568,20,447,47.43,99479.0,9
Misk-10_binary.npy,26981568,20,430,35.13,88111.0,9
apple-10_binary.npy,26981568,20,214,10.67,25877.0,9
bat-10_binary.npy,26981568,20,429,30.52,49959.0,9
beetle-10_binary.npy,26981568,20,545,15.87,13220.0,9
bell-10_binary.npy,26981568,20,331,27.26,76365.0,9
