image_name,generation,best_rectangle_count,fitness
Acer_campestre.npy,0,2067,869954.0
Acer_campestre.npy,1,2067,869954.0
Acer_campestre.npy,2,1789,872734.0
Acer_campestre.npy,3,1789,872734.0
Acer_campestre.npy,4,1789,872734.0
Acer_campestre.npy,5,1709,873534.0
Acer_campestre.npy,6,1657,874054.0
Acer_campestre.npy,7,1657,874054.0
Acer_campestre.npy,8,1657,874054.0
Acer_campestre.npy,9,1626,874364.0
Acer_campestre.npy,10,1626,874364.0
Acer_campestre.npy,11,1626,874364.0
Acer_campestre.npy,12,1626,874364.0
Acer_campestre.npy,13,1626,874364.0
Acer_campestre.npy,14,1626,874364.0
Acer_campestre.npy,15,1626,874364.0
Acer_ginnala.npy,0,849,213192.0
Acer_ginnala.npy,1,816,213522.0
Acer_ginnala.npy,2,816,213522.0
Acer_ginnala.npy,3,781,213872.0
Acer_ginnala.npy,4,781,213872.0
Acer_ginnala.npy,5,773,213952.0
Acer_ginnala.npy,6,755,214132.0
Acer_ginnala.npy,7,755,214132.0
Acer_ginnala.npy,8,755,214132.0
Acer_ginnala.npy,9,755,214132.0
Acer_ginnala.npy,10,744,214242.0
Acer_ginnala.npy,11,743,214252.0
Acer_ginnala.npy,12,728,214402.0
Acer_ginnala.npy,13,728,214402.0
Acer_ginnala.npy,14,728,214402.0
Acer_ginnala.npy,15,728,214402.0
Acer_ginnala.npy,16,715,214532.0
Acer_ginnala.npy,17,715,214532.0
Acer_ginnala.npy,18,714,214542.0
Acer_ginnala.npy,19,714,214542.0
Acer_ginnala.npy,20,714,214542.0
Acer_ginnala.npy,21,713,214552.0
Acer_ginnala.npy,22,711,214572.0
Acer_ginnala.npy,23,702,214662.0
Acer_ginnala.npy,24,702,214662.0
Acer_ginnala.npy,25,702,214662.0
Acer_ginnala.npy,26,702,214662.0
Acer_ginnala.npy,27,702,214662.0
Acer_ginnala.npy,28,702,214662.0
Acer_ginnala.npy,29,702,214662.0
Acer_monspessulanum.npy,0,499,89388.0
Acer_monspessulanum.npy,1,436,90018.0
Acer_monspessulanum.npy,2,411,90268.0
Acer_monspessulanum.npy,3,406,90318.0
Acer_monspessulanum.npy,4,406,90318.0
Acer_monspessulanum.npy,5,395,90428.0
Acer_monspessulanum.npy,6,395,90428.0
Acer_monspessulanum.npy,7,395,90428.0
Acer_monspessulanum.npy,8,382,90558.0
Acer_monspessulanum.npy,9,365,90728.0
Acer_monspessulanum.npy,10,365,90728.0
Acer_monspessulanum.npy,11,365,90728.0
Acer_monspessulanum.npy,12,364,90738.0
Acer_monspessulanum.npy,13,363,90748.0
Acer_monspessulanum.npy,14,363,90748.0
Acer_monspessulanum.npy,15,363,90748.0
Acer_monspessulanum.npy,16,363,90748.0
Acer_monspessulanum.npy,17,363,90748.0
Acer_monspessulanum.npy,18,361,90768.0
Acer_monspessulanum.npy,19,361,90768.0
Acer_monspessulanum.npy,20,361,90768.0
Acer_monspessulanum.npy,21,361,90768.0
Acer_monspessulanum.npy,22,360,90778.0
Acer_monspessulanum.npy,23,360,90778.0
Acer_monspessulanum.npy,24,358,90798.0
Acer_monspessulanum.npy,25,358,90798.0
Acer_monspessulanum.npy,26,356,90818.0
Acer_monspessulanum.npy,27,356,90818.0
Acer_monspessulanum.npy,28,356,90818.0
Acer_monspessulanum.npy,29,356,90818.0
Acer_monspessulanum.npy,30,356,90818.0
Acer_monspessulanum.npy,31,355,90828.0
Acer_monspessulanum.npy,32,355,90828.0
Acer_monspessulanum.npy,33,355,90828.0
Acer_monspessulanum.npy,34,355,90828.0
