image_name,generation,best_rectangle_count,fitness
Acer_campestre.npy,0,2427,866354.0
Acer_campestre.npy,1,1921,871414.0
Acer_campestre.npy,2,1911,871514.0
Acer_campestre.npy,3,1911,871514.0
Acer_campestre.npy,4,1765,872974.0
Acer_campestre.npy,5,1765,872974.0
Acer_campestre.npy,6,1765,872974.0
Acer_campestre.npy,7,1765,872974.0
Acer_campestre.npy,8,1765,872974.0
Acer_campestre.npy,9,1765,872974.0
Acer_campestre.npy,10,1765,872974.0
Acer_campestre.npy,11,1765,872974.0
Acer_campestre.npy,12,1765,872974.0
Acer_campestre.npy,13,1765,872974.0
Acer_campestre.npy,14,1639,874234.0
Acer_campestre.npy,15,1639,874234.0
Acer_campestre.npy,16,1637,874254.0
Acer_campestre.npy,17,1637,874254.0
Acer_campestre.npy,18,1637,874254.0
Acer_campestre.npy,19,1622,874404.0
Acer_campestre.npy,20,1622,874404.0
Acer_campestre.npy,21,1577,874854.0
Acer_campestre.npy,22,1531,875314.0
Acer_campestre.npy,23,1531,875314.0
Acer_campestre.npy,24,1531,875314.0
Acer_campestre.npy,25,1509,875534.0
Acer_campestre.npy,26,1509,875534.0
Acer_campestre.npy,27,1509,875534.0
Acer_campestre.npy,28,1490,875724.0
Acer_campestre.npy,29,1489,875734.0
Acer_campestre.npy,30,1467,875954.0
Acer_campestre.npy,31,1467,875954.0
Acer_campestre.npy,32,1465,875974.0
Acer_campestre.npy,33,1463,875994.0
Acer_campestre.npy,34,1459,876034.0
Acer_campestre.npy,35,1459,876034.0
Acer_campestre.npy,36,1459,876034.0
Acer_campestre.npy,37,1458,876044.0
Acer_campestre.npy,38,1458,876044.0
Acer_campestre.npy,39,1458,876044.0
Acer_campestre.npy,40,1443,876194.0
Acer_campestre.npy,41,1416,876464.0
Acer_campestre.npy,42,1416,876464.0
Acer_campestre.npy,43,1416,876464.0
Acer_campestre.npy,44,1416,876464.0
Acer_campestre.npy,45,1416,876464.0
Acer_campestre.npy,46,1416,876464.0
Acer_campestre.npy,47,1416,876464.0
Acer_campestre.npy,48,1416,876464.0
Acer_campestre.npy,49,1416,876464.0
Acer_campestre.npy,50,1416,876464.0
Acer_campestre.npy,51,1416,876464.0
Acer_campestre.npy,52,1416,876464.0
Acer_campestre.npy,53,1416,876464.0
Acer_ginnala.npy,0,849,213192.0
Acer_ginnala.npy,1,759,214092.0
Acer_ginnala.npy,2,749,214192.0
Acer_ginnala.npy,3,749,214192.0
Acer_ginnala.npy,4,720,214482.0
Acer_ginnala.npy,5,720,214482.0
Acer_ginnala.npy,6,718,214502.0
Acer_ginnala.npy,7,713,214552.0
Acer_ginnala.npy,8,709,214592.0
Acer_ginnala.npy,9,707,214612.0
Acer_ginnala.npy,10,704,214642.0
Acer_ginnala.npy,11,704,214642.0
Acer_ginnala.npy,12,703,214652.0
Acer_ginnala.npy,13,703,214652.0
Acer_ginnala.npy,14,703,214652.0
Acer_ginnala.npy,15,703,214652.0
Acer_ginnala.npy,16,703,214652.0
Acer_ginnala.npy,17,700,214682.0
Acer_ginnala.npy,18,700,214682.0
Acer_ginnala.npy,19,700,214682.0
