image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Acer_campestre.npy,333121000,15,1416,201.55,876464.0,54
Acer_ginnala.npy,333121000,15,696,49.55,214722.0,46
Acer_monspessulanum.npy,333121000,15,355,16.78,90828.0,27
Acer_negundo.npy,333121000,15,607,40.77,346325.0,18
Acer_palmatum.npy,333121000,15,520,42.02,57465.0,44
Acer_platanoides.npy,333121000,15,1879,234.98,1044486.0,55
Acer_pseudoplatanus.npy,333121000,15,2062,481.97,1684235.0,69
Acer_saccharinum.npy,333121000,15,2340,256.03,697128.0,39
Acer_saccharum.npy,333121000,15,2048,200.26,1197058.0,26
Acer_tataricum.npy,333121000,15,571,50.51,259751.0,28
Actinidia_arguta.npy,333121000,15,694,67.81,434009.0,23
Aesculus_carnea.npy,333121000,15,1614,351.57,2027067.0,26
Aesculus_glabra.npy,333121000,15,556,41.62,430687.0,22
Aesculus_hippocastanum.npy,333121000,15,845,61.34,584834.0,24
Aesculus_octandra.npy,333121000,15,606,150.6,425471.0,77
Aesculus_pavia.npy,333121000,15,458,30.94,320770.0,18
Ailanthus_altissima.npy,333121000,15,994,184.35,1602094.0,15
Alnus_alnobetula.npy,333121000,15,504,27.86,269088.0,26
Alnus_glutinosa.npy,333121000,15,1005,96.66,617737.0,36
Alnus_incana.npy,333121000,15,942,114.42,817180.0,31
Alnus_orientalis.npy,333121000,15,595,32.62,301826.0,20
Amelanchier_ovalis.npy,333121000,15,469,53.81,235930.0,25
Amorpha_fruticosa.npy,333121000,15,217,10.54,89008.0,13
Amygdalus_communis.npy,333121000,15,285,26.44,116696.0,13
Arctostaphylos_uvaursi.npy,333121000,15,99,2.89,9176.0,13
Aronia_melanocarpa.npy,333121000,15,661,46.85,405485.0,32
Berberis_thunbergii.npy,333121000,15,91,2.14,12551.0,14
Berberis_vulgaris.npy,333121000,15,203,5.83,45323.0,18
Betula_nana.npy,333121000,15,114,5.35,10270.0,21
Betula_papyrifera.npy,333121000,15,1058,92.09,633176.0,29
Betula_pendula.npy,333121000,15,345,22.64,86704.0,22
Betula_pubescens.npy,333121000,15,362,16.74,121146.0,22
Buddleja_davidii.npy,333121000,15,560,115.56,487482.0,54
Buxus_sempervirens.npy,333121000,15,157,5.54,34097.0,15
Caragana_arborescens.npy,333121000,15,146,4.51,35159.0,15
Carpinus_betulus.npy,333121000,15,581,47.7,408329.0,25
Carya_ovata.npy,333121000,15,889,263.87,1141772.0,22
Castanea_sativa.npy,333121000,15,1,667.12,5727118.0,91
Catalpa_bignonioides.npy,333121000,15,1719,309.88,2479285.0,49
