image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Acer_campestre.npy,2115332063,6,1590,39.58,874724.0,50
Acer_ginnala.npy,2115332063,6,701,17.19,214672.0,63
Acer_monspessulanum.npy,2115332063,6,356,8.64,90818.0,54
Acer_negundo.npy,2115332063,6,610,8.35,346295.0,29
Acer_palmatum.npy,2115332063,6,547,5.75,57195.0,35
Acer_platanoides.npy,2115332063,6,1987,32.74,1043406.0,19
Acer_pseudoplatanus.npy,2115332063,6,2179,74.87,1683065.0,45
Acer_saccharinum.npy,2115332063,6,2725,29.45,693278.0,15
Acer_saccharum.npy,2115332063,6,2053,42.48,1197008.0,37
Acer_tataricum.npy,2115332063,6,582,10.05,259641.0,31
Actinidia_arguta.npy,2115332063,6,714,15.36,433809.0,22
Aesculus_carnea.npy,2115332063,6,1696,59.58,2026247.0,15
Aesculus_glabra.npy,2115332063,6,561,6.56,430637.0,17
Aesculus_hippocastanum.npy,2115332063,6,868,13.66,584604.0,20
Aesculus_octandra.npy,2115332063,6,787,21.56,423661.0,34
Aesculus_pavia.npy,2115332063,6,479,6.08,320560.0,9
Ailanthus_altissima.npy,2115332063,6,994,19.68,1602094.0,15
Alnus_alnobetula.npy,2115332063,6,649,2.59,267638.0,9
Alnus_glutinosa.npy,2115332063,6,1093,25.57,616857.0,52
Alnus_incana.npy,2115332063,6,972,49.08,816880.0,30
Alnus_orientalis.npy,2115332063,6,673,6.43,301046.0,9
Amelanchier_ovalis.npy,2115332063,6,481,7.74,235810.0,36
Amorpha_fruticosa.npy,2115332063,6,217,1.53,89008.0,9
Amygdalus_communis.npy,2115332063,6,285,3.09,116696.0,9
Arctostaphylos_uvaursi.npy,2115332063,6,99,0.53,9176.0,9
Aronia_melanocarpa.npy,2115332063,6,678,13.0,405315.0,24
Berberis_thunbergii.npy,2115332063,6,92,0.92,12541.0,14
Berberis_vulgaris.npy,2115332063,6,219,1.2,45163.0,9
Betula_nana.npy,2115332063,6,117,1.62,10240.0,24
Betula_papyrifera.npy,2115332063,6,1074,14.5,633016.0,20
Betula_pendula.npy,2115332063,6,363,4.85,86524.0,19
Betula_pubescens.npy,2115332063,6,365,4.78,121116.0,34
Buddleja_davidii.npy,2115332063,6,1066,10.7,482422.0,11
Buxus_sempervirens.npy,2115332063,6,160,1.44,34067.0,9
Caragana_arborescens.npy,2115332063,6,150,1.85,35119.0,9
Carpinus_betulus.npy,2115332063,6,635,8.68,407789.0,19
Carya_ovata.npy,2115332063,6,890,41.37,1141762.0,31
Castanea_sativa.npy,2115332063,6,1300,42.64,5714128.0,13
Catalpa_bignonioides.npy,2115332063,6,1856,50.63,2477915.0,21
Celtis_occidentalis.npy,2115332063,6,685,5.28,400647.0,14
Cercidiphyllum_japonicum.npy,2115332063,6,936,6.11,466205.0,12
Cercis_siliquastrum.npy,2115332063,6,1130,24.15,1028239.0,41
Chaenomeles_japonica.npy,2115332063,6,353,7.08,700998.0,20
Clematis_vitalba.npy,2115332063,6,1097,10.33,480558.0,12
Colutea_arborescens.npy,2115332063,6,254,3.48,79271.0,40
Cornus_alba.npy,2115332063,6,1023,25.37,1243056.0,38
Cornus_mas.npy,2115332063,6,530,6.59,278838.0,17
Cornus_sanguinea.npy,2115332063,6,297,2.59,103049.0,25
Corylus_avellana.npy,2115332063,6,1514,28.39,1697392.0,16
Corylus_colurna.npy,2115332063,6,1512,40.43,1424576.0,19
Corylus_maxima.npy,2115332063,6,928,19.53,779424.0,30
Cotinus_coggygria.npy,2115332063,6,798,8.99,628265.0,18
Cotoneaster_horizontalis.npy,2115332063,6,117,0.96,20294.0,21
Cotoneaster_integerrimus.npy,2115332063,6,192,1.29,36719.0,11
Crataegus_monogyna.npy,2115332063,6,360,2.4,66171.0,13
Cydonia_oblonga.npy,2115332063,6,731,7.0,509500.0,19
Daphne_mezereum.npy,2115332063,6,270,7.12,151248.0,9
Deutzia_scabra.npy,2115332063,6,302,4.91,123114.0,26
Elaeagnus_angustifolia.npy,2115332063,6,240,3.33,126501.0,18
Euonymus_europaea.npy,2115332063,6,540,6.75,358668.0,23
Euonymus_verrucosa.npy,2115332063,6,413,1.9,173719.0,9
Fagus_sylvatica.npy,2115332063,6,909,16.08,753349.0,10
Fallopia_aubertii.npy,2115332063,6,348,2.96,117907.0,17
Ficus_carica.npy,2115332063,6,1819,48.77,1398518.0,46
Forsythia_intermedia.npy,2115332063,6,424,3.04,156269.0,15
Frangula_alnus.npy,2115332063,6,438,6.26,172718.0,11
Fraxinus_excelsior.npy,2115332063,6,739,17.87,610996.0,34
Fraxinus_ornus.npy,2115332063,6,426,3.27,239617.0,13
Ginkgo_biloba.npy,2115332063,6,943,15.27,388984.0,32
Gleditsia_triacanthos.npy,2115332063,6,109,0.9,23200.0,9
Gymnocladus_dioicus.npy,2115332063,6,539,4.11,349092.0,18
Hamamelis_japonica.npy,2115332063,6,785,10.86,610128.0,29
Hamamelis_virginiana.npy,2115332063,6,681,6.89,473237.0,11
Hedera_helixFERTILE.npy,2115332063,6,1597,37.98,857017.0,15
Hedera_helixSTERILE.npy,2115332063,6,1567,17.8,645688.0,18
Hibiscus_syriacus.npy,2115332063,6,739,11.92,344072.0,29
Hippophae_rhamnoides.npy,2115332063,6,99,1.5,26755.0,9
Humulus_lupulus.npy,2115332063,6,2324,36.17,966592.0,39
Hydrangea_petiolaris.npy,2115332063,6,1261,32.6,1081491.0,35
Ilex_aquifolium.npy,2115332063,6,337,1.55,93991.0,12
Juglans_cinerea.npy,2115332063,6,695,14.58,811773.0,23
Juglans_nigra.npy,2115332063,6,567,11.23,471886.0,18
Juglans_regia.npy,2115332063,6,742,24.62,756450.0,28
Kerria_japonica.npy,2115332063,6,631,8.35,207745.0,10
Koelreuteria_paniculata.npy,2115332063,6,807,10.15,379730.0,41
Kolkwitzia_amabilis.npy,2115332063,6,327,6.9,138934.0,26
Laburnum_anagyroides.npy,2115332063,6,265,0.92,87626.0,9
Laurus_nobilis.npy,2115332063,6,440,12.08,273799.0,9
