image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Bone-10_binary.npy,938439935,3,381,0.12,27570.0,14
Bone-13_binary.npy,938439935,3,298,0.08,17960.0,14
Bone-17_binary.npy,938439935,3,250,0.12,26376.0,14
Bone-18_binary.npy,938439935,3,291,0.09,18814.0,14
Comma-12_binary.npy,938439935,3,157,0.09,66108.0,14
Comma-13_binary.npy,938439935,3,202,0.09,64046.0,14
Comma-14_binary.npy,938439935,3,162,0.1,72108.0,14
Comma-17_binary.npy,938439935,3,191,0.09,69681.0,14
Glas-10_binary.npy,938439935,3,185,0.09,49845.0,14
Glas-11_binary.npy,938439935,3,121,0.07,44642.0,14
Glas-3_binary.npy,938439935,3,159,0.09,54156.0,14
Glas-8_binary.npy,938439935,3,201,0.09,61611.0,14
HCircle-12_binary.npy,938439935,3,142,0.05,45525.0,14
HCircle-16_binary.npy,938439935,3,165,0.05,47314.0,14
HCircle-17_binary.npy,938439935,3,170,0.05,47042.0,14
HCircle-6_binary.npy,938439935,3,162,0.05,41143.0,14
Heart-10_binary.npy,938439935,3,412,0.13,99829.0,14
Heart-16_binary.npy,938439935,3,329,0.14,99876.0,14
Heart-7_binary.npy,938439935,3,397,0.14,113170.0,14
Heart-9_binary.npy,938439935,3,401,0.12,97849.0,14
Misk-17_binary.npy,938439935,3,371,0.1,77937.0,14
Misk-3_binary.npy,938439935,3,353,0.1,93854.0,14
Misk-4_binary.npy,938439935,3,321,0.09,83238.0,14
Misk-7_binary.npy,938439935,3,370,0.1,85696.0,14
apple-10_binary.npy,938439935,3,131,0.05,26707.0,14
apple-15_binary.npy,938439935,3,162,0.05,35974.0,14
apple-18_binary.npy,938439935,3,146,0.05,33352.0,14
apple-8_binary.npy,938439935,3,131,0.05,29767.0,14
bat-14_binary.npy,938439935,3,595,0.25,99446.0,14
bat-18_binary.npy,938439935,3,464,0.19,84689.0,14
bat-1_binary.npy,938439935,3,435,0.27,85594.0,14
bat-3_binary.npy,938439935,3,459,0.42,73763.0,14
beetle-12_binary.npy,938439935,3,252,0.06,9231.0,14
beetle-13_binary.npy,938439935,3,375,0.04,10180.0,14
beetle-16_binary.npy,938439935,3,300,0.04,10359.0,14
beetle-1_binary.npy,938439935,3,595,0.31,54869.0,14
bell-13_binary.npy,938439935,3,136,0.04,24906.0,14
bell-20_binary.npy,938439935,3,147,0.23,24000.0,14
bell-2_binary.npy,938439935,3,33,0.0,1953.0,14
bell-7_binary.npy,938439935,3,79,0.01,8720.0,14
bird-11_binary.npy,938439935,3,272,0.06,23698.0,14
bird-18_binary.npy,938439935,3,181,0.05,16121.0,14
bird-4_binary.npy,938439935,3,399,0.39,86001.0,14
bird-9_binary.npy,938439935,3,256,0.06,24017.0,14
bottle-03_binary.npy,938439935,3,44,0.07,5147.0,14
