image_name,generation,best_rectangle_count,fitness
Bone-10_binary.npy,0,411,27270.0
Bone-10_binary.npy,1,397,27410.0
Bone-10_binary.npy,2,397,27410.0
Bone-10_binary.npy,3,397,27410.0
Bone-10_binary.npy,4,397,27410.0
Bone-10_binary.npy,5,387,27510.0
Bone-10_binary.npy,6,387,27510.0
Bone-10_binary.npy,7,387,27510.0
Bone-10_binary.npy,8,387,27510.0
Bone-10_binary.npy,9,386,27520.0
Bone-10_binary.npy,10,385,27530.0
Bone-10_binary.npy,11,385,27530.0
Bone-10_binary.npy,12,384,27540.0
Bone-10_binary.npy,13,384,27540.0
Bone-10_binary.npy,14,383,27550.0
Bone-10_binary.npy,15,383,27550.0
Bone-10_binary.npy,16,382,27560.0
Bone-10_binary.npy,17,382,27560.0
Bone-10_binary.npy,18,382,27560.0
Bone-10_binary.npy,19,382,27560.0
Bone-10_binary.npy,20,381,27570.0
Bone-10_binary.npy,21,381,27570.0
Bone-10_binary.npy,22,381,27570.0
Bone-10_binary.npy,23,381,27570.0
Bone-10_binary.npy,24,381,27570.0
Bone-10_binary.npy,25,381,27570.0
Bone-10_binary.npy,26,381,27570.0
Bone-13_binary.npy,0,334,17600.0
Bone-13_binary.npy,1,328,17660.0
Bone-13_binary.npy,2,316,17780.0
Bone-13_binary.npy,3,316,17780.0
Bone-13_binary.npy,4,308,17860.0
Bone-13_binary.npy,5,308,17860.0
Bone-13_binary.npy,6,308,17860.0
Bone-13_binary.npy,7,308,17860.0
Bone-13_binary.npy,8,308,17860.0
Bone-13_binary.npy,9,306,17880.0
Bone-13_binary.npy,10,306,17880.0
Bone-13_binary.npy,11,305,17890.0
Bone-13_binary.npy,12,304,17900.0
Bone-13_binary.npy,13,302,17920.0
Bone-13_binary.npy,14,301,17930.0
Bone-13_binary.npy,15,301,17930.0
Bone-13_binary.npy,16,301,17930.0
Bone-13_binary.npy,17,301,17930.0
Bone-13_binary.npy,18,299,17950.0
Bone-13_binary.npy,19,299,17950.0
Bone-13_binary.npy,20,299,17950.0
Bone-13_binary.npy,21,299,17950.0
Bone-13_binary.npy,22,299,17950.0
Bone-13_binary.npy,23,299,17950.0
Bone-13_binary.npy,24,298,17960.0
Bone-13_binary.npy,25,298,17960.0
