image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Bone-10_binary.npy,513991544,20,381,14.15,27570.0,27
Bone-13_binary.npy,513991544,20,298,8.72,17960.0,31
Bone-17_binary.npy,513991544,20,266,9.67,26216.0,31
Bone-18_binary.npy,513991544,20,291,9.34,18814.0,23
Comma-12_binary.npy,513991544,20,208,7.59,65598.0,28
Comma-13_binary.npy,513991544,20,243,3.41,63636.0,9
Comma-14_binary.npy,513991544,20,184,8.58,71888.0,34
Comma-17_binary.npy,513991544,20,192,12.78,69671.0,53
Glas-10_binary.npy,513991544,20,185,14.62,49845.0,54
Glas-11_binary.npy,513991544,20,135,6.42,44502.0,28
Glas-3_binary.npy,513991544,20,202,6.34,53726.0,13
Glas-8_binary.npy,513991544,20,201,21.4,61611.0,37
HCircle-12_binary.npy,513991544,20,142,9.67,45525.0,40
HCircle-16_binary.npy,513991544,20,165,8.86,47314.0,30
HCircle-17_binary.npy,513991544,20,170,8.26,47042.0,28
HCircle-6_binary.npy,513991544,20,162,9.03,41143.0,33
Heart-10_binary.npy,513991544,20,412,16.53,99829.0,27
Heart-16_binary.npy,513991544,20,329,22.29,99876.0,48
Heart-7_binary.npy,513991544,20,400,17.71,113140.0,30
Heart-9_binary.npy,513991544,20,401,11.73,97849.0,33
Misk-17_binary.npy,513991544,20,374,16.02,77907.0,23
Misk-3_binary.npy,513991544,20,353,18.53,93854.0,26
Misk-4_binary.npy,513991544,20,321,15.92,83238.0,28
Misk-7_binary.npy,513991544,20,371,15.46,85686.0,23
apple-10_binary.npy,513991544,20,133,6.8,26687.0,28
apple-15_binary.npy,513991544,20,175,4.99,35844.0,31
apple-18_binary.npy,513991544,20,157,6.06,33242.0,17
apple-8_binary.npy,513991544,20,131,7.01,29767.0,27
bat-14_binary.npy,513991544,20,595,33.32,99446.0,40
bat-18_binary.npy,513991544,20,464,29.88,84689.0,30
bat-1_binary.npy,513991544,20,435,34.02,85594.0,34
bat-3_binary.npy,513991544,20,457,33.97,73783.0,44
beetle-12_binary.npy,513991544,20,253,12.35,9221.0,31
beetle-13_binary.npy,513991544,20,384,9.86,10090.0,35
beetle-16_binary.npy,513991544,20,304,5.1,10319.0,21
beetle-1_binary.npy,513991544,20,854,19.43,52279.0,15
bell-13_binary.npy,513991544,20,138,3.7,24886.0,31
bell-20_binary.npy,513991544,20,150,13.42,23970.0,29
bell-2_binary.npy,513991544,20,38,0.83,1903.0,23
bell-7_binary.npy,513991544,20,79,3.01,8720.0,35
bird-11_binary.npy,513991544,20,272,7.98,23698.0,28
bird-18_binary.npy,513991544,20,181,6.72,16121.0,27
bird-4_binary.npy,513991544,20,399,21.8,86001.0,26
bird-9_binary.npy,513991544,20,259,7.62,23987.0,27
bottle-03_binary.npy,513991544,20,45,5.96,5137.0,15
bottle-04_binary.npy,513991544,20,48,3.78,5376.0,15
bottle-13_binary.npy,513991544,20,41,4.05,4046.0,13
bottle-18_binary.npy,513991544,20,55,4.2,5171.0,7
brick-07_binary.npy,513991544,20,125,5.09,14271.0,17
brick-10_binary.npy,513991544,20,103,2.74,9111.0,11
brick-12_binary.npy,513991544,20,103,4.6,10567.0,13
brick-18_binary.npy,513991544,20,94,4.91,10486.0,15
butterfly-11_binary.npy,513991544,20,686,7.95,43357.0,10
butterfly-12_binary.npy,513991544,20,384,18.28,67204.0,30
butterfly-17_binary.npy,513991544,20,578,30.74,78214.0,43
butterfly-19_binary.npy,513991544,20,265,14.83,50042.0,31
camel-12_binary.npy,513991544,20,255,11.22,28287.0,31
camel-13_binary.npy,513991544,20,285,7.5,42216.0,25
camel-17_binary.npy,513991544,20,341,9.63,30330.0,25
camel-2_binary.npy,513991544,20,352,13.81,31786.0,19
car-06_binary.npy,513991544,20,78,6.44,8651.0,24
car-09_binary.npy,513991544,20,79,4.56,9673.0,13
car-12_binary.npy,513991544,20,89,8.12,10834.0,29
car-15_binary.npy,513991544,20,79,5.75,11409.0,24
carriage-07_binary.npy,513991544,20,141,10.52,7813.0,39
carriage-09_binary.npy,513991544,20,144,10.42,6882.0,50
carriage-12_binary.npy,513991544,20,146,7.22,6643.0,39
carriage-20_binary.npy,513991544,20,158,6.72,6885.0,29
cattle-12_binary.npy,513991544,20,363,31.87,61524.0,59
cattle-15_binary.npy,513991544,20,725,28.22,57342.0,36
cattle-17_binary.npy,513991544,20,671,31.79,114630.0,34
cattle-7_binary.npy,513991544,20,604,30.15,51958.0,34
cellular_phone-15_binary.npy,513991544,20,43,6.3,27138.0,45
cellular_phone-18_binary.npy,513991544,20,43,4.36,36410.0,28
cellular_phone-2_binary.npy,513991544,20,44,6.01,27996.0,38
cellular_phone-4_binary.npy,513991544,20,64,6.96,43709.0,21
chicken-11_binary.npy,513991544,20,101,2.5,6515.0,29
chicken-17_binary.npy,513991544,20,264,13.06,30406.0,35
chicken-1_binary.npy,513991544,20,394,18.77,65573.0,31
chicken-7_binary.npy,513991544,20,77,2.78,4600.0,26
children-11_binary.npy,513991544,20,71,4.91,5778.0,16
children-17_binary.npy,513991544,20,79,2.69,5558.0,20
children-1_binary.npy,513991544,20,78,3.6,5640.0,8
children-2_binary.npy,513991544,20,69,4.42,5768.0,16
chopper-03_binary.npy,513991544,20,125,8.52,11452.0,25
chopper-07_binary.npy,513991544,20,111,6.2,11076.0,32
chopper-09_binary.npy,513991544,20,118,4.21,11486.0,22
chopper-11_binary.npy,513991544,20,122,7.19,11790.0,14
