image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Actinidia_arguta.npy,98856417,20,694,35.92,434009.0,9
Amygdalus_communis.npy,98856417,20,285,15.44,116696.0,9
Caragana_arborescens.npy,98856417,20,146,2.46,35159.0,9
Carya_ovata.npy,98856417,20,889,79.43,1141772.0,9
Celtis_occidentalis.npy,98856417,20,610,21.97,401397.0,9
Clematis_vitalba.npy,98856417,20,994,49.31,481588.0,11
Cornus_alba.npy,98856417,20,1023,59.4,1243056.0,9
Cotoneaster_horizontalis.npy,98856417,20,117,3.74,20294.0,9
Euonymus_verrucosa.npy,98856417,20,383,11.15,174019.0,9
Ginkgo_biloba.npy,98856417,20,933,37.71,389084.0,10
