image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Bone-10_binary.npy,98856417,20,381,12.19,27570.0,9
Comma-10_binary.npy,98856417,20,166,13.01,67109.0,9
Glas-10_binary.npy,98856417,20,185,10.96,49845.0,9
HCircle-10_binary.npy,98856417,20,127,9.29,47774.0,9
Heart-10_binary.npy,98856417,20,412,26.5,99829.0,9
Misk-10_binary.npy,98856417,20,368,21.39,88731.0,9
apple-10_binary.npy,98856417,20,131,5.42,26707.0,9
bat-10_binary.npy,98856417,20,389,24.82,50359.0,9
beetle-10_binary.npy,98856417,20,349,9.69,15180.0,9
bell-10_binary.npy,98856417,20,211,16.66,77565.0,9
