image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Bone-10_binary.npy,98856417,20,381,17.96,27570.0,9
Comma-10_binary.npy,98856417,20,166,19.84,67109.0,9
Glas-10_binary.npy,98856417,20,185,15.22,49845.0,9
HCircle-10_binary.npy,98856417,20,127,10.56,47774.0,9
Heart-10_binary.npy,98856417,20,412,30.02,99829.0,9
Misk-10_binary.npy,98856417,20,368,58.05,88731.0,9
apple-10_binary.npy,98856417,20,131,8.29,26707.0,9
bat-10_binary.npy,98856417,20,389,26.52,50359.0,9
beetle-10_binary.npy,98856417,20,349,12.36,15180.0,9
bell-10_binary.npy,98856417,20,211,22.72,77565.0,9
