image_name,generation,best_rectangle_count,fitness
Acer_campestre.npy,0,1458,876044.0
Acer_campestre.npy,1,1458,876044.0
Acer_campestre.npy,2,1458,876044.0
Acer_campestre.npy,3,1458,876044.0
Acer_campestre.npy,4,1458,876044.0
Acer_campestre.npy,5,1457,876054.0
Acer_campestre.npy,6,1457,876054.0
Acer_campestre.npy,7,1442,876204.0
Acer_campestre.npy,8,1442,876204.0
Acer_campestre.npy,9,1442,876204.0
Acer_campestre.npy,10,1442,876204.0
Acer_campestre.npy,11,1442,876204.0
Acer_campestre.npy,12,1442,876204.0
Acer_campestre.npy,13,1442,876204.0
Acer_campestre.npy,14,1442,876204.0
Acer_campestre.npy,15,1442,876204.0
Acer_campestre.npy,16,1442,876204.0
Acer_campestre.npy,17,1442,876204.0
Acer_campestre.npy,18,1442,876204.0
Acer_campestre.npy,19,1442,876204.0
Acer_ginnala.npy,0,705,214632.0
Acer_ginnala.npy,1,705,214632.0
Acer_ginnala.npy,2,705,214632.0
Acer_ginnala.npy,3,705,214632.0
Acer_ginnala.npy,4,705,214632.0
Acer_ginnala.npy,5,705,214632.0
Acer_ginnala.npy,6,705,214632.0
Acer_ginnala.npy,7,705,214632.0
Acer_ginnala.npy,8,700,214682.0
Acer_ginnala.npy,9,698,214702.0
Acer_ginnala.npy,10,698,214702.0
Acer_ginnala.npy,11,698,214702.0
Acer_ginnala.npy,12,698,214702.0
Acer_ginnala.npy,13,698,214702.0
Acer_ginnala.npy,14,698,214702.0
Acer_ginnala.npy,15,698,214702.0
Acer_ginnala.npy,16,697,214712.0
Acer_ginnala.npy,17,697,214712.0
Acer_ginnala.npy,18,697,214712.0
Acer_ginnala.npy,19,697,214712.0
Acer_ginnala.npy,20,697,214712.0
Acer_ginnala.npy,21,697,214712.0
Acer_ginnala.npy,22,697,214712.0
Acer_ginnala.npy,23,697,214712.0
Acer_ginnala.npy,24,697,214712.0
Acer_ginnala.npy,25,697,214712.0
Acer_ginnala.npy,26,697,214712.0
Acer_ginnala.npy,27,697,214712.0
Acer_ginnala.npy,28,697,214712.0
Acer_monspessulanum.npy,0,355,90828.0
Acer_monspessulanum.npy,1,355,90828.0
Acer_monspessulanum.npy,2,355,90828.0
Acer_monspessulanum.npy,3,355,90828.0
Acer_monspessulanum.npy,4,355,90828.0
Acer_monspessulanum.npy,5,355,90828.0
Acer_monspessulanum.npy,6,355,90828.0
Acer_monspessulanum.npy,7,355,90828.0
Acer_monspessulanum.npy,8,355,90828.0
Acer_monspessulanum.npy,9,355,90828.0
Acer_monspessulanum.npy,10,355,90828.0
Acer_monspessulanum.npy,11,355,90828.0
Acer_monspessulanum.npy,12,355,90828.0
Acer_negundo.npy,0,607,346325.0
Acer_negundo.npy,1,607,346325.0
Acer_negundo.npy,2,607,346325.0
Acer_negundo.npy,3,607,346325.0
Acer_negundo.npy,4,607,346325.0
Acer_negundo.npy,5,607,346325.0
Acer_negundo.npy,6,607,346325.0
Acer_negundo.npy,7,607,346325.0
Acer_negundo.npy,8,607,346325.0
Acer_negundo.npy,9,607,346325.0
Acer_negundo.npy,10,607,346325.0
Acer_negundo.npy,11,607,346325.0
Acer_negundo.npy,12,607,346325.0
Acer_palmatum.npy,0,522,57445.0
Acer_palmatum.npy,1,522,57445.0
Acer_palmatum.npy,2,522,57445.0
Acer_palmatum.npy,3,522,57445.0
Acer_palmatum.npy,4,522,57445.0
Acer_palmatum.npy,5,522,57445.0
Acer_palmatum.npy,6,516,57505.0
Acer_palmatum.npy,7,516,57505.0
Acer_palmatum.npy,8,516,57505.0
Acer_palmatum.npy,9,516,57505.0
Acer_palmatum.npy,10,516,57505.0
Acer_palmatum.npy,11,516,57505.0
Acer_palmatum.npy,12,516,57505.0
Acer_palmatum.npy,13,516,57505.0
Acer_palmatum.npy,14,516,57505.0
Acer_palmatum.npy,15,516,57505.0
Acer_palmatum.npy,16,516,57505.0
Acer_palmatum.npy,17,516,57505.0
Acer_palmatum.npy,18,516,57505.0
Acer_platanoides.npy,0,1912,1044156.0
Acer_platanoides.npy,1,1912,1044156.0
Acer_platanoides.npy,2,1912,1044156.0
Acer_platanoides.npy,3,1912,1044156.0
Acer_platanoides.npy,4,1912,1044156.0
Acer_platanoides.npy,5,1912,1044156.0
Acer_platanoides.npy,6,1912,1044156.0
Acer_platanoides.npy,7,1912,1044156.0
Acer_platanoides.npy,8,1912,1044156.0
Acer_platanoides.npy,9,1912,1044156.0
Acer_platanoides.npy,10,1912,1044156.0
Acer_platanoides.npy,11,1912,1044156.0
Acer_platanoides.npy,12,1912,1044156.0
Acer_pseudoplatanus.npy,0,2185,1683005.0
Acer_pseudoplatanus.npy,1,2185,1683005.0
Acer_pseudoplatanus.npy,2,2130,1683555.0
Acer_pseudoplatanus.npy,3,2130,1683555.0
Acer_pseudoplatanus.npy,4,2130,1683555.0
Acer_pseudoplatanus.npy,5,2130,1683555.0
Acer_pseudoplatanus.npy,6,2130,1683555.0
Acer_pseudoplatanus.npy,7,2130,1683555.0
Acer_pseudoplatanus.npy,8,2130,1683555.0
Acer_pseudoplatanus.npy,9,2130,1683555.0
Acer_pseudoplatanus.npy,10,2130,1683555.0
Acer_pseudoplatanus.npy,11,2115,1683705.0
Acer_pseudoplatanus.npy,12,2068,1684175.0
Acer_pseudoplatanus.npy,13,2068,1684175.0
Acer_pseudoplatanus.npy,14,2068,1684175.0
Acer_pseudoplatanus.npy,15,2068,1684175.0
Acer_pseudoplatanus.npy,16,2068,1684175.0
Acer_pseudoplatanus.npy,17,2068,1684175.0
Acer_pseudoplatanus.npy,18,2068,1684175.0
Acer_pseudoplatanus.npy,19,2068,1684175.0
Acer_pseudoplatanus.npy,20,2068,1684175.0
Acer_pseudoplatanus.npy,21,2068,1684175.0
Acer_pseudoplatanus.npy,22,2068,1684175.0
Acer_pseudoplatanus.npy,23,2068,1684175.0
Acer_pseudoplatanus.npy,24,2068,1684175.0
Acer_saccharinum.npy,0,2340,697128.0
Acer_saccharinum.npy,1,2340,697128.0
Acer_saccharinum.npy,2,2340,697128.0
Acer_saccharinum.npy,3,2340,697128.0
Acer_saccharinum.npy,4,2340,697128.0
Acer_saccharinum.npy,5,2340,697128.0
Acer_saccharinum.npy,6,2340,697128.0
Acer_saccharinum.npy,7,2340,697128.0
Acer_saccharinum.npy,8,2340,697128.0
Acer_saccharinum.npy,9,2340,697128.0
Acer_saccharinum.npy,10,2340,697128.0
Acer_saccharinum.npy,11,2340,697128.0
Acer_saccharinum.npy,12,2340,697128.0
Acer_saccharum.npy,0,2048,1197058.0
Acer_saccharum.npy,1,2048,1197058.0
Acer_saccharum.npy,2,2048,1197058.0
Acer_saccharum.npy,3,2048,1197058.0
Acer_saccharum.npy,4,2048,1197058.0
Acer_saccharum.npy,5,2048,1197058.0
Acer_saccharum.npy,6,2048,1197058.0
Acer_saccharum.npy,7,2048,1197058.0
Acer_saccharum.npy,8,2048,1197058.0
Acer_saccharum.npy,9,2048,1197058.0
Acer_saccharum.npy,10,2048,1197058.0
Acer_saccharum.npy,11,2048,1197058.0
Acer_saccharum.npy,12,2048,1197058.0
Acer_tataricum.npy,0,571,259751.0
Acer_tataricum.npy,1,571,259751.0
Acer_tataricum.npy,2,571,259751.0
Acer_tataricum.npy,3,571,259751.0
Acer_tataricum.npy,4,571,259751.0
Acer_tataricum.npy,5,571,259751.0
Acer_tataricum.npy,6,571,259751.0
