image_name,generation,best_rectangle_count,fitness
Bone-10_binary.npy,0,381,27570.0
Bone-10_binary.npy,1,381,27570.0
Bone-10_binary.npy,2,381,27570.0
Bone-10_binary.npy,3,381,27570.0
Bone-10_binary.npy,4,381,27570.0
Bone-10_binary.npy,5,381,27570.0
Bone-10_binary.npy,6,381,27570.0
Bone-10_binary.npy,7,381,27570.0
Bone-10_binary.npy,8,381,27570.0
Bone-10_binary.npy,9,381,27570.0
Bone-10_binary.npy,10,381,27570.0
Bone-10_binary.npy,11,381,27570.0
Bone-10_binary.npy,12,381,27570.0
Bone-13_binary.npy,0,298,17960.0
Bone-13_binary.npy,1,298,17960.0
Bone-13_binary.npy,2,298,17960.0
Bone-13_binary.npy,3,298,17960.0
Bone-13_binary.npy,4,298,17960.0
Bone-13_binary.npy,5,298,17960.0
Bone-13_binary.npy,6,298,17960.0
Bone-13_binary.npy,7,298,17960.0
Bone-13_binary.npy,8,298,17960.0
Bone-13_binary.npy,9,298,17960.0
Bone-13_binary.npy,10,298,17960.0
Bone-13_binary.npy,11,298,17960.0
Bone-13_binary.npy,12,298,17960.0
Bone-17_binary.npy,0,250,26376.0
Bone-17_binary.npy,1,250,26376.0
Bone-17_binary.npy,2,250,26376.0
Bone-17_binary.npy,3,250,26376.0
Bone-17_binary.npy,4,250,26376.0
Bone-17_binary.npy,5,250,26376.0
Bone-17_binary.npy,6,250,26376.0
Bone-17_binary.npy,7,250,26376.0
Bone-17_binary.npy,8,250,26376.0
Bone-17_binary.npy,9,250,26376.0
Bone-17_binary.npy,10,250,26376.0
Bone-17_binary.npy,11,250,26376.0
Bone-17_binary.npy,12,250,26376.0
Bone-18_binary.npy,0,291,18814.0
Bone-18_binary.npy,1,291,18814.0
Bone-18_binary.npy,2,291,18814.0
Bone-18_binary.npy,3,291,18814.0
Bone-18_binary.npy,4,291,18814.0
Bone-18_binary.npy,5,291,18814.0
Bone-18_binary.npy,6,291,18814.0
Bone-18_binary.npy,7,291,18814.0
Bone-18_binary.npy,8,291,18814.0
Bone-18_binary.npy,9,291,18814.0
Bone-18_binary.npy,10,291,18814.0
Bone-18_binary.npy,11,291,18814.0
Bone-18_binary.npy,12,291,18814.0
Comma-12_binary.npy,0,157,66108.0
Comma-12_binary.npy,1,157,66108.0
Comma-12_binary.npy,2,157,66108.0
Comma-12_binary.npy,3,157,66108.0
Comma-12_binary.npy,4,157,66108.0
Comma-12_binary.npy,5,157,66108.0
Comma-12_binary.npy,6,157,66108.0
Comma-12_binary.npy,7,157,66108.0
Comma-12_binary.npy,8,157,66108.0
Comma-12_binary.npy,9,157,66108.0
Comma-12_binary.npy,10,157,66108.0
Comma-12_binary.npy,11,157,66108.0
Comma-12_binary.npy,12,157,66108.0
Comma-13_binary.npy,0,202,64046.0
Comma-13_binary.npy,1,202,64046.0
Comma-13_binary.npy,2,202,64046.0
Comma-13_binary.npy,3,202,64046.0
Comma-13_binary.npy,4,202,64046.0
Comma-13_binary.npy,5,202,64046.0
Comma-13_binary.npy,6,202,64046.0
Comma-13_binary.npy,7,202,64046.0
Comma-13_binary.npy,8,202,64046.0
Comma-13_binary.npy,9,202,64046.0
Comma-13_binary.npy,10,202,64046.0
Comma-13_binary.npy,11,202,64046.0
Comma-13_binary.npy,12,202,64046.0
Comma-14_binary.npy,0,162,72108.0
Comma-14_binary.npy,1,162,72108.0
Comma-14_binary.npy,2,162,72108.0
Comma-14_binary.npy,3,162,72108.0
Comma-14_binary.npy,4,162,72108.0
Comma-14_binary.npy,5,162,72108.0
Comma-14_binary.npy,6,162,72108.0
Comma-14_binary.npy,7,162,72108.0
Comma-14_binary.npy,8,162,72108.0
Comma-14_binary.npy,9,162,72108.0
Comma-14_binary.npy,10,162,72108.0
Comma-14_binary.npy,11,162,72108.0
Comma-14_binary.npy,12,162,72108.0
Comma-17_binary.npy,0,191,69681.0
Comma-17_binary.npy,1,191,69681.0
Comma-17_binary.npy,2,191,69681.0
Comma-17_binary.npy,3,191,69681.0
Comma-17_binary.npy,4,191,69681.0
Comma-17_binary.npy,5,191,69681.0
Comma-17_binary.npy,6,191,69681.0
Comma-17_binary.npy,7,191,69681.0
Comma-17_binary.npy,8,191,69681.0
Comma-17_binary.npy,9,191,69681.0
Comma-17_binary.npy,10,191,69681.0
Comma-17_binary.npy,11,191,69681.0
Comma-17_binary.npy,12,191,69681.0
Glas-10_binary.npy,0,185,49845.0
Glas-10_binary.npy,1,185,49845.0
Glas-10_binary.npy,2,185,49845.0
Glas-10_binary.npy,3,185,49845.0
Glas-10_binary.npy,4,185,49845.0
Glas-10_binary.npy,5,185,49845.0
Glas-10_binary.npy,6,185,49845.0
Glas-10_binary.npy,7,185,49845.0
Glas-10_binary.npy,8,185,49845.0
Glas-10_binary.npy,9,185,49845.0
Glas-10_binary.npy,10,185,49845.0
Glas-10_binary.npy,11,185,49845.0
Glas-10_binary.npy,12,185,49845.0
Glas-11_binary.npy,0,121,44642.0
Glas-11_binary.npy,1,121,44642.0
Glas-11_binary.npy,2,121,44642.0
Glas-11_binary.npy,3,121,44642.0
Glas-11_binary.npy,4,121,44642.0
Glas-11_binary.npy,5,121,44642.0
Glas-11_binary.npy,6,121,44642.0
Glas-11_binary.npy,7,121,44642.0
Glas-11_binary.npy,8,121,44642.0
Glas-11_binary.npy,9,121,44642.0
Glas-11_binary.npy,10,121,44642.0
Glas-11_binary.npy,11,121,44642.0
Glas-11_binary.npy,12,121,44642.0
Glas-3_binary.npy,0,159,54156.0
Glas-3_binary.npy,1,159,54156.0
Glas-3_binary.npy,2,159,54156.0
Glas-3_binary.npy,3,159,54156.0
Glas-3_binary.npy,4,159,54156.0
Glas-3_binary.npy,5,159,54156.0
Glas-3_binary.npy,6,159,54156.0
Glas-3_binary.npy,7,159,54156.0
Glas-3_binary.npy,8,159,54156.0
Glas-3_binary.npy,9,159,54156.0
Glas-3_binary.npy,10,159,54156.0
Glas-3_binary.npy,11,159,54156.0
Glas-3_binary.npy,12,159,54156.0
Glas-8_binary.npy,0,201,61611.0
Glas-8_binary.npy,1,201,61611.0
Glas-8_binary.npy,2,201,61611.0
Glas-8_binary.npy,3,201,61611.0
Glas-8_binary.npy,4,201,61611.0
Glas-8_binary.npy,5,201,61611.0
Glas-8_binary.npy,6,201,61611.0
Glas-8_binary.npy,7,201,61611.0
Glas-8_binary.npy,8,201,61611.0
Glas-8_binary.npy,9,201,61611.0
Glas-8_binary.npy,10,201,61611.0
Glas-8_binary.npy,11,201,61611.0
Glas-8_binary.npy,12,201,61611.0
HCircle-12_binary.npy,0,142,45525.0
HCircle-12_binary.npy,1,142,45525.0
HCircle-12_binary.npy,2,142,45525.0
HCircle-12_binary.npy,3,142,45525.0
HCircle-12_binary.npy,4,142,45525.0
HCircle-12_binary.npy,5,142,45525.0
HCircle-12_binary.npy,6,142,45525.0
HCircle-12_binary.npy,7,142,45525.0
HCircle-12_binary.npy,8,142,45525.0
HCircle-12_binary.npy,9,142,45525.0
HCircle-12_binary.npy,10,142,45525.0
HCircle-12_binary.npy,11,142,45525.0
HCircle-12_binary.npy,12,142,45525.0
HCircle-16_binary.npy,0,165,47314.0
HCircle-16_binary.npy,1,165,47314.0
HCircle-16_binary.npy,2,165,47314.0
HCircle-16_binary.npy,3,165,47314.0
