image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Berberis_thunbergii.npy,89275552,15,167,8.93,11791.0,71
Berberis_vulgaris.npy,89275552,15,365,23.07,43703.0,86
Betula_papyrifera.npy,89275552,15,9800,327.1,545756.0,32
Betula_pendula.npy,89275552,15,589,45.2,84264.0,85
Clematis_vitalba.npy,89275552,15,3092,113.37,460608.0,34
Fallopia_aubertii.npy,89275552,15,588,93.49,115507.0,150
Frangula_alnus.npy,89275552,15,1080,47.99,166298.0,55
Hedera_helixSTERILE.npy,89275552,15,8370,339.93,577658.0,34
Koelreuteria_paniculata.npy,89275552,15,2179,171.69,366010.0,70
Laburnum_anagyroides.npy,89275552,15,1355,32.96,76726.0,36
Physocarpus_opulifolius.npy,89275552,15,4262,167.89,294593.0,45
Quercus_cerris.npy,89275552,15,5123,195.41,673919.0,34
Quercus_palustris.npy,89275552,15,6376,550.94,264482.0,45
Robinia_viscosa.npy,89275552,15,1705,68.2,122249.0,41
Sorbus_intermedia.npy,89275552,15,3787,186.56,623096.0,48
Syringa_chinensis.npy,89275552,15,920,146.9,109076.0,135
Tilia_cordata.npy,89275552,15,3644,60.12,177155.0,31
Tilia_tomentosa.npy,89275552,15,6513,491.51,739028.0,56
Viburnum_rhytidophyllum.npy,89275552,15,3623,396.93,582177.0,68
Zelkova_serrata.npy,89275552,15,4477,145.49,720896.0,34
