image_name,generation,best_rectangle_count,fitness
HCircle-10_binary.npy,0,8,-20018316.308294594
HCircle-10_binary.npy,1,402,-26528.647663322732
HCircle-10_binary.npy,2,697,-4823.391240518734
HCircle-10_binary.npy,3,636,-4017.052116466827
HCircle-10_binary.npy,4,1054,-2415.5941603458227
HCircle-10_binary.npy,5,1103,-1761.8651822852648
HCircle-10_binary.npy,6,1137,-1065.3564962075159
HCircle-10_binary.npy,7,1152,-227.11883206920896
HCircle-10_binary.npy,8,1152,-227.11883206920896
HCircle-10_binary.npy,9,1092,-126.94927004325561
HCircle-10_binary.npy,10,1092,-126.94927004325561
HCircle-10_binary.npy,11,1092,-126.94927004325561
HCircle-10_binary.npy,12,1062,-70.16956202595335
HCircle-10_binary.npy,13,1062,-70.16956202595335
HCircle-10_binary.npy,14,1128,-21.38985400865112
HCircle-10_binary.npy,15,1032,38724.0
HCircle-10_binary.npy,16,1032,38724.0
HCircle-10_binary.npy,17,990,39144.0
HCircle-10_binary.npy,18,981,39234.0
HCircle-10_binary.npy,19,979,39254.0
HCircle-10_binary.npy,20,917,39874.0
HCircle-10_binary.npy,21,888,40164.0
HCircle-10_binary.npy,22,884,40204.0
HCircle-10_binary.npy,23,884,40204.0
HCircle-10_binary.npy,24,884,40204.0
HCircle-10_binary.npy,25,814,40904.0
HCircle-10_binary.npy,26,814,40904.0
HCircle-10_binary.npy,27,814,40904.0
HCircle-10_binary.npy,28,725,41794.0
HCircle-10_binary.npy,29,725,41794.0
HCircle-10_binary.npy,30,725,41794.0
HCircle-10_binary.npy,31,725,41794.0
HCircle-10_binary.npy,32,693,42114.0
HCircle-10_binary.npy,33,671,42334.0
HCircle-10_binary.npy,34,629,42754.0
HCircle-10_binary.npy,35,629,42754.0
HCircle-10_binary.npy,36,629,42754.0
HCircle-10_binary.npy,37,629,42754.0
HCircle-10_binary.npy,38,552,43524.0
HCircle-10_binary.npy,39,552,43524.0
HCircle-10_binary.npy,40,552,43524.0
HCircle-10_binary.npy,41,552,43524.0
HCircle-10_binary.npy,42,552,43524.0
HCircle-10_binary.npy,43,552,43524.0
HCircle-10_binary.npy,44,552,43524.0
HCircle-10_binary.npy,45,547,43574.0
HCircle-10_binary.npy,46,482,44224.0
HCircle-10_binary.npy,47,482,44224.0
HCircle-10_binary.npy,48,482,44224.0
HCircle-10_binary.npy,49,481,44234.0
HCircle-10_binary.npy,50,481,44234.0
HCircle-10_binary.npy,51,458,44464.0
HCircle-10_binary.npy,52,446,44584.0
HCircle-10_binary.npy,53,411,44934.0
HCircle-10_binary.npy,54,411,44934.0
HCircle-10_binary.npy,55,407,44974.0
HCircle-10_binary.npy,56,407,44974.0
HCircle-10_binary.npy,57,381,45234.0
HCircle-10_binary.npy,58,379,45254.0
HCircle-10_binary.npy,59,370,45344.0
HCircle-10_binary.npy,60,362,45424.0
HCircle-10_binary.npy,61,333,45714.0
HCircle-10_binary.npy,62,333,45714.0
HCircle-10_binary.npy,63,333,45714.0
HCircle-10_binary.npy,64,333,45714.0
HCircle-10_binary.npy,65,333,45714.0
HCircle-10_binary.npy,66,333,45714.0
HCircle-10_binary.npy,67,333,45714.0
HCircle-10_binary.npy,68,333,45714.0
HCircle-10_binary.npy,69,323,45814.0
HCircle-10_binary.npy,70,316,45884.0
HCircle-10_binary.npy,71,309,45954.0
HCircle-10_binary.npy,72,309,45954.0
HCircle-10_binary.npy,73,309,45954.0
HCircle-10_binary.npy,74,309,45954.0
HCircle-10_binary.npy,75,307,45974.0
HCircle-10_binary.npy,76,307,45974.0
HCircle-10_binary.npy,77,307,45974.0
HCircle-10_binary.npy,78,303,46014.0
HCircle-10_binary.npy,79,303,46014.0
HCircle-10_binary.npy,80,293,46114.0
HCircle-10_binary.npy,81,292,46124.0
HCircle-10_binary.npy,82,292,46124.0
HCircle-10_binary.npy,83,292,46124.0
HCircle-10_binary.npy,84,292,46124.0
HCircle-10_binary.npy,85,272,46324.0
HCircle-10_binary.npy,86,272,46324.0
HCircle-10_binary.npy,87,272,46324.0
HCircle-10_binary.npy,88,272,46324.0
HCircle-10_binary.npy,89,272,46324.0
HCircle-10_binary.npy,90,272,46324.0
HCircle-10_binary.npy,91,272,46324.0
HCircle-10_binary.npy,92,272,46324.0
HCircle-10_binary.npy,93,272,46324.0
HCircle-10_binary.npy,94,272,46324.0
HCircle-10_binary.npy,95,272,46324.0
HCircle-10_binary.npy,96,272,46324.0
HCircle-10_binary.npy,97,272,46324.0
bat-10_binary.npy,0,53,-28903621.699220262
bat-10_binary.npy,1,964,-161693.37316816894
bat-10_binary.npy,2,1412,-19575.791056056354
bat-10_binary.npy,3,1489,-4706.011170712851
bat-10_binary.npy,4,1605,-1697.3061438920677
bat-10_binary.npy,5,1696,-768.6703902375798
bat-10_binary.npy,6,1762,-178.0346365832029
bat-10_binary.npy,7,1741,-146.60111707128505
bat-10_binary.npy,8,1566,-117.16759755936721
bat-10_binary.npy,9,1855,-40.86703902372468
bat-10_binary.npy,10,1855,-40.86703902372468
bat-10_binary.npy,11,1855,-40.86703902372468
bat-10_binary.npy,12,1855,-40.86703902372468
bat-10_binary.npy,13,1504,-19.43351951191785
bat-10_binary.npy,14,1504,-19.43351951191785
bat-10_binary.npy,15,1504,-19.43351951191785
bat-10_binary.npy,16,1829,35959.0
bat-10_binary.npy,17,1829,35959.0
bat-10_binary.npy,18,1829,35959.0
bat-10_binary.npy,19,1829,35959.0
bat-10_binary.npy,20,1722,37029.0
bat-10_binary.npy,21,1722,37029.0
bat-10_binary.npy,22,1722,37029.0
bat-10_binary.npy,23,1722,37029.0
bat-10_binary.npy,24,1722,37029.0
bat-10_binary.npy,25,1722,37029.0
bat-10_binary.npy,26,1722,37029.0
bat-10_binary.npy,27,1368,40569.0
bat-10_binary.npy,28,1368,40569.0
bat-10_binary.npy,29,1368,40569.0
bat-10_binary.npy,30,1368,40569.0
bat-10_binary.npy,31,1368,40569.0
bat-10_binary.npy,32,1194,42309.0
bat-10_binary.npy,33,1194,42309.0
bat-10_binary.npy,34,1194,42309.0
bat-10_binary.npy,35,1194,42309.0
bat-10_binary.npy,36,1040,43849.0
bat-10_binary.npy,37,1040,43849.0
bat-10_binary.npy,38,1040,43849.0
bat-10_binary.npy,39,1040,43849.0
bat-10_binary.npy,40,1040,43849.0
bat-10_binary.npy,41,1036,43889.0
bat-10_binary.npy,42,998,44269.0
bat-10_binary.npy,43,998,44269.0
bat-10_binary.npy,44,916,45089.0
bat-10_binary.npy,45,916,45089.0
bat-10_binary.npy,46,916,45089.0
bat-10_binary.npy,47,916,45089.0
bat-10_binary.npy,48,916,45089.0
bat-10_binary.npy,49,916,45089.0
bat-10_binary.npy,50,864,45609.0
bat-10_binary.npy,51,864,45609.0
bat-10_binary.npy,52,864,45609.0
bat-10_binary.npy,53,864,45609.0
bat-10_binary.npy,54,864,45609.0
bat-10_binary.npy,55,864,45609.0
bat-10_binary.npy,56,811,46139.0
bat-10_binary.npy,57,811,46139.0
bat-10_binary.npy,58,811,46139.0
bat-10_binary.npy,59,811,46139.0
bat-10_binary.npy,60,811,46139.0
bat-10_binary.npy,61,811,46139.0
bat-10_binary.npy,62,811,46139.0
bat-10_binary.npy,63,811,46139.0
bat-10_binary.npy,64,811,46139.0
bat-10_binary.npy,65,800,46249.0
bat-10_binary.npy,66,800,46249.0
bat-10_binary.npy,67,800,46249.0
bat-10_binary.npy,68,800,46249.0
bat-10_binary.npy,69,800,46249.0
bat-10_binary.npy,70,800,46249.0
bat-10_binary.npy,71,800,46249.0
bat-10_binary.npy,72,778,46469.0
bat-10_binary.npy,73,778,46469.0
bat-10_binary.npy,74,778,46469.0
bat-10_binary.npy,75,746,46789.0
bat-10_binary.npy,76,746,46789.0
bat-10_binary.npy,77,746,46789.0
bat-10_binary.npy,78,746,46789.0
bat-10_binary.npy,79,746,46789.0
bat-10_binary.npy,80,746,46789.0
bat-10_binary.npy,81,746,46789.0
bat-10_binary.npy,82,746,46789.0
bat-10_binary.npy,83,746,46789.0
bat-10_binary.npy,84,746,46789.0
bat-10_binary.npy,85,746,46789.0
bat-10_binary.npy,86,734,46909.0
bat-10_binary.npy,87,734,46909.0
bat-10_binary.npy,88,734,46909.0
bat-10_binary.npy,89,720,47049.0
bat-10_binary.npy,90,697,47279.0
bat-10_binary.npy,91,697,47279.0
bat-10_binary.npy,92,697,47279.0
bat-10_binary.npy,93,697,47279.0
bat-10_binary.npy,94,697,47279.0
bat-10_binary.npy,95,697,47279.0
bat-10_binary.npy,96,689,47359.0
bat-10_binary.npy,97,689,47359.0
bat-10_binary.npy,98,689,47359.0
bat-10_binary.npy,99,689,47359.0
bat-10_binary.npy,100,683,47419.0
bat-10_binary.npy,101,683,47419.0
bat-10_binary.npy,102,683,47419.0
bat-10_binary.npy,103,683,47419.0
bat-10_binary.npy,104,678,47469.0
bat-10_binary.npy,105,671,47539.0
bat-10_binary.npy,106,671,47539.0
bat-10_binary.npy,107,671,47539.0
bat-10_binary.npy,108,671,47539.0
bat-10_binary.npy,109,650,47749.0
bat-10_binary.npy,110,650,47749.0
bat-10_binary.npy,111,650,47749.0
bat-10_binary.npy,112,650,47749.0
bat-10_binary.npy,113,642,47829.0
bat-10_binary.npy,114,642,47829.0
bat-10_binary.npy,115,642,47829.0
bat-10_binary.npy,116,642,47829.0
bat-10_binary.npy,117,631,47939.0
bat-10_binary.npy,118,631,47939.0
bat-10_binary.npy,119,631,47939.0
bat-10_binary.npy,120,630,47949.0
bat-10_binary.npy,121,624,48009.0
bat-10_binary.npy,122,622,48029.0
bat-10_binary.npy,123,622,48029.0
bat-10_binary.npy,124,622,48029.0
bat-10_binary.npy,125,613,48119.0
bat-10_binary.npy,126,613,48119.0
bat-10_binary.npy,127,613,48119.0
bat-10_binary.npy,128,606,48189.0
bat-10_binary.npy,129,606,48189.0
bat-10_binary.npy,130,601,48239.0
bat-10_binary.npy,131,601,48239.0
bat-10_binary.npy,132,601,48239.0
bat-10_binary.npy,133,601,48239.0
bat-10_binary.npy,134,601,48239.0
bat-10_binary.npy,135,601,48239.0
bat-10_binary.npy,136,601,48239.0
bat-10_binary.npy,137,601,48239.0
bat-10_binary.npy,138,601,48239.0
bat-10_binary.npy,139,601,48239.0
bat-10_binary.npy,140,583,48419.0
bat-10_binary.npy,141,583,48419.0
bat-10_binary.npy,142,583,48419.0
bat-10_binary.npy,143,583,48419.0
bat-10_binary.npy,144,583,48419.0
bat-10_binary.npy,145,583,48419.0
bat-10_binary.npy,146,583,48419.0
bat-10_binary.npy,147,583,48419.0
bat-10_binary.npy,148,583,48419.0
bat-10_binary.npy,149,583,48419.0
bottle-01_binary.npy,0,7,-266457.6150234742
bottle-01_binary.npy,1,69,-6779.286384976481
bottle-01_binary.npy,2,82,-2703.159624413105
bottle-01_binary.npy,3,89,-1444.4507042253501
bottle-01_binary.npy,4,126,-954.9671361502704
bottle-01_binary.npy,5,96,3300.0
bottle-01_binary.npy,6,96,3300.0
bottle-01_binary.npy,7,95,3310.0
bottle-01_binary.npy,8,84,3420.0
bottle-01_binary.npy,9,84,3420.0
bottle-01_binary.npy,10,84,3420.0
bottle-01_binary.npy,11,84,3420.0
bottle-01_binary.npy,12,84,3420.0
bottle-01_binary.npy,13,75,3510.0
bottle-01_binary.npy,14,75,3510.0
bottle-01_binary.npy,15,75,3510.0
bottle-01_binary.npy,16,75,3510.0
bottle-01_binary.npy,17,72,3540.0
bottle-01_binary.npy,18,72,3540.0
bottle-01_binary.npy,19,72,3540.0
bottle-01_binary.npy,20,65,3610.0
bottle-01_binary.npy,21,65,3610.0
bottle-01_binary.npy,22,65,3610.0
bottle-01_binary.npy,23,65,3610.0
bottle-01_binary.npy,24,59,3670.0
bottle-01_binary.npy,25,59,3670.0
bottle-01_binary.npy,26,57,3690.0
bottle-01_binary.npy,27,57,3690.0
bottle-01_binary.npy,28,57,3690.0
bottle-01_binary.npy,29,56,3700.0
bottle-01_binary.npy,30,56,3700.0
bottle-01_binary.npy,31,49,3770.0
bottle-01_binary.npy,32,49,3770.0
bottle-01_binary.npy,33,49,3770.0
bottle-01_binary.npy,34,49,3770.0
bottle-01_binary.npy,35,49,3770.0
bottle-01_binary.npy,36,49,3770.0
bottle-01_binary.npy,37,49,3770.0
bottle-01_binary.npy,38,49,3770.0
bottle-01_binary.npy,39,49,3770.0
bottle-01_binary.npy,40,49,3770.0
