image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
HCircle-10_binary.npy,24118226,15,272,23.77,46324.0,98
bat-10_binary.npy,24118226,15,583,79.07,48419.0,150
bottle-01_binary.npy,24118226,15,49,3.38,3770.0,44
cattle-10_binary.npy,24118226,15,659,78.63,110401.0,146
cellular_phone-10_binary.npy,24118226,15,91,14.63,47811.0,136
crown-10_binary.npy,24118226,15,126,6.63,7574.0,105
cup-10_binary.npy,24118226,15,366,20.43,38962.0,75
device2-10_binary.npy,24118226,15,1077,55.73,69635.0,65
device7-10_binary.npy,24118226,15,2638,62.11,74423.0,34
elephant-10_binary.npy,24118226,15,363,32.08,39186.0,126
fly-10_binary.npy,24118226,15,638,36.34,34151.0,81
hat-10_binary.npy,24118226,15,89,9.01,11847.0,91
horse-10_binary.npy,24118226,15,666,44.67,25937.0,81
horseshoe-10_binary.npy,24118226,15,48,2.39,1741.0,54
jar-10_binary.npy,24118226,15,2535,34.47,75410.0,27
key-10_binary.npy,24118226,15,155,18.44,20389.0,148
lizzard-10_binary.npy,24118226,15,1314,68.79,47440.0,74
pencil-10_binary.npy,24118226,15,89,7.58,10821.0,74
personal_car-10_binary.npy,24118226,15,341,12.55,32634.0,58
tree-10_binary.npy,24118226,15,172,8.07,13905.0,73
