image_name,generation,best_rectangle_count,fitness
Berberis_thunbergii.npy,0,248,10981.0
Berberis_thunbergii.npy,1,247,10991.0
Berberis_thunbergii.npy,2,239,11071.0
Berberis_thunbergii.npy,3,215,11311.0
Berberis_thunbergii.npy,4,215,11311.0
Berberis_thunbergii.npy,5,215,11311.0
Berberis_thunbergii.npy,6,215,11311.0
Berberis_thunbergii.npy,7,213,11331.0
Berberis_thunbergii.npy,8,213,11331.0
Berberis_thunbergii.npy,9,213,11331.0
Berberis_thunbergii.npy,10,207,11391.0
Berberis_thunbergii.npy,11,207,11391.0
Berberis_thunbergii.npy,12,207,11391.0
Berberis_thunbergii.npy,13,201,11451.0
Berberis_thunbergii.npy,14,201,11451.0
Berberis_thunbergii.npy,15,201,11451.0
Berberis_thunbergii.npy,16,198,11481.0
Berberis_thunbergii.npy,17,198,11481.0
Berberis_thunbergii.npy,18,193,11531.0
Berberis_thunbergii.npy,19,193,11531.0
Berberis_thunbergii.npy,20,193,11531.0
Berberis_thunbergii.npy,21,193,11531.0
Berberis_thunbergii.npy,22,193,11531.0
Berberis_thunbergii.npy,23,193,11531.0
Berberis_thunbergii.npy,24,193,11531.0
Berberis_thunbergii.npy,25,191,11551.0
Berberis_thunbergii.npy,26,191,11551.0
Berberis_thunbergii.npy,27,191,11551.0
Berberis_thunbergii.npy,28,191,11551.0
Berberis_thunbergii.npy,29,191,11551.0
Berberis_thunbergii.npy,30,191,11551.0
Berberis_thunbergii.npy,31,191,11551.0
Berberis_thunbergii.npy,32,191,11551.0
Berberis_thunbergii.npy,33,191,11551.0
Berberis_thunbergii.npy,34,191,11551.0
Berberis_thunbergii.npy,35,190,11561.0
Berberis_thunbergii.npy,36,190,11561.0
Berberis_thunbergii.npy,37,190,11561.0
Berberis_thunbergii.npy,38,190,11561.0
Berberis_thunbergii.npy,39,190,11561.0
Berberis_thunbergii.npy,40,190,11561.0
Berberis_thunbergii.npy,41,190,11561.0
Berberis_thunbergii.npy,42,190,11561.0
Berberis_thunbergii.npy,43,190,11561.0
Berberis_thunbergii.npy,44,190,11561.0
Berberis_thunbergii.npy,45,190,11561.0
Berberis_thunbergii.npy,46,190,11561.0
Berberis_thunbergii.npy,47,190,11561.0
Berberis_vulgaris.npy,0,546,41893.0
Berberis_vulgaris.npy,1,475,42603.0
Berberis_vulgaris.npy,2,450,42853.0
Berberis_vulgaris.npy,3,450,42853.0
Berberis_vulgaris.npy,4,450,42853.0
Berberis_vulgaris.npy,5,450,42853.0
Berberis_vulgaris.npy,6,450,42853.0
Berberis_vulgaris.npy,7,450,42853.0
Berberis_vulgaris.npy,8,450,42853.0
Berberis_vulgaris.npy,9,450,42853.0
Berberis_vulgaris.npy,10,450,42853.0
Berberis_vulgaris.npy,11,450,42853.0
Berberis_vulgaris.npy,12,450,42853.0
Berberis_vulgaris.npy,13,450,42853.0
Berberis_vulgaris.npy,14,450,42853.0
Betula_papyrifera.npy,0,2099,622766.0
Betula_papyrifera.npy,1,2099,622766.0
Betula_papyrifera.npy,2,2099,622766.0
Betula_papyrifera.npy,3,2099,622766.0
Betula_papyrifera.npy,4,2099,622766.0
Betula_papyrifera.npy,5,2099,622766.0
Betula_papyrifera.npy,6,2099,622766.0
Betula_papyrifera.npy,7,2092,622836.0
Betula_papyrifera.npy,8,2092,622836.0
Betula_papyrifera.npy,9,2030,623456.0
Betula_papyrifera.npy,10,1878,624976.0
Betula_papyrifera.npy,11,1878,624976.0
Betula_papyrifera.npy,12,1878,624976.0
Betula_papyrifera.npy,13,1878,624976.0
Betula_papyrifera.npy,14,1878,624976.0
Betula_papyrifera.npy,15,1878,624976.0
Betula_papyrifera.npy,16,1878,624976.0
Betula_papyrifera.npy,17,1878,624976.0
Betula_papyrifera.npy,18,1878,624976.0
Betula_papyrifera.npy,19,1878,624976.0
Betula_papyrifera.npy,20,1878,624976.0
Betula_papyrifera.npy,21,1878,624976.0
Betula_papyrifera.npy,22,1878,624976.0
Betula_pendula.npy,0,744,82714.0
Betula_pendula.npy,1,630,83854.0
Betula_pendula.npy,2,622,83934.0
Betula_pendula.npy,3,622,83934.0
Betula_pendula.npy,4,622,83934.0
Betula_pendula.npy,5,622,83934.0
Betula_pendula.npy,6,622,83934.0
Betula_pendula.npy,7,622,83934.0
Betula_pendula.npy,8,604,84114.0
Betula_pendula.npy,9,604,84114.0
Betula_pendula.npy,10,604,84114.0
Betula_pendula.npy,11,604,84114.0
Betula_pendula.npy,12,604,84114.0
Betula_pendula.npy,13,604,84114.0
Betula_pendula.npy,14,604,84114.0
Betula_pendula.npy,15,595,84204.0
Betula_pendula.npy,16,590,84254.0
Betula_pendula.npy,17,572,84434.0
Betula_pendula.npy,18,557,84584.0
Betula_pendula.npy,19,557,84584.0
Betula_pendula.npy,20,557,84584.0
Betula_pendula.npy,21,557,84584.0
Betula_pendula.npy,22,552,84634.0
Betula_pendula.npy,23,552,84634.0
Betula_pendula.npy,24,552,84634.0
Betula_pendula.npy,25,552,84634.0
Betula_pendula.npy,26,551,84644.0
Betula_pendula.npy,27,551,84644.0
Betula_pendula.npy,28,543,84724.0
Betula_pendula.npy,29,543,84724.0
Betula_pendula.npy,30,530,84854.0
Betula_pendula.npy,31,530,84854.0
Betula_pendula.npy,32,529,84864.0
Betula_pendula.npy,33,529,84864.0
Betula_pendula.npy,34,529,84864.0
Betula_pendula.npy,35,523,84924.0
Betula_pendula.npy,36,523,84924.0
Betula_pendula.npy,37,522,84934.0
Betula_pendula.npy,38,522,84934.0
Betula_pendula.npy,39,521,84944.0
Betula_pendula.npy,40,521,84944.0
Betula_pendula.npy,41,521,84944.0
Betula_pendula.npy,42,511,85044.0
Betula_pendula.npy,43,511,85044.0
Betula_pendula.npy,44,511,85044.0
Betula_pendula.npy,45,511,85044.0
Betula_pendula.npy,46,510,85054.0
Betula_pendula.npy,47,510,85054.0
Betula_pendula.npy,48,510,85054.0
Betula_pendula.npy,49,510,85054.0
Betula_pendula.npy,50,510,85054.0
Betula_pendula.npy,51,506,85094.0
Betula_pendula.npy,52,504,85114.0
Betula_pendula.npy,53,504,85114.0
Betula_pendula.npy,54,504,85114.0
Betula_pendula.npy,55,504,85114.0
Betula_pendula.npy,56,504,85114.0
Betula_pendula.npy,57,500,85154.0
Betula_pendula.npy,58,500,85154.0
Betula_pendula.npy,59,500,85154.0
Betula_pendula.npy,60,500,85154.0
Betula_pendula.npy,61,500,85154.0
Betula_pendula.npy,62,477,85384.0
Betula_pendula.npy,63,477,85384.0
Betula_pendula.npy,64,477,85384.0
Betula_pendula.npy,65,477,85384.0
Betula_pendula.npy,66,477,85384.0
Betula_pendula.npy,67,477,85384.0
Betula_pendula.npy,68,477,85384.0
Betula_pendula.npy,69,477,85384.0
Betula_pendula.npy,70,477,85384.0
Betula_pendula.npy,71,477,85384.0
Betula_pendula.npy,72,470,85454.0
Betula_pendula.npy,73,470,85454.0
Betula_pendula.npy,74,470,85454.0
Betula_pendula.npy,75,469,85464.0
Betula_pendula.npy,76,469,85464.0
Betula_pendula.npy,77,469,85464.0
Betula_pendula.npy,78,466,85494.0
Betula_pendula.npy,79,466,85494.0
Betula_pendula.npy,80,466,85494.0
Betula_pendula.npy,81,466,85494.0
Betula_pendula.npy,82,455,85604.0
Betula_pendula.npy,83,454,85614.0
Betula_pendula.npy,84,454,85614.0
Betula_pendula.npy,85,454,85614.0
Betula_pendula.npy,86,454,85614.0
Betula_pendula.npy,87,452,85634.0
Betula_pendula.npy,88,452,85634.0
Betula_pendula.npy,89,452,85634.0
Betula_pendula.npy,90,452,85634.0
Betula_pendula.npy,91,452,85634.0
Betula_pendula.npy,92,452,85634.0
Betula_pendula.npy,93,452,85634.0
Betula_pendula.npy,94,452,85634.0
Betula_pendula.npy,95,452,85634.0
Betula_pendula.npy,96,452,85634.0
Betula_pendula.npy,97,452,85634.0
Betula_pendula.npy,98,452,85634.0
Betula_pendula.npy,99,452,85634.0
Clematis_vitalba.npy,0,2519,466338.0
Clematis_vitalba.npy,1,2458,466948.0
Clematis_vitalba.npy,2,2399,467538.0
Clematis_vitalba.npy,3,2022,471308.0
Clematis_vitalba.npy,4,2022,471308.0
Clematis_vitalba.npy,5,2022,471308.0
Clematis_vitalba.npy,6,1814,473388.0
Clematis_vitalba.npy,7,1814,473388.0
Clematis_vitalba.npy,8,1814,473388.0
Clematis_vitalba.npy,9,1814,473388.0
Clematis_vitalba.npy,10,1814,473388.0
Clematis_vitalba.npy,11,1814,473388.0
Clematis_vitalba.npy,12,1814,473388.0
Clematis_vitalba.npy,13,1814,473388.0
Clematis_vitalba.npy,14,1814,473388.0
Clematis_vitalba.npy,15,1814,473388.0
Clematis_vitalba.npy,16,1814,473388.0
Clematis_vitalba.npy,17,1814,473388.0
Clematis_vitalba.npy,18,1814,473388.0
Fallopia_aubertii.npy,0,811,113277.0
Fallopia_aubertii.npy,1,793,113457.0
Fallopia_aubertii.npy,2,793,113457.0
Fallopia_aubertii.npy,3,793,113457.0
Fallopia_aubertii.npy,4,793,113457.0
Fallopia_aubertii.npy,5,793,113457.0
Fallopia_aubertii.npy,6,793,113457.0
Fallopia_aubertii.npy,7,793,113457.0
Fallopia_aubertii.npy,8,793,113457.0
Fallopia_aubertii.npy,9,793,113457.0
Fallopia_aubertii.npy,10,773,113657.0
Fallopia_aubertii.npy,11,706,114327.0
Fallopia_aubertii.npy,12,706,114327.0
Fallopia_aubertii.npy,13,706,114327.0
Fallopia_aubertii.npy,14,706,114327.0
Fallopia_aubertii.npy,15,706,114327.0
Fallopia_aubertii.npy,16,706,114327.0
Fallopia_aubertii.npy,17,706,114327.0
Fallopia_aubertii.npy,18,706,114327.0
Fallopia_aubertii.npy,19,706,114327.0
Fallopia_aubertii.npy,20,706,114327.0
Fallopia_aubertii.npy,21,706,114327.0
Fallopia_aubertii.npy,22,706,114327.0
Fallopia_aubertii.npy,23,677,114617.0
Fallopia_aubertii.npy,24,677,114617.0
Fallopia_aubertii.npy,25,674,114647.0
Fallopia_aubertii.npy,26,674,114647.0
Fallopia_aubertii.npy,27,664,114747.0
Fallopia_aubertii.npy,28,659,114797.0
Fallopia_aubertii.npy,29,659,114797.0
Fallopia_aubertii.npy,30,648,114907.0
Fallopia_aubertii.npy,31,645,114937.0
Fallopia_aubertii.npy,32,645,114937.0
Fallopia_aubertii.npy,33,645,114937.0
Fallopia_aubertii.npy,34,645,114937.0
Fallopia_aubertii.npy,35,645,114937.0
Fallopia_aubertii.npy,36,645,114937.0
Fallopia_aubertii.npy,37,645,114937.0
Fallopia_aubertii.npy,38,645,114937.0
Fallopia_aubertii.npy,39,645,114937.0
Fallopia_aubertii.npy,40,624,115147.0
Fallopia_aubertii.npy,41,624,115147.0
Fallopia_aubertii.npy,42,624,115147.0
Fallopia_aubertii.npy,43,624,115147.0
Fallopia_aubertii.npy,44,624,115147.0
Fallopia_aubertii.npy,45,624,115147.0
Fallopia_aubertii.npy,46,624,115147.0
Fallopia_aubertii.npy,47,624,115147.0
Fallopia_aubertii.npy,48,620,115187.0
Fallopia_aubertii.npy,49,615,115237.0
Fallopia_aubertii.npy,50,615,115237.0
Fallopia_aubertii.npy,51,604,115347.0
Fallopia_aubertii.npy,52,604,115347.0
Fallopia_aubertii.npy,53,604,115347.0
Fallopia_aubertii.npy,54,604,115347.0
Fallopia_aubertii.npy,55,604,115347.0
Fallopia_aubertii.npy,56,604,115347.0
Fallopia_aubertii.npy,57,604,115347.0
Fallopia_aubertii.npy,58,604,115347.0
Fallopia_aubertii.npy,59,604,115347.0
Fallopia_aubertii.npy,60,601,115377.0
Fallopia_aubertii.npy,61,601,115377.0
Fallopia_aubertii.npy,62,601,115377.0
Fallopia_aubertii.npy,63,601,115377.0
Fallopia_aubertii.npy,64,601,115377.0
Fallopia_aubertii.npy,65,601,115377.0
Fallopia_aubertii.npy,66,601,115377.0
Fallopia_aubertii.npy,67,601,115377.0
Fallopia_aubertii.npy,68,601,115377.0
Fallopia_aubertii.npy,69,601,115377.0
Fallopia_aubertii.npy,70,601,115377.0
Fallopia_aubertii.npy,71,601,115377.0
Fallopia_aubertii.npy,72,601,115377.0
Frangula_alnus.npy,0,963,167468.0
Frangula_alnus.npy,1,943,167668.0
Frangula_alnus.npy,2,943,167668.0
Frangula_alnus.npy,3,943,167668.0
Frangula_alnus.npy,4,943,167668.0
Frangula_alnus.npy,5,908,168018.0
Frangula_alnus.npy,6,868,168418.0
Frangula_alnus.npy,7,868,168418.0
Frangula_alnus.npy,8,844,168658.0
Frangula_alnus.npy,9,844,168658.0
Frangula_alnus.npy,10,844,168658.0
Frangula_alnus.npy,11,844,168658.0
Frangula_alnus.npy,12,844,168658.0
Frangula_alnus.npy,13,841,168688.0
Frangula_alnus.npy,14,841,168688.0
Frangula_alnus.npy,15,829,168808.0
Frangula_alnus.npy,16,824,168858.0
Frangula_alnus.npy,17,824,168858.0
Frangula_alnus.npy,18,824,168858.0
Frangula_alnus.npy,19,824,168858.0
Frangula_alnus.npy,20,821,168888.0
Frangula_alnus.npy,21,821,168888.0
Frangula_alnus.npy,22,820,168898.0
Frangula_alnus.npy,23,820,168898.0
Frangula_alnus.npy,24,820,168898.0
Frangula_alnus.npy,25,820,168898.0
Frangula_alnus.npy,26,820,168898.0
Frangula_alnus.npy,27,820,168898.0
Frangula_alnus.npy,28,820,168898.0
Frangula_alnus.npy,29,820,168898.0
Frangula_alnus.npy,30,820,168898.0
Frangula_alnus.npy,31,820,168898.0
Frangula_alnus.npy,32,820,168898.0
Frangula_alnus.npy,33,820,168898.0
Frangula_alnus.npy,34,820,168898.0
Hedera_helixSTERILE.npy,0,3601,625348.0
Hedera_helixSTERILE.npy,1,3180,629558.0
Hedera_helixSTERILE.npy,2,3180,629558.0
Hedera_helixSTERILE.npy,3,3180,629558.0
Hedera_helixSTERILE.npy,4,3180,629558.0
Hedera_helixSTERILE.npy,5,3180,629558.0
Hedera_helixSTERILE.npy,6,3180,629558.0
Hedera_helixSTERILE.npy,7,3180,629558.0
Hedera_helixSTERILE.npy,8,3180,629558.0
Hedera_helixSTERILE.npy,9,3180,629558.0
Hedera_helixSTERILE.npy,10,3180,629558.0
Hedera_helixSTERILE.npy,11,3180,629558.0
Hedera_helixSTERILE.npy,12,3180,629558.0
Hedera_helixSTERILE.npy,13,3180,629558.0
Koelreuteria_paniculata.npy,0,1753,370270.0
Koelreuteria_paniculata.npy,1,1724,370560.0
Koelreuteria_paniculata.npy,2,1577,372030.0
Koelreuteria_paniculata.npy,3,1577,372030.0
Koelreuteria_paniculata.npy,4,1577,372030.0
Koelreuteria_paniculata.npy,5,1577,372030.0
Koelreuteria_paniculata.npy,6,1577,372030.0
Koelreuteria_paniculata.npy,7,1577,372030.0
Koelreuteria_paniculata.npy,8,1427,373530.0
Koelreuteria_paniculata.npy,9,1427,373530.0
Koelreuteria_paniculata.npy,10,1427,373530.0
Koelreuteria_paniculata.npy,11,1427,373530.0
Koelreuteria_paniculata.npy,12,1427,373530.0
Koelreuteria_paniculata.npy,13,1427,373530.0
Koelreuteria_paniculata.npy,14,1427,373530.0
Koelreuteria_paniculata.npy,15,1427,373530.0
Koelreuteria_paniculata.npy,16,1427,373530.0
Koelreuteria_paniculata.npy,17,1427,373530.0
Koelreuteria_paniculata.npy,18,1427,373530.0
Koelreuteria_paniculata.npy,19,1363,374170.0
Koelreuteria_paniculata.npy,20,1363,374170.0
Koelreuteria_paniculata.npy,21,1363,374170.0
Koelreuteria_paniculata.npy,22,1363,374170.0
Koelreuteria_paniculata.npy,23,1363,374170.0
Koelreuteria_paniculata.npy,24,1363,374170.0
Koelreuteria_paniculata.npy,25,1363,374170.0
Koelreuteria_paniculata.npy,26,1363,374170.0
Koelreuteria_paniculata.npy,27,1363,374170.0
Koelreuteria_paniculata.npy,28,1363,374170.0
Koelreuteria_paniculata.npy,29,1363,374170.0
Koelreuteria_paniculata.npy,30,1363,374170.0
Koelreuteria_paniculata.npy,31,1363,374170.0
Laburnum_anagyroides.npy,0,708,83196.0
Laburnum_anagyroides.npy,1,609,84186.0
Laburnum_anagyroides.npy,2,609,84186.0
Laburnum_anagyroides.npy,3,609,84186.0
Laburnum_anagyroides.npy,4,609,84186.0
Laburnum_anagyroides.npy,5,609,84186.0
Laburnum_anagyroides.npy,6,609,84186.0
Laburnum_anagyroides.npy,7,609,84186.0
Laburnum_anagyroides.npy,8,608,84196.0
Laburnum_anagyroides.npy,9,608,84196.0
Laburnum_anagyroides.npy,10,608,84196.0
Laburnum_anagyroides.npy,11,608,84196.0
Laburnum_anagyroides.npy,12,608,84196.0
Laburnum_anagyroides.npy,13,608,84196.0
Laburnum_anagyroides.npy,14,608,84196.0
Laburnum_anagyroides.npy,15,608,84196.0
Laburnum_anagyroides.npy,16,608,84196.0
Laburnum_anagyroides.npy,17,608,84196.0
Laburnum_anagyroides.npy,18,608,84196.0
Laburnum_anagyroides.npy,19,586,84416.0
Laburnum_anagyroides.npy,20,582,84456.0
Laburnum_anagyroides.npy,21,580,84476.0
Laburnum_anagyroides.npy,22,568,84596.0
Laburnum_anagyroides.npy,23,568,84596.0
Laburnum_anagyroides.npy,24,568,84596.0
Laburnum_anagyroides.npy,25,560,84676.0
Laburnum_anagyroides.npy,26,560,84676.0
Laburnum_anagyroides.npy,27,560,84676.0
Laburnum_anagyroides.npy,28,560,84676.0
Laburnum_anagyroides.npy,29,550,84776.0
Laburnum_anagyroides.npy,30,550,84776.0
Laburnum_anagyroides.npy,31,549,84786.0
Laburnum_anagyroides.npy,32,549,84786.0
Laburnum_anagyroides.npy,33,549,84786.0
Laburnum_anagyroides.npy,34,549,84786.0
Laburnum_anagyroides.npy,35,539,84886.0
Laburnum_anagyroides.npy,36,539,84886.0
Laburnum_anagyroides.npy,37,539,84886.0
Laburnum_anagyroides.npy,38,539,84886.0
Laburnum_anagyroides.npy,39,539,84886.0
Laburnum_anagyroides.npy,40,539,84886.0
Laburnum_anagyroides.npy,41,539,84886.0
Laburnum_anagyroides.npy,42,539,84886.0
Laburnum_anagyroides.npy,43,539,84886.0
Laburnum_anagyroides.npy,44,539,84886.0
Laburnum_anagyroides.npy,45,539,84886.0
Laburnum_anagyroides.npy,46,533,84946.0
Laburnum_anagyroides.npy,47,533,84946.0
Laburnum_anagyroides.npy,48,530,84976.0
Laburnum_anagyroides.npy,49,530,84976.0
Laburnum_anagyroides.npy,50,530,84976.0
Laburnum_anagyroides.npy,51,530,84976.0
Laburnum_anagyroides.npy,52,530,84976.0
Laburnum_anagyroides.npy,53,530,84976.0
Laburnum_anagyroides.npy,54,530,84976.0
Laburnum_anagyroides.npy,55,530,84976.0
Laburnum_anagyroides.npy,56,530,84976.0
Laburnum_anagyroides.npy,57,530,84976.0
Laburnum_anagyroides.npy,58,530,84976.0
Laburnum_anagyroides.npy,59,530,84976.0
Laburnum_anagyroides.npy,60,530,84976.0
Physocarpus_opulifolius.npy,0,1633,320883.0
Physocarpus_opulifolius.npy,1,1507,322143.0
Physocarpus_opulifolius.npy,2,1485,322363.0
Physocarpus_opulifolius.npy,3,1485,322363.0
Physocarpus_opulifolius.npy,4,1335,323863.0
Physocarpus_opulifolius.npy,5,1335,323863.0
Physocarpus_opulifolius.npy,6,1335,323863.0
Physocarpus_opulifolius.npy,7,1219,325023.0
Physocarpus_opulifolius.npy,8,1219,325023.0
Physocarpus_opulifolius.npy,9,1219,325023.0
Physocarpus_opulifolius.npy,10,1119,326023.0
Physocarpus_opulifolius.npy,11,1119,326023.0
Physocarpus_opulifolius.npy,12,1119,326023.0
Physocarpus_opulifolius.npy,13,1074,326473.0
Physocarpus_opulifolius.npy,14,1074,326473.0
Physocarpus_opulifolius.npy,15,1044,326773.0
Physocarpus_opulifolius.npy,16,1044,326773.0
Physocarpus_opulifolius.npy,17,1044,326773.0
Physocarpus_opulifolius.npy,18,1044,326773.0
Physocarpus_opulifolius.npy,19,1044,326773.0
Physocarpus_opulifolius.npy,20,1044,326773.0
Physocarpus_opulifolius.npy,21,1044,326773.0
Physocarpus_opulifolius.npy,22,1044,326773.0
Physocarpus_opulifolius.npy,23,1044,326773.0
Physocarpus_opulifolius.npy,24,1044,326773.0
Physocarpus_opulifolius.npy,25,1031,326903.0
Physocarpus_opulifolius.npy,26,1031,326903.0
Physocarpus_opulifolius.npy,27,1031,326903.0
Physocarpus_opulifolius.npy,28,1031,326903.0
Physocarpus_opulifolius.npy,29,1031,326903.0
Physocarpus_opulifolius.npy,30,1031,326903.0
Physocarpus_opulifolius.npy,31,1031,326903.0
Physocarpus_opulifolius.npy,32,1031,326903.0
Physocarpus_opulifolius.npy,33,1031,326903.0
Physocarpus_opulifolius.npy,34,1031,326903.0
Physocarpus_opulifolius.npy,35,1031,326903.0
Physocarpus_opulifolius.npy,36,1031,326903.0
Physocarpus_opulifolius.npy,37,1031,326903.0
Quercus_cerris.npy,0,2469,700459.0
Quercus_cerris.npy,1,2402,701129.0
Quercus_cerris.npy,2,2136,703789.0
Quercus_cerris.npy,3,2136,703789.0
Quercus_cerris.npy,4,2136,703789.0
Quercus_cerris.npy,5,2136,703789.0
Quercus_cerris.npy,6,2136,703789.0
Quercus_cerris.npy,7,2136,703789.0
Quercus_cerris.npy,8,2136,703789.0
Quercus_cerris.npy,9,2136,703789.0
Quercus_cerris.npy,10,2136,703789.0
Quercus_cerris.npy,11,2136,703789.0
Quercus_cerris.npy,12,2136,703789.0
Quercus_cerris.npy,13,2136,703789.0
Quercus_cerris.npy,14,2136,703789.0
Quercus_palustris.npy,0,4015,288092.0
Quercus_palustris.npy,1,3556,292682.0
Quercus_palustris.npy,2,3556,292682.0
Quercus_palustris.npy,3,3556,292682.0
Quercus_palustris.npy,4,3556,292682.0
Quercus_palustris.npy,5,3556,292682.0
Quercus_palustris.npy,6,3556,292682.0
Quercus_palustris.npy,7,3556,292682.0
Quercus_palustris.npy,8,3556,292682.0
Quercus_palustris.npy,9,3556,292682.0
Quercus_palustris.npy,10,3556,292682.0
Quercus_palustris.npy,11,3556,292682.0
Quercus_palustris.npy,12,3556,292682.0
Quercus_palustris.npy,13,3475,293492.0
Quercus_palustris.npy,14,3294,295302.0
Quercus_palustris.npy,15,3294,295302.0
Quercus_palustris.npy,16,3268,295562.0
Quercus_palustris.npy,17,3268,295562.0
Quercus_palustris.npy,18,3268,295562.0
Quercus_palustris.npy,19,3268,295562.0
Quercus_palustris.npy,20,3268,295562.0
Quercus_palustris.npy,21,3268,295562.0
Quercus_palustris.npy,22,3268,295562.0
Quercus_palustris.npy,23,3268,295562.0
Quercus_palustris.npy,24,3268,295562.0
Quercus_palustris.npy,25,3268,295562.0
Quercus_palustris.npy,26,3268,295562.0
Quercus_palustris.npy,27,3268,295562.0
Quercus_palustris.npy,28,3268,295562.0
Robinia_viscosa.npy,0,917,130129.0
Robinia_viscosa.npy,1,764,131659.0
Robinia_viscosa.npy,2,712,132179.0
Robinia_viscosa.npy,3,712,132179.0
Robinia_viscosa.npy,4,712,132179.0
Robinia_viscosa.npy,5,712,132179.0
Robinia_viscosa.npy,6,712,132179.0
Robinia_viscosa.npy,7,712,132179.0
Robinia_viscosa.npy,8,712,132179.0
Robinia_viscosa.npy,9,712,132179.0
Robinia_viscosa.npy,10,712,132179.0
Robinia_viscosa.npy,11,712,132179.0
Robinia_viscosa.npy,12,712,132179.0
Robinia_viscosa.npy,13,712,132179.0
Robinia_viscosa.npy,14,712,132179.0
Sorbus_intermedia.npy,0,1998,640986.0
Sorbus_intermedia.npy,1,1723,643736.0
Sorbus_intermedia.npy,2,1723,643736.0
