image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
HCircle-10_binary.npy,71346991,15,221,7.3,46834.0,65
bat-10_binary.npy,71346991,15,870,6.58,45549.0,14
bottle-01_binary.npy,71346991,15,73,2.39,3530.0,28
cattle-10_binary.npy,71346991,15,922,6.84,107771.0,15
cellular_phone-10_binary.npy,71346991,15,107,11.03,47651.0,98
crown-10_binary.npy,71346991,15,139,10.34,7444.0,150
cup-10_binary.npy,71346991,15,203,17.56,40592.0,119
device2-10_binary.npy,71346991,15,905,21.69,71355.0,33
device7-10_binary.npy,71346991,15,1582,18.47,84983.0,21
elephant-10_binary.npy,71346991,15,503,7.52,37786.0,31
fly-10_binary.npy,71346991,15,805,8.53,32481.0,26
hat-10_binary.npy,71346991,15,101,2.14,11727.0,48
horse-10_binary.npy,71346991,15,833,10.79,24267.0,28
horseshoe-10_binary.npy,71346991,15,51,1.84,1711.0,64
jar-10_binary.npy,71346991,15,545,19.37,95310.0,55
key-10_binary.npy,71346991,15,161,13.59,20329.0,132
lizzard-10_binary.npy,71346991,15,1125,6.7,49330.0,14
pencil-10_binary.npy,71346991,15,100,8.86,10711.0,102
personal_car-10_binary.npy,71346991,15,237,9.33,33674.0,76
tree-10_binary.npy,71346991,15,173,7.94,13895.0,87
