image_name,generation,best_rectangle_count,fitness
Bone-10_binary.npy,0,884,22540.0
Bone-10_binary.npy,1,795,23430.0
Bone-10_binary.npy,2,795,23430.0
Bone-10_binary.npy,3,795,23430.0
Bone-10_binary.npy,4,772,23660.0
Bone-10_binary.npy,5,772,23660.0
Bone-10_binary.npy,6,772,23660.0
Bone-10_binary.npy,7,772,23660.0
Bone-10_binary.npy,8,772,23660.0
Bone-10_binary.npy,9,772,23660.0
Bone-10_binary.npy,10,762,23760.0
Bone-10_binary.npy,11,762,23760.0
Bone-10_binary.npy,12,762,23760.0
Bone-10_binary.npy,13,762,23760.0
Bone-10_binary.npy,14,762,23760.0
Bone-10_binary.npy,15,762,23760.0
Bone-10_binary.npy,16,732,24060.0
Bone-10_binary.npy,17,732,24060.0
Bone-10_binary.npy,18,732,24060.0
Bone-10_binary.npy,19,714,24240.0
Bone-10_binary.npy,20,714,24240.0
Bone-10_binary.npy,21,680,24580.0
Bone-10_binary.npy,22,680,24580.0
Bone-10_binary.npy,23,680,24580.0
Bone-10_binary.npy,24,680,24580.0
Bone-10_binary.npy,25,680,24580.0
Bone-10_binary.npy,26,680,24580.0
Bone-10_binary.npy,27,680,24580.0
Comma-10_binary.npy,0,466,64109.0
Comma-10_binary.npy,1,466,64109.0
Comma-10_binary.npy,2,447,64299.0
Comma-10_binary.npy,3,447,64299.0
Comma-10_binary.npy,4,417,64599.0
Comma-10_binary.npy,5,417,64599.0
Comma-10_binary.npy,6,417,64599.0
Comma-10_binary.npy,7,417,64599.0
Comma-10_binary.npy,8,417,64599.0
Comma-10_binary.npy,9,417,64599.0
Comma-10_binary.npy,10,417,64599.0
Glas-10_binary.npy,0,696,44735.0
Glas-10_binary.npy,1,676,44935.0
Glas-10_binary.npy,2,600,45695.0
Glas-10_binary.npy,3,600,45695.0
Glas-10_binary.npy,4,600,45695.0
Glas-10_binary.npy,5,600,45695.0
Glas-10_binary.npy,6,600,45695.0
Glas-10_binary.npy,7,600,45695.0
Glas-10_binary.npy,8,600,45695.0
HCircle-10_binary.npy,0,373,45314.0
HCircle-10_binary.npy,1,325,45794.0
HCircle-10_binary.npy,2,314,45904.0
HCircle-10_binary.npy,3,314,45904.0
HCircle-10_binary.npy,4,312,45924.0
HCircle-10_binary.npy,5,272,46324.0
HCircle-10_binary.npy,6,272,46324.0
HCircle-10_binary.npy,7,272,46324.0
HCircle-10_binary.npy,8,272,46324.0
HCircle-10_binary.npy,9,272,46324.0
HCircle-10_binary.npy,10,272,46324.0
HCircle-10_binary.npy,11,272,46324.0
Heart-10_binary.npy,0,974,94209.0
Heart-10_binary.npy,1,956,94389.0
Heart-10_binary.npy,2,858,95369.0
Heart-10_binary.npy,3,858,95369.0
Heart-10_binary.npy,4,858,95369.0
Heart-10_binary.npy,5,833,95619.0
Heart-10_binary.npy,6,833,95619.0
Heart-10_binary.npy,7,833,95619.0
Heart-10_binary.npy,8,833,95619.0
Heart-10_binary.npy,9,833,95619.0
Heart-10_binary.npy,10,833,95619.0
Heart-10_binary.npy,11,833,95619.0
Misk-10_binary.npy,0,989,82521.0
Misk-10_binary.npy,1,804,84371.0
Misk-10_binary.npy,2,800,84411.0
Misk-10_binary.npy,3,800,84411.0
Misk-10_binary.npy,4,780,84611.0
Misk-10_binary.npy,5,780,84611.0
Misk-10_binary.npy,6,780,84611.0
Misk-10_binary.npy,7,780,84611.0
Misk-10_binary.npy,8,780,84611.0
Misk-10_binary.npy,9,780,84611.0
Misk-10_binary.npy,10,780,84611.0
apple-10_binary.npy,0,356,24457.0
apple-10_binary.npy,1,356,24457.0
apple-10_binary.npy,2,356,24457.0
apple-10_binary.npy,3,356,24457.0
apple-10_binary.npy,4,351,24507.0
apple-10_binary.npy,5,351,24507.0
apple-10_binary.npy,6,346,24557.0
apple-10_binary.npy,7,346,24557.0
apple-10_binary.npy,8,346,24557.0
apple-10_binary.npy,9,346,24557.0
apple-10_binary.npy,10,346,24557.0
apple-10_binary.npy,11,346,24557.0
apple-10_binary.npy,12,346,24557.0
bat-10_binary.npy,0,923,45019.0
bat-10_binary.npy,1,915,45099.0
bat-10_binary.npy,2,811,46139.0
bat-10_binary.npy,3,811,46139.0
bat-10_binary.npy,4,811,46139.0
bat-10_binary.npy,5,811,46139.0
bat-10_binary.npy,6,811,46139.0
bat-10_binary.npy,7,811,46139.0
bat-10_binary.npy,8,811,46139.0
beetle-10_binary.npy,0,794,10730.0
beetle-10_binary.npy,1,794,10730.0
beetle-10_binary.npy,2,794,10730.0
beetle-10_binary.npy,3,615,12520.0
beetle-10_binary.npy,4,615,12520.0
beetle-10_binary.npy,5,615,12520.0
beetle-10_binary.npy,6,615,12520.0
beetle-10_binary.npy,7,615,12520.0
beetle-10_binary.npy,8,615,12520.0
beetle-10_binary.npy,9,615,12520.0
bell-10_binary.npy,0,593,73745.0
bell-10_binary.npy,1,524,74435.0
bell-10_binary.npy,2,524,74435.0
bell-10_binary.npy,3,434,75335.0
bell-10_binary.npy,4,434,75335.0
bell-10_binary.npy,5,434,75335.0
bell-10_binary.npy,6,434,75335.0
bell-10_binary.npy,7,434,75335.0
bell-10_binary.npy,8,434,75335.0
bell-10_binary.npy,9,434,75335.0
