image_name,rectangle_count,execution_time_sec
Acer_campestre.npy,1458,0.37
Acer_ginnala.npy,726,0.08
Acer_monspessulanum.npy,355,0.05
Acer_negundo.npy,607,0.11
Acer_palmatum.npy,540,0.07
Acer_platanoides.npy,1949,0.35
Acer_pseudoplatanus.npy,2106,0.76
Acer_saccharinum.npy,2575,0.41
Acer_saccharum.npy,2048,0.4
Acer_tataricum.npy,571,0.11
Actinidia_arguta.npy,694,0.16
Aesculus_carnea.npy,1846,1.09
Aesculus_glabra.npy,704,0.09
Aesculus_hippocastanum.npy,845,0.16
Aesculus_octandra.npy,606,0.24
Aesculus_pavia.npy,458,0.08
Ailanthus_altissima.npy,1336,0.32
Alnus_alnobetula.npy,515,0.06
Alnus_glutinosa.npy,1006,0.17
Alnus_incana.npy,978,0.23
Alnus_orientalis.npy,666,0.08
Amelanchier_ovalis.npy,469,0.09
Amorpha_fruticosa.npy,299,0.03
Amygdalus_communis.npy,427,0.08
Arctostaphylos_uvaursi.npy,126,0.01
Aronia_melanocarpa.npy,715,0.09
Berberis_thunbergii.npy,129,0.01
Berberis_vulgaris.npy,203,0.01
Betula_nana.npy,114,0.02
Betula_papyrifera.npy,1060,0.21
Betula_pendula.npy,355,0.04
Betula_pubescens.npy,384,0.04
Buddleja_davidii.npy,560,0.2
Buxus_sempervirens.npy,224,0.02
Caragana_arborescens.npy,146,0.01
Carpinus_betulus.npy,581,0.1
Carya_ovata.npy,1186,0.48
Castanea_sativa.npy,1,0.64
Catalpa_bignonioides.npy,1719,0.66
Celtis_occidentalis.npy,610,0.11
Cercidiphyllum_japonicum.npy,834,0.13
Cercis_siliquastrum.npy,1103,0.24
Chaenomeles_japonica.npy,106,0.08
Clematis_vitalba.npy,1035,0.23
Colutea_arborescens.npy,273,0.02
Cornus_alba.npy,1160,0.31
Cornus_mas.npy,661,0.09
Cornus_sanguinea.npy,296,0.04
Corylus_avellana.npy,1365,0.37
Corylus_colurna.npy,1426,0.33
Corylus_maxima.npy,902,0.2
Cotinus_coggygria.npy,781,0.17
Cotoneaster_horizontalis.npy,117,0.02
Cotoneaster_integerrimus.npy,220,0.01
Crataegus_monogyna.npy,348,0.02
Cydonia_oblonga.npy,682,0.11
Daphne_mezereum.npy,402,0.11
Deutzia_scabra.npy,381,0.07
Elaeagnus_angustifolia.npy,337,0.04
Euonymus_europaea.npy,535,0.09
Euonymus_verrucosa.npy,383,0.05
Fagus_sylvatica.npy,882,0.18
Fallopia_aubertii.npy,450,0.05
Ficus_carica.npy,1816,0.36
Forsythia_intermedia.npy,588,0.06
Frangula_alnus.npy,426,0.05
Fraxinus_excelsior.npy,791,0.2
Fraxinus_ornus.npy,409,0.06
Ginkgo_biloba.npy,962,0.2
Gleditsia_triacanthos.npy,104,0.02
Gymnocladus_dioicus.npy,537,0.07
Hamamelis_japonica.npy,783,0.12
Hamamelis_virginiana.npy,624,0.12
Hedera_helixFERTILE.npy,1548,0.32
Hedera_helixSTERILE.npy,1581,0.34
Hibiscus_syriacus.npy,704,0.16
Hippophae_rhamnoides.npy,168,0.03
Humulus_lupulus.npy,2321,0.58
Hydrangea_petiolaris.npy,1297,0.5
Ilex_aquifolium.npy,406,0.02
Juglans_cinerea.npy,803,0.17
Juglans_nigra.npy,675,0.12
Juglans_regia.npy,742,0.16
Kerria_japonica.npy,560,0.08
Koelreuteria_paniculata.npy,802,0.1
Kolkwitzia_amabilis.npy,443,0.1
Laburnum_anagyroides.npy,338,0.02
Laurus_nobilis.npy,656,0.09
Lavandula_angustifolia.npy,97,0.01
Ledum_palustre.npy,95,0.02
Ligustrum_ovalifolium.npy,444,0.08
Ligustrum_vulgare.npy,350,0.08
Liquidambar_styraciflua.npy,2375,1.02
Liriodendron_tulipifera.npy,1162,0.3
Lonicera_henryi.npy,410,0.05
Lonicera_involucrata.npy,928,0.14
Lonicera_purpusii.npy,515,0.05
Lonicera_tatarica.npy,336,0.02
Lonicera_xylosteum.npy,321,0.04
Loranthus_europaeus.npy,125,0.01
Lycium_barbarum.npy,358,0.03
Maclura_pomiferaFEMALE.npy,450,0.04
Maclura_pomiferaMALE.npy,507,0.08
Magnolia_hypoleuca.npy,1921,0.96
Magnolia_soulangeana.npy,1221,0.28
Magnolia_specPETRIN.npy,1097,0.18
Mahonia_aquifolium.npy,559,0.06
Malus_domestica.npy,902,0.12
Mespilus_germanica.npy,621,0.15
Morus_alba.npy,1392,0.27
Myrtus_communis.npy,186,0.02
Nerium_oleander.npy,368,0.07
Olea_oleaster.npy,190,0.04
Ostrya_carpinifolia.npy,712,0.13
Paliurus_spinachristi.npy,266,0.04
Parthenocissus_inserta.npy,590,0.09
Parthenocissus_tricuspidata.npy,1191,0.59
Paulownia_tomentosa.npy,1973,0.58
Phellodendron_amurense.npy,855,0.16
Philadelphus_coronarius.npy,572,0.06
Physocarpus_opulifolius.npy,664,0.09
Pistacia_lentiscus.npy,134,0.02
Pittosporum_tobira.npy,691,0.12
Platanus_hispanica.npy,3684,0.8
Populus_alba.npy,982,0.22
Populus_canadensis.npy,939,0.28
Populus_canescens.npy,1223,0.39
Populus_nigra.npy,1077,0.23
Populus_tremula.npy,927,0.24
Prunus_armeniaca.npy,565,0.13
Prunus_avium.npy,1,0.55
Prunus_cerasifera.npy,288,0.04
Prunus_laurocerasus.npy,772,0.12
Prunus_mahaleb.npy,487,0.08
Prunus_padus.npy,653,0.08
Prunus_persica.npy,678,1.04
Prunus_spinosa.npy,457,0.05
Pterocarya_pterocarpa.npy,704,0.15
Punica_granatum.npy,309,0.05
Pyracantha_coccinea.npy,357,0.02
Pyrus_amygdaliformis.npy,212,0.02
Quercus_cerris.npy,1171,0.18
Quercus_frainetto.npy,1990,0.22
Quercus_macrocarpa.npy,1572,0.37
Quercus_palustris.npy,1809,0.28
Quercus_petraea.npy,1260,0.23
Quercus_pubescens.npy,1309,0.16
Quercus_robur.npy,1353,0.19
Quercus_rubra.npy,2145,0.43
Rhamnus_cathartica.npy,380,0.04
Rhus_hirta.npy,317,0.09
Ribes_alpinum.npy,531,0.06
Ribes_rubra.npy,732,0.18
Robinia_pseudacacia.npy,397,0.06
Robinia_viscosa.npy,383,0.06
Rosa_canina.npy,300,0.03
Ruscus_aculeatus.npy,232,0.04
Salix_alba.npy,107,0.01
Salix_aurita.npy,434,0.04
Salix_caprea.npy,761,0.15
Salix_pentandra.npy,603,0.11
Salix_purpurea.npy,483,0.08
Sambucus_nigra.npy,656,0.11
Sambucus_racemosa.npy,423,0.11
Sophora_japonica.npy,415,0.05
Sorbaria_sorbifolia.npy,308,0.03
Sorbus_aria.npy,921,0.15
Sorbus_aucuparia.npy,301,0.03
Sorbus_domestica.npy,313,0.04
Sorbus_intermedia.npy,968,0.16
Sorbus_torminalis.npy,1318,0.21
Spiraea_douglasii.npy,323,0.03
Spiraea_japonica.npy,501,0.07
Spiraea_salicifolia.npy,270,0.03
Spiraea_vanhouttei.npy,269,0.04
Staphylea_pinnata.npy,439,0.1
Symphoricarpos_albus.npy,479,0.04
Symphoricarpos_orbiculatus.npy,160,0.01
Syringa_chinensis.npy,350,0.04
Syringa_josikaea.npy,1008,0.16
Syringa_prestoniae.npy,882,0.28
Syringa_vulgaris.npy,688,0.13
Tilia_cordata.npy,480,0.06
Tilia_platyphyllos.npy,1388,0.34
Tilia_tomentosa.npy,1089,0.21
Ulmus_glabra.npy,781,0.09
Ulmus_laevis.npy,1271,0.31
Ulmus_minor.npy,542,0.07
Ulmus_pumila.npy,471,0.05
Vaccinium_myrtillus.npy,169,0.01
Vaccinium_uliginosum.npy,144,0.02
Vaccinium_vitisidaea.npy,95,0.01
Viburnum_farreri.npy,539,0.09
Viburnum_lantana.npy,1139,0.33
Viburnum_opulus.npy,601,0.07
Viburnum_pragense.npy,359,0.03
Viburnum_rhytidophyllum.npy,866,0.17
Vinca_major.npy,335,0.03
Vinca_minor.npy,361,0.03
Vitis_riparia.npy,1492,0.26
Vitis_vinifera.npy,2329,0.58
Weigela_florida.npy,253,0.02
Wisteria_sinensis.npy,631,0.09
Zelkova_serrata.npy,1076,0.19
