image_name,rectangle_count,execution_time_sec
Bone-10_binary.npy,381,0.02
Bone-13_binary.npy,298,0.01
Bone-17_binary.npy,250,0.02
Bone-18_binary.npy,291,0.01
Comma-12_binary.npy,208,0.01
Comma-13_binary.npy,202,0.01
Comma-14_binary.npy,162,0.01
Comma-17_binary.npy,191,0.01
Glas-10_binary.npy,259,0.01
Glas-11_binary.npy,205,0.01
Glas-3_binary.npy,159,0.01
Glas-8_binary.npy,201,0.01
HCircle-12_binary.npy,192,0.01
HCircle-16_binary.npy,234,0.01
HCircle-17_binary.npy,170,0.01
HCircle-6_binary.npy,162,0.01
Heart-10_binary.npy,434,0.02
Heart-16_binary.npy,329,0.02
Heart-7_binary.npy,431,0.02
Heart-9_binary.npy,401,0.02
Misk-17_binary.npy,371,0.01
Misk-3_binary.npy,353,0.01
Misk-4_binary.npy,321,0.01
Misk-7_binary.npy,403,0.02
apple-10_binary.npy,150,0.01
apple-15_binary.npy,175,0.01
apple-18_binary.npy,146,0.01
apple-8_binary.npy,131,0.01
bat-14_binary.npy,595,0.04
bat-18_binary.npy,464,0.03
bat-1_binary.npy,452,0.04
bat-3_binary.npy,459,0.06
beetle-12_binary.npy,252,0.01
beetle-13_binary.npy,375,0.0
beetle-16_binary.npy,300,0.0
beetle-1_binary.npy,640,0.05
bell-13_binary.npy,140,0.01
bell-20_binary.npy,147,0.03
bell-2_binary.npy,38,0.0
bell-7_binary.npy,82,0.0
bird-11_binary.npy,272,0.01
bird-18_binary.npy,194,0.01
bird-4_binary.npy,445,0.06
bird-9_binary.npy,259,0.01
bottle-03_binary.npy,44,0.01
bottle-04_binary.npy,56,0.01
bottle-13_binary.npy,45,0.01
bottle-18_binary.npy,66,0.01
brick-07_binary.npy,137,0.01
brick-10_binary.npy,118,0.01
brick-12_binary.npy,103,0.01
brick-18_binary.npy,104,0.01
butterfly-11_binary.npy,571,0.03
butterfly-12_binary.npy,388,0.02
butterfly-17_binary.npy,578,0.04
butterfly-19_binary.npy,270,0.02
camel-12_binary.npy,255,0.01
camel-13_binary.npy,280,0.01
camel-17_binary.npy,397,0.02
camel-2_binary.npy,329,0.01
car-06_binary.npy,90,0.01
car-09_binary.npy,94,0.01
car-12_binary.npy,97,0.01
car-15_binary.npy,79,0.01
carriage-07_binary.npy,141,0.01
carriage-09_binary.npy,145,0.01
carriage-12_binary.npy,154,0.01
carriage-20_binary.npy,157,0.01
cattle-12_binary.npy,362,0.01
cattle-15_binary.npy,725,0.03
cattle-17_binary.npy,671,0.05
cattle-7_binary.npy,601,0.04
cellular_phone-15_binary.npy,51,0.01
cellular_phone-18_binary.npy,43,0.01
cellular_phone-2_binary.npy,53,0.01
cellular_phone-4_binary.npy,49,0.01
chicken-11_binary.npy,107,0.0
chicken-17_binary.npy,264,0.01
chicken-1_binary.npy,394,0.02
chicken-7_binary.npy,77,0.0
children-11_binary.npy,90,0.01
children-17_binary.npy,96,0.01
children-1_binary.npy,69,0.01
children-2_binary.npy,69,0.01
chopper-03_binary.npy,144,0.01
chopper-07_binary.npy,111,0.01
chopper-09_binary.npy,118,0.01
chopper-11_binary.npy,131,0.01
classic-16_binary.npy,141,0.01
classic-2_binary.npy,143,0.01
classic-4_binary.npy,302,0.03
classic-5_binary.npy,362,0.05
confusions_binary.npy,516,0.02
crown-14_binary.npy,85,0.0
crown-17_binary.npy,149,0.0
crown-18_binary.npy,248,0.0
crown-9_binary.npy,31,0.0
cup-20_binary.npy,213,0.02
cup-2_binary.npy,228,0.02
cup-3_binary.npy,190,0.01
cup-8_binary.npy,212,0.01
deer-14_binary.npy,385,0.01
deer-17_binary.npy,979,0.08
deer-5_binary.npy,1218,0.06
deer-6_binary.npy,813,0.04
device0-11_binary.npy,420,0.03
device0-12_binary.npy,411,0.03
device0-13_binary.npy,506,0.06
device0-14_binary.npy,392,0.03
device1-12_binary.npy,384,0.03
device1-15_binary.npy,383,0.03
device1-2_binary.npy,222,0.03
device1-3_binary.npy,351,0.03
device2-18_binary.npy,541,0.03
device2-2_binary.npy,356,0.03
device2-4_binary.npy,553,0.03
device2-6_binary.npy,653,0.04
device3-10_binary.npy,141,0.04
device3-13_binary.npy,543,0.04
device3-18_binary.npy,706,0.04
device3-7_binary.npy,100,0.04
device4-13_binary.npy,371,0.04
device4-19_binary.npy,463,0.03
device4-1_binary.npy,275,0.03
device4-3_binary.npy,369,0.04
device5-10_binary.npy,230,0.04
device5-15_binary.npy,278,0.03
device5-18_binary.npy,363,0.03
device5-4_binary.npy,315,0.04
device6-13_binary.npy,717,0.04
device6-15_binary.npy,300,0.03
device6-6_binary.npy,275,0.03
device6-9_binary.npy,568,0.03
device7-14_binary.npy,889,0.03
device7-16_binary.npy,753,0.03
device7-19_binary.npy,720,0.03
device7-6_binary.npy,726,0.03
device8-15_binary.npy,272,0.03
device8-20_binary.npy,5,0.03
device8-6_binary.npy,277,0.03
device8-7_binary.npy,207,0.03
device9-10_binary.npy,274,0.03
device9-1_binary.npy,378,0.03
device9-5_binary.npy,447,0.03
device9-9_binary.npy,452,0.03
dog-13_binary.npy,143,0.0
dog-17_binary.npy,127,0.0
dog-19_binary.npy,1004,0.02
dog-20_binary.npy,204,0.01
elephant-11_binary.npy,322,0.01
elephant-12_binary.npy,753,0.05
elephant-17_binary.npy,194,0.01
elephant-7_binary.npy,656,0.06
face-12_binary.npy,167,0.01
face-14_binary.npy,164,0.01
face-5_binary.npy,171,0.01
face-7_binary.npy,191,0.01
fish-14_binary.npy,101,0.0
fish-15_binary.npy,90,0.0
fish-5_binary.npy,115,0.0
fish-7_binary.npy,196,0.0
flatfish-16_binary.npy,248,0.01
flatfish-18_binary.npy,257,0.01
flatfish-3_binary.npy,301,0.01
flatfish-6_binary.npy,228,0.01
fly-16_binary.npy,426,0.01
fly-19_binary.npy,284,0.0
fly-2_binary.npy,243,0.01
fly-7_binary.npy,399,0.01
fork-20_binary.npy,196,0.03
fork-4_binary.npy,236,0.03
fork-6_binary.npy,203,0.03
fork-8_binary.npy,134,0.03
fountain-03_binary.npy,101,0.01
fountain-04_binary.npy,101,0.01
fountain-08_binary.npy,110,0.01
fountain-19_binary.npy,119,0.01
frog-10_binary.npy,264,0.01
frog-17_binary.npy,228,0.0
frog-1_binary.npy,281,0.01
frog-7_binary.npy,336,0.01
guitar-10_binary.npy,430,0.02
guitar-12_binary.npy,192,0.01
guitar-17_binary.npy,309,0.02
guitar-8_binary.npy,204,0.01
hammer-11_binary.npy,41,0.01
hammer-12_binary.npy,36,0.01
hammer-17_binary.npy,42,0.01
hammer-9_binary.npy,41,0.01
hat-12_binary.npy,51,0.0
hat-17_binary.npy,106,0.0
hat-1_binary.npy,80,0.01
hat-6_binary.npy,37,0.0
horse-14_binary.npy,1019,0.09
horse-16_binary.npy,885,0.08
horse-18_binary.npy,377,0.02
horse-5_binary.npy,366,0.01
