image_name,rectangle_count,execution_time_sec
Berberis_thunbergii.npy,91,0.43
Berberis_vulgaris.npy,201,2.92
Betula_papyrifera.npy,1039,215.04
Betula_pendula.npy,336,8.48
Clematis_vitalba.npy,964,121.06
Fallopia_aubertii.npy,338,11.11
Frangula_alnus.npy,390,17.49
Hedera_helixSTERILE.npy,1427,211.35
Koelreuteria_paniculata.npy,725,76.08
Laburnum_anagyroides.npy,262,7.05
Physocarpus_opulifolius.npy,607,51.22
Quercus_cerris.npy,1166,210.65
Quercus_palustris.npy,1738,182.77
Robinia_viscosa.npy,335,14.18
Sorbus_intermedia.npy,938,162.22
Syringa_chinensis.npy,350,12.22
Tilia_cordata.npy,437,25.57
Tilia_tomentosa.npy,1027,221.56
Viburnum_rhytidophyllum.npy,584,104.39
Zelkova_serrata.npy,916,168.62
