image_name,rectangle_count,execution_time_sec
HCircle-10_binary.npy,127,1.41
bat-10_binary.npy,389,6.66
bottle-01_binary.npy,35,0.09
cattle-10_binary.npy,409,9.98
cellular_phone-10_binary.npy,60,0.96
crown-10_binary.npy,101,0.29
cup-10_binary.npy,153,1.61
device2-10_binary.npy,521,11.33
device7-10_binary.npy,747,20.48
elephant-10_binary.npy,244,2.69
fly-10_binary.npy,397,4.16
hat-10_binary.npy,50,0.23
horse-10_binary.npy,463,4.51
horseshoe-10_binary.npy,43,0.03
jar-10_binary.npy,283,7.35
key-10_binary.npy,117,0.84
lizzard-10_binary.npy,411,6.79
pencil-10_binary.npy,58,0.32
personal_car-10_binary.npy,149,1.8
tree-10_binary.npy,112,0.56
