image_name,rectangle_count,execution_time_sec
Acer_campestre.npy,1359,344.5
Acer_ginnala.npy,684,37.18
Acer_monspessulanum.npy,351,9.31
Acer_negundo.npy,607,55.8
Acer_palmatum.npy,509,8.94
Acer_platanoides.npy,1870,571.05
Acer_pseudoplatanus.npy,1971,932.83
Acer_saccharinum.npy,2321,504.26
Acer_saccharum.npy,1995,658.11
Acer_tataricum.npy,561,36.15
Actinidia_arguta.npy,694,80.81
Aesculus_carnea.npy,1612,785.58
Aesculus_glabra.npy,556,58.37
Aesculus_hippocastanum.npy,840,116.29
Aesculus_octandra.npy,605,62.71
Aesculus_pavia.npy,458,42.85
Ailanthus_altissima.npy,994,449.26
Alnus_alnobetula.npy,483,30.75
Alnus_glutinosa.npy,988,136.9
Alnus_incana.npy,921,188.97
Alnus_orientalis.npy,573,44.78
Amelanchier_ovalis.npy,431,22.47
Amorpha_fruticosa.npy,217,5.06
Amygdalus_communis.npy,285,9.09
Arctostaphylos_uvaursi.npy,99,0.35
Aronia_melanocarpa.npy,637,60.27
Berberis_thunbergii.npy,91,0.43
Berberis_vulgaris.npy,201,2.9
Betula_nana.npy,100,0.36
Betula_papyrifera.npy,1039,212.34
Betula_pendula.npy,336,8.43
Betula_pubescens.npy,347,10.55
Buddleja_davidii.npy,559,64.61
Buxus_sempervirens.npy,157,1.6
Caragana_arborescens.npy,146,1.77
Carpinus_betulus.npy,557,53.72
Carya_ovata.npy,889,249.56
Castanea_sativa.npy,1,31.87
Catalpa_bignonioides.npy,1572,1140.45
Celtis_occidentalis.npy,608,63.95
Cercidiphyllum_japonicum.npy,732,84.97
Cercis_siliquastrum.npy,973,253.75
Chaenomeles_japonica.npy,93,35.48
Clematis_vitalba.npy,964,121.27
Colutea_arborescens.npy,217,4.56
Cornus_alba.npy,965,305.27
Cornus_mas.npy,524,44.46
Cornus_sanguinea.npy,296,9.96
Corylus_avellana.npy,1346,553.44
Corylus_colurna.npy,1383,478.87
Corylus_maxima.npy,873,155.73
Cotinus_coggygria.npy,707,113.75
Cotoneaster_horizontalis.npy,117,0.78
Cotoneaster_integerrimus.npy,186,2.25
Crataegus_monogyna.npy,344,6.64
Cydonia_oblonga.npy,600,74.9
Daphne_mezereum.npy,268,12.04
Deutzia_scabra.npy,302,10.91
Elaeagnus_angustifolia.npy,234,7.24
Euonymus_europaea.npy,535,50.76
Euonymus_verrucosa.npy,383,20.27
Fagus_sylvatica.npy,882,201.71
Fallopia_aubertii.npy,338,10.51
Ficus_carica.npy,1729,665.84
Forsythia_intermedia.npy,424,15.96
Frangula_alnus.npy,390,17.31
Fraxinus_excelsior.npy,737,112.96
Fraxinus_ornus.npy,407,26.65
Ginkgo_biloba.npy,864,91.51
Gleditsia_triacanthos.npy,101,0.7
Gymnocladus_dioicus.npy,535,54.15
