image_name,rectangle_count,execution_time_sec
Bone-10_binary.npy,365,3.41
Bone-13_binary.npy,297,2.16
Bone-17_binary.npy,239,2.07
Bone-18_binary.npy,281,1.98
Comma-12_binary.npy,153,3.12
Comma-13_binary.npy,189,4.11
Comma-14_binary.npy,157,4.14
Comma-17_binary.npy,178,3.99
Glas-10_binary.npy,171,2.44
Glas-11_binary.npy,118,1.67
Glas-3_binary.npy,157,2.59
Glas-8_binary.npy,198,3.46
HCircle-12_binary.npy,141,1.8
HCircle-16_binary.npy,165,2.12
HCircle-17_binary.npy,170,1.94
HCircle-6_binary.npy,162,2.22
Heart-10_binary.npy,412,13.18
Heart-16_binary.npy,312,8.35
Heart-7_binary.npy,375,13.73
Heart-9_binary.npy,391,13.72
Misk-17_binary.npy,358,8.51
Misk-3_binary.npy,336,9.4
Misk-4_binary.npy,309,7.06
Misk-7_binary.npy,355,8.55
apple-10_binary.npy,131,0.96
apple-15_binary.npy,156,1.53
apple-18_binary.npy,143,1.2
apple-8_binary.npy,131,1.02
bat-14_binary.npy,588,18.49
bat-18_binary.npy,457,12.06
bat-1_binary.npy,413,9.53
bat-3_binary.npy,446,9.34
beetle-12_binary.npy,241,0.77
beetle-13_binary.npy,351,1.33
beetle-16_binary.npy,285,1.01
beetle-1_binary.npy,576,8.69
bell-13_binary.npy,131,0.95
bell-20_binary.npy,134,1.17
bell-2_binary.npy,33,0.03
bell-7_binary.npy,77,0.24
bird-11_binary.npy,267,2.19
bird-18_binary.npy,181,0.94
bird-4_binary.npy,397,9.91
bird-9_binary.npy,251,2.26
bottle-03_binary.npy,44,0.11
bottle-04_binary.npy,48,0.14
bottle-13_binary.npy,41,0.14
bottle-18_binary.npy,55,0.15
brick-07_binary.npy,119,0.61
brick-10_binary.npy,102,0.36
brick-12_binary.npy,103,0.41
brick-18_binary.npy,94,0.35
butterfly-11_binary.npy,550,7.16
butterfly-12_binary.npy,369,6.66
butterfly-17_binary.npy,568,12.75
butterfly-19_binary.npy,252,3.51
camel-12_binary.npy,241,1.74
camel-13_binary.npy,274,3.37
camel-17_binary.npy,340,3.26
camel-2_binary.npy,324,3.12
car-06_binary.npy,76,0.24
car-09_binary.npy,75,0.28
car-12_binary.npy,86,0.32
car-15_binary.npy,79,0.32
carriage-07_binary.npy,138,0.42
carriage-09_binary.npy,144,0.38
carriage-12_binary.npy,143,0.42
carriage-20_binary.npy,153,0.46
cattle-12_binary.npy,347,5.77
cattle-15_binary.npy,717,14.07
cattle-17_binary.npy,667,22.31
cattle-7_binary.npy,595,9.59
cellular_phone-15_binary.npy,39,0.37
cellular_phone-18_binary.npy,40,0.43
cellular_phone-2_binary.npy,41,0.44
cellular_phone-4_binary.npy,46,0.64
chicken-11_binary.npy,99,0.23
chicken-17_binary.npy,260,2.28
chicken-1_binary.npy,385,7.15
chicken-7_binary.npy,74,0.14
children-11_binary.npy,69,0.15
children-17_binary.npy,78,0.16
children-1_binary.npy,68,0.14
children-2_binary.npy,67,0.19
chopper-03_binary.npy,123,0.49
chopper-07_binary.npy,108,0.41
chopper-09_binary.npy,115,0.47
chopper-11_binary.npy,119,0.51
classic-16_binary.npy,131,1.34
classic-2_binary.npy,138,1.4
classic-4_binary.npy,290,12.57
classic-5_binary.npy,290,12.47
confusions_binary.npy,467,11.79
crown-14_binary.npy,80,0.22
crown-17_binary.npy,126,0.36
crown-18_binary.npy,239,1.22
crown-9_binary.npy,25,0.02
cup-20_binary.npy,197,2.66
cup-2_binary.npy,203,3.18
cup-3_binary.npy,167,1.62
cup-8_binary.npy,186,2.04
deer-14_binary.npy,370,2.65
deer-17_binary.npy,950,29.39
deer-5_binary.npy,1179,51.1
deer-6_binary.npy,763,19.02
device0-11_binary.npy,414,5.66
device0-12_binary.npy,401,5.61
device0-13_binary.npy,469,6.52
device0-14_binary.npy,368,5.6
device1-12_binary.npy,337,5.91
device1-15_binary.npy,380,10.74
device1-2_binary.npy,221,6.09
device1-3_binary.npy,328,10.81
device2-18_binary.npy,540,19.81
device2-2_binary.npy,355,5.91
device2-4_binary.npy,552,7.63
device2-6_binary.npy,610,13.2
device3-10_binary.npy,109,3.56
device3-13_binary.npy,542,17.52
device3-18_binary.npy,645,20.55
