image_name,p_geometry,p_merge,p_local,rectangles,execution_time,generations_used,fitness
Acer_ginnala_binary.npy,0.0,0.0,0.0,1479,29.43,6,3174.66
Acer_pseudoplatanus_binary.npy,0.0,0.0,0.0,5157,352.84,6,40563.58
Aesculus_hippocastanum_binary.npy,0.0,0.0,0.0,1714,41.06,6,5973.93
Cotinus_coggygria_binary.npy,0.0,0.0,0.0,1806,45.36,6,6558.17
Hibiscus_syriacus_binary.npy,0.0,0.0,0.0,1582,36.26,6,9119.11
Ledum_palustre_binary.npy,0.0,0.0,0.0,285,2.05,6,1316.48
Malus_domestica_binary.npy,0.0,0.0,0.0,1426,31.2,6,5631.93
Prunus_cerasifera_binary.npy,0.0,0.0,0.0,788,9.47,6,1612.7800000000002
Salix_caprea_binary.npy,0.0,0.0,0.0,1505,33.56,6,8396.59
Vaccinium_vitisidaea_binary.npy,0.0,0.0,0.0,522,4.33,6,666.53
Acer_ginnala_binary.npy,0.0,0.0,0.05,1479,29.29,6,3174.66
Acer_pseudoplatanus_binary.npy,0.0,0.0,0.05,5157,343.19,6,40563.58
Aesculus_hippocastanum_binary.npy,0.0,0.0,0.05,1714,40.86,6,5973.93
Cotinus_coggygria_binary.npy,0.0,0.0,0.05,1806,45.13,6,6558.17
Hibiscus_syriacus_binary.npy,0.0,0.0,0.05,1582,36.68,6,9119.11
Ledum_palustre_binary.npy,0.0,0.0,0.05,285,2.06,6,1316.48
Malus_domestica_binary.npy,0.0,0.0,0.05,1426,32.43,6,5631.93
Prunus_cerasifera_binary.npy,0.0,0.0,0.05,788,11.76,6,1612.7800000000002
Salix_caprea_binary.npy,0.0,0.0,0.05,1505,35.48,6,8396.59
Vaccinium_vitisidaea_binary.npy,0.0,0.0,0.05,522,4.35,6,666.53
Acer_ginnala_binary.npy,0.0,0.0,0.1,1479,29.48,6,3174.66
Acer_pseudoplatanus_binary.npy,0.0,0.0,0.1,5157,403.38,6,40563.58
