image_name,rectangle_count,execution_time_sec
Bone-10_binary.npy,580,1.91
Bone-13_binary.npy,498,1.21
Bone-17_binary.npy,350,1.01
Bone-18_binary.npy,498,1.53
Comma-12_binary.npy,247,0.23
Comma-13_binary.npy,249,0.3
Comma-14_binary.npy,212,0.19
Comma-17_binary.npy,265,0.3
Glas-10_binary.npy,289,0.42
Glas-11_binary.npy,208,0.3
Glas-3_binary.npy,259,0.38
Glas-8_binary.npy,317,0.5
HCircle-12_binary.npy,194,0.12
HCircle-16_binary.npy,235,0.19
HCircle-17_binary.npy,242,0.22
HCircle-6_binary.npy,213,0.16
Heart-10_binary.npy,626,1.04
Heart-16_binary.npy,525,0.9
Heart-7_binary.npy,629,0.95
Heart-9_binary.npy,652,0.97
Misk-17_binary.npy,519,0.74
Misk-3_binary.npy,475,0.52
Misk-4_binary.npy,422,0.48
Misk-7_binary.npy,510,0.69
apple-10_binary.npy,214,0.18
apple-15_binary.npy,267,0.2
apple-18_binary.npy,240,0.16
apple-8_binary.npy,229,0.15
bat-14_binary.npy,784,3.18
bat-18_binary.npy,587,1.57
bat-1_binary.npy,539,1.93
bat-3_binary.npy,594,3.92
beetle-12_binary.npy,310,0.83
beetle-13_binary.npy,511,0.88
beetle-16_binary.npy,395,0.66
beetle-1_binary.npy,838,10.15
bell-13_binary.npy,163,0.12
bell-20_binary.npy,191,0.64
bell-2_binary.npy,42,0.01
bell-7_binary.npy,95,0.04
bird-11_binary.npy,368,0.5
bird-18_binary.npy,231,0.34
bird-4_binary.npy,539,2.9
bird-9_binary.npy,345,0.48
bottle-03_binary.npy,55,0.15
bottle-04_binary.npy,58,0.16
bottle-13_binary.npy,46,0.15
bottle-18_binary.npy,67,0.18
brick-07_binary.npy,146,0.19
brick-10_binary.npy,135,0.26
brick-12_binary.npy,136,0.19
brick-18_binary.npy,117,0.17
butterfly-11_binary.npy,675,4.19
butterfly-12_binary.npy,468,1.0
butterfly-17_binary.npy,716,4.35
butterfly-19_binary.npy,311,0.67
camel-12_binary.npy,339,0.53
camel-13_binary.npy,383,0.62
camel-17_binary.npy,456,1.19
camel-2_binary.npy,453,1.01
car-06_binary.npy,96,0.17
car-09_binary.npy,96,0.13
car-12_binary.npy,103,0.17
car-15_binary.npy,88,0.14
carriage-07_binary.npy,168,0.43
carriage-09_binary.npy,181,0.53
carriage-12_binary.npy,176,0.51
carriage-20_binary.npy,193,0.57
cattle-12_binary.npy,409,1.09
cattle-15_binary.npy,933,5.38
cattle-17_binary.npy,867,4.22
cattle-7_binary.npy,772,3.94
cellular_phone-15_binary.npy,47,0.05
cellular_phone-18_binary.npy,57,0.05
cellular_phone-2_binary.npy,51,0.04
cellular_phone-4_binary.npy,54,0.06
chicken-11_binary.npy,131,0.09
chicken-17_binary.npy,328,0.47
chicken-1_binary.npy,500,0.93
chicken-7_binary.npy,99,0.05
children-11_binary.npy,104,0.18
children-17_binary.npy,114,0.23
children-1_binary.npy,102,0.19
children-2_binary.npy,100,0.18
chopper-03_binary.npy,156,0.3
chopper-07_binary.npy,136,0.3
chopper-09_binary.npy,152,0.3
chopper-11_binary.npy,145,0.3
classic-16_binary.npy,183,0.23
classic-2_binary.npy,176,0.14
classic-4_binary.npy,336,0.55
classic-5_binary.npy,336,0.56
confusions_binary.npy,577,1.33
crown-14_binary.npy,103,0.04
crown-17_binary.npy,171,0.11
crown-18_binary.npy,313,0.39
crown-9_binary.npy,32,0.01
