image_name,rectangle_count,execution_time_sec
Acer_campestre.npy,1878,19.42
Acer_ginnala.npy,834,2.73
Acer_monspessulanum.npy,504,1.65
Acer_negundo.npy,935,3.6
Acer_palmatum.npy,691,8.04
Acer_platanoides.npy,2301,12.84
Acer_pseudoplatanus.npy,2479,31.84
Acer_saccharinum.npy,3349,76.75
Acer_saccharum.npy,2395,15.42
Acer_tataricum.npy,647,2.52
Actinidia_arguta.npy,971,4.74
Aesculus_carnea.npy,1983,33.67
Aesculus_glabra.npy,768,3.56
Aesculus_hippocastanum.npy,1084,5.01
Aesculus_octandra.npy,820,7.45
Aesculus_pavia.npy,661,2.52
Ailanthus_altissima.npy,1454,8.56
Alnus_alnobetula.npy,587,1.71
Alnus_glutinosa.npy,1265,4.52
Alnus_incana.npy,1160,6.26
Alnus_orientalis.npy,809,1.95
Amelanchier_ovalis.npy,623,1.61
Amorpha_fruticosa.npy,368,0.77
Amygdalus_communis.npy,485,3.0
Arctostaphylos_uvaursi.npy,145,0.4
Aronia_melanocarpa.npy,846,2.85
Berberis_thunbergii.npy,150,0.13
Berberis_vulgaris.npy,307,0.38
Betula_nana.npy,141,0.47
Betula_papyrifera.npy,1299,6.01
Betula_pendula.npy,425,1.03
Betula_pubescens.npy,484,1.18
Buddleja_davidii.npy,895,6.64
Buxus_sempervirens.npy,282,0.59
Caragana_arborescens.npy,241,0.19
Carpinus_betulus.npy,686,2.46
Carya_ovata.npy,1317,14.63
Castanea_sativa.npy,1,2.34
Catalpa_bignonioides.npy,2514,20.63
Celtis_occidentalis.npy,784,3.05
Cercidiphyllum_japonicum.npy,1094,4.0
Cercis_siliquastrum.npy,1531,6.64
Chaenomeles_japonica.npy,93,0.58
Clematis_vitalba.npy,1201,6.94
Colutea_arborescens.npy,402,0.53
Cornus_alba.npy,1624,9.04
Cornus_mas.npy,894,2.96
Cornus_sanguinea.npy,502,1.09
Corylus_avellana.npy,1558,8.25
Corylus_colurna.npy,1690,8.62
Corylus_maxima.npy,1032,4.25
Cotinus_coggygria.npy,1130,5.21
Cotoneaster_horizontalis.npy,189,0.45
Cotoneaster_integerrimus.npy,318,0.32
Crataegus_monogyna.npy,480,0.9
Cydonia_oblonga.npy,974,2.62
Daphne_mezereum.npy,456,3.19
Deutzia_scabra.npy,493,1.69
Elaeagnus_angustifolia.npy,387,0.82
Euonymus_europaea.npy,824,2.47
Euonymus_verrucosa.npy,558,1.45
Fagus_sylvatica.npy,1409,6.17
Fallopia_aubertii.npy,504,1.43
Ficus_carica.npy,2400,19.46
Forsythia_intermedia.npy,634,2.49
Frangula_alnus.npy,650,1.42
Fraxinus_excelsior.npy,1006,4.66
Fraxinus_ornus.npy,623,1.54
Ginkgo_biloba.npy,1129,10.21
