image_title,GDM,M-GDM,SBD,CBD
acer_campestre_1,1792,1826.0,1937.0,1649.0
acer_campestre_2,1652,1607.0,1799.0,1520.0
acer_campestre_3,2274,2097.0,2401.0,2079.0
acer_ginnala_1,1500,1346.0,1544.0,1382.0
acer_ginnala_2,1562,1408.0,1611.0,1406.0
acer_ginnala_3,956,834.0,937.0,848.0
acer_ginnala_4,1452,1292.0,1502.0,1295.0
acer_ginnala_5,1513,1286.0,1528.0,1319.0
acer_ginnala_6,1402,1170.0,1339.0,1183.0
acer_ginnala_7,1524,1415.0,1560.0,1449.0
acer_negundo_1,861,694.0,829.0,694.0
acer_negundo_2,882,605.0,809.0,605.0
acer_negundo_3,851,637.0,758.0,637.0
acer_negundo_4,1531,1306.0,1583.0,1305.0
acer_platanoides_1,2528,2573.0,2878.0,2434.0
acer_platanoides_2,3309,3306.0,3714.0,3088.0
acer_platanoides_3,2968,2922.0,3367.0,2862.0
acer_pseudoplatanus_1,2638,2506.0,2802.0,2531.0
acer_pseudoplatanus_2,2032,1913.0,1993.0,1917.0
acer_pseudoplatanus_3,2472,2419.0,2867.0,2342.0
acer_pseudoplatanus_4,2605,2603.0,2931.0,2601.0
acer_pseudoplatanus_5,1904,1921.0,2125.0,1739.0
acer_pseudoplatanus_6,2971,2674.0,3342.0,2868.0
acer_pseudoplatanus_7,2823,2871.0,3143.0,2686.0
acer_saccharinum_1,971,816.0,956.0,816.0
acer_saccharinum_2,2691,2411.0,2958.0,2649.0
acer_saccharinum_3,2674,2499.0,3015.0,2582.0
acer_saccharinum_4,2740,2594.0,3116.0,2631.0
acer_saccharinum_5,2447,2209.0,2629.0,2376.0
acer_saccharinum_6,3355,3234.0,3717.0,3162.0
acer_saccharinum_7,2369,2272.0,2674.0,2267.0
acer_tataricum_1,1556,1501.0,1745.0,1499.0
acer_tataricum_2,1116,950.0,1087.0,949.0
acer_tataricum_3,1244,1052.0,1225.0,1051.0
acer_tataricum_4,1497,1383.0,1620.0,1385.0
acer_tataricum_5,1547,1393.0,1636.0,1391.0
acer_tataricum_6,1208,1025.0,1192.0,1026.0
acer_tataricum_7,1727,1445.0,1762.0,1445.0
acer_tataricum_8,996,858.0,956.0,855.0
aesculus_carnea_1,4246,3832.0,4438.0,3826.0
aesculus_carnea_2,2655,2702.0,2974.0,2612.0
aesculus_carnea_3,1331,1146.0,1420.0,1146.0
aesculus_carnea_4,3447,3387.0,3756.0,3397.0
aesculus_carnea_5,3113,3051.0,3394.0,3062.0
aesculus_carnea_6,4032,3793.0,4175.0,3713.0
aesculus_carnea_7,3886,3603.0,3952.0,3543.0
aesculus_carnea_8,3376,3148.0,3457.0,3093.0
aesculus_carnea_9,3371,3150.0,3546.0,3158.0
aesculus_carnea_10,3497,3256.0,3538.0,3235.0
aesculus_carnea_11,5044,4493.0,4941.0,4442.0
aesculus_carnea_12,4921,4517.0,5113.0,4528.0
aesculus_carnea_13,2713,2655.0,2946.0,2689.0
aesculus_hippocastanum_1,1326,1172.0,1286.0,1172.0
aesculus_hippocastanum_2,1694,1439.0,1645.0,1439.0
aesculus_hippocastanum_3,1536,1365.0,1576.0,1513.0
aesculus_hippocastanum_4,1366,1330.0,1428.0,1347.0
aesculus_hippocastanum_5,2254,2187.0,2214.0,2222.0
aesculus_hippocastanum_6,3130,2836.0,3457.0,2836.0
aesculus_hippocastanum_7,2361,2129.0,2513.0,2129.0
aesculus_hippocastanum_8,1751,1552.0,1906.0,1551.0
aesculus_hippocastanum_9,2839,2528.0,3162.0,2528.0
aesculus_hippocastanum_10,1600,1338.0,1774.0,1342.0
aesculus_hippocastanum_11,1480,1262.0,1576.0,1262.0
aesculus_hippocastanum_12,1705,1429.0,1816.0,1429.0
ailanthus_altissima_1,1516,1122.0,1265.0,1122.0
ailanthus_altissima_2,1594,1174.0,1331.0,1174.0
ailanthus_altissima_3,1599,1221.0,1250.0,1221.0
ailanthus_altissima_4,1634,1208.0,1365.0,1208.0
ailanthus_altissima_5,1518,1132.0,1193.0,1132.0
alnus_glutinosa_1,347,256.0,340.0,253.0
alnus_glutinosa_2,1233,1115.0,1282.0,1215.0
alnus_glutinosa_3,1273,1163.0,1247.0,1231.0
alnus_orientalis_1,900,787.0,922.0,787.0
alnus_orientalis_2,786,666.0,760.0,665.0
alnus_orientalis_3,580,436.0,502.0,436.0
alnus_orientalis_4,702,565.0,678.0,565.0
alnus_orientalis_5,861,731.0,881.0,730.0
alnus_orientalis_6,800,649.0,814.0,648.0
alnus_orientalis_7,732,540.0,774.0,539.0
alnus_orientalis_8,786,638.0,777.0,638.0
alnus_orientalis_9,852,699.0,886.0,699.0
alnus_orientalis_10,740,626.0,712.0,626.0
alnus_orientalis_11,683,565.0,640.0,564.0
alnus_orientalis_12,771,618.0,731.0,617.0
alnus_orientalis_13,688,547.0,646.0,547.0
alnus_orientalis_14,849,672.0,866.0,672.0
alnus_orientalis_15,817,700.0,868.0,699.0
alnus_orientalis_16,636,541.0,583.0,541.0
alnus_orientalis_17,529,425.0,486.0,425.0
amorpha_fruticosa_1,347,253.0,340.0,253.0
amorpha_fruticosa_2,308,225.0,300.0,225.0
amorpha_fruticosa_3,139,102.0,135.0,102.0
amorpha_fruticosa_4,160,109.0,154.0,109.0
amorpha_fruticosa_5,391,286.0,379.0,286.0
amorpha_fruticosa_6,154,110.0,135.0,110.0
amorpha_fruticosa_7,238,165.0,203.0,165.0
aronia_melanocarpa_1,883,745.0,853.0,745.0
aronia_melanocarpa_2,1143,1021.0,1118.0,1019.0
