image_name,rectangle_count,execution_time_sec
Acer_campestre.npy,7213,0.19
Acer_ginnala.npy,2545,0.05
Acer_monspessulanum.npy,1564,0.03
Acer_negundo.npy,2735,0.06
Acer_palmatum.npy,2588,0.05
Acer_platanoides.npy,8546,0.17
Acer_pseudoplatanus.npy,8795,0.18
Acer_saccharinum.npy,11480,0.23
Acer_saccharum.npy,8905,0.18
Acer_tataricum.npy,2695,0.06
Actinidia_arguta.npy,2978,0.06
Aesculus_carnea.npy,9643,0.21
Aesculus_glabra.npy,2043,0.04
Aesculus_hippocastanum.npy,3399,0.07
Aesculus_octandra.npy,3146,0.07
Aesculus_pavia.npy,1824,0.03
Ailanthus_altissima.npy,3924,0.08
Alnus_alnobetula.npy,2141,0.04
Alnus_glutinosa.npy,3914,0.08
Alnus_incana.npy,4111,0.08
Alnus_orientalis.npy,2485,0.28
Amelanchier_ovalis.npy,2160,0.04
Amorpha_fruticosa.npy,1083,0.02
Amygdalus_communis.npy,1155,0.02
Arctostaphylos_uvaursi.npy,440,0.01
Aronia_melanocarpa.npy,2768,0.06
Berberis_thunbergii.npy,435,0.01
Berberis_vulgaris.npy,851,0.02
Betula_nana.npy,477,0.01
Betula_papyrifera.npy,3809,0.07
Betula_pendula.npy,1536,0.03
Betula_pubescens.npy,1408,0.03
Buddleja_davidii.npy,3057,0.06
Buxus_sempervirens.npy,802,0.02
Caragana_arborescens.npy,631,0.01
Carpinus_betulus.npy,2707,0.07
Carya_ovata.npy,3678,0.1
Castanea_sativa.npy,1,0.01
Catalpa_bignonioides.npy,7320,0.39
Celtis_occidentalis.npy,2650,0.05
Cercidiphyllum_japonicum.npy,3498,0.07
Cercis_siliquastrum.npy,5105,0.31
Chaenomeles_japonica.npy,336,0.01
Clematis_vitalba.npy,4199,0.39
Colutea_arborescens.npy,1155,0.02
Cornus_alba.npy,4601,0.09
Cornus_mas.npy,2363,0.31
Cornus_sanguinea.npy,1228,0.02
Corylus_avellana.npy,6939,0.15
Corylus_colurna.npy,6707,0.14
Corylus_maxima.npy,3758,0.08
Cotinus_coggygria.npy,3317,0.07
Cotoneaster_horizontalis.npy,453,0.01
Cotoneaster_integerrimus.npy,759,0.01
Crataegus_monogyna.npy,1454,0.03
Cydonia_oblonga.npy,3035,0.06
Daphne_mezereum.npy,1303,0.03
Deutzia_scabra.npy,1226,0.02
Elaeagnus_angustifolia.npy,1196,0.02
Euonymus_europaea.npy,2363,0.05
Euonymus_verrucosa.npy,1518,0.03
Fagus_sylvatica.npy,3487,0.07
Fallopia_aubertii.npy,1517,0.03
Ficus_carica.npy,8414,0.26
Forsythia_intermedia.npy,1646,0.03
Frangula_alnus.npy,1577,0.03
Fraxinus_excelsior.npy,2874,0.06
Fraxinus_ornus.npy,1589,0.03
Ginkgo_biloba.npy,3786,0.08
Gleditsia_triacanthos.npy,524,0.23
Gymnocladus_dioicus.npy,2121,0.04
Hamamelis_japonica.npy,3294,0.2
Hamamelis_virginiana.npy,2915,0.06
Hedera_helixFERTILE.npy,5986,0.12
Hedera_helixSTERILE.npy,6287,0.13
Hibiscus_syriacus.npy,2943,0.06
Hippophae_rhamnoides.npy,493,0.01
Humulus_lupulus.npy,10120,0.43
Hydrangea_petiolaris.npy,5485,0.11
Ilex_aquifolium.npy,1449,0.03
