image_name,rectangle_count,execution_time_sec
Acer_campestre.npy,2167,0.07
Acer_ginnala.npy,917,0.02
Acer_monspessulanum.npy,651,0.01
Acer_negundo.npy,1026,0.03
Acer_palmatum.npy,803,0.01
Acer_platanoides.npy,2717,0.07
Acer_pseudoplatanus.npy,2934,0.11
Acer_saccharinum.npy,3570,0.11
Acer_saccharum.npy,2979,0.07
Acer_tataricum.npy,748,0.02
Actinidia_arguta.npy,1098,0.04
Aesculus_carnea.npy,2207,0.15
Aesculus_glabra.npy,855,0.03
Aesculus_hippocastanum.npy,1181,0.04
Aesculus_octandra.npy,889,0.06
Aesculus_pavia.npy,746,0.02
Ailanthus_altissima.npy,1613,0.08
Alnus_alnobetula.npy,704,0.02
Alnus_glutinosa.npy,1401,0.05
Alnus_incana.npy,1275,0.06
Alnus_orientalis.npy,921,0.02
Amelanchier_ovalis.npy,716,0.02
Amorpha_fruticosa.npy,434,0.01
Amygdalus_communis.npy,533,0.01
Arctostaphylos_uvaursi.npy,204,0.0
Aronia_melanocarpa.npy,935,0.03
Berberis_thunbergii.npy,210,0.0
Berberis_vulgaris.npy,424,0.01
Betula_nana.npy,198,0.0
Betula_papyrifera.npy,1417,0.05
Betula_pendula.npy,499,0.01
Betula_pubescens.npy,565,0.01
Buddleja_davidii.npy,975,0.05
Buxus_sempervirens.npy,384,0.01
Caragana_arborescens.npy,303,0.0
Carpinus_betulus.npy,794,0.03
Carya_ovata.npy,1389,0.09
Castanea_sativa.npy,1,0.01
Catalpa_bignonioides.npy,2738,0.1
Celtis_occidentalis.npy,879,0.03
Cercidiphyllum_japonicum.npy,1339,0.02
Cercis_siliquastrum.npy,1789,0.04
Chaenomeles_japonica.npy,114,0.0
Clematis_vitalba.npy,1413,0.03
Colutea_arborescens.npy,534,0.01
Cornus_alba.npy,1728,0.08
Cornus_mas.npy,1005,0.02
Cornus_sanguinea.npy,575,0.01
Corylus_avellana.npy,1821,0.06
Corylus_colurna.npy,2046,0.06
Corylus_maxima.npy,1229,0.04
Cotinus_coggygria.npy,1273,0.04
Cotoneaster_horizontalis.npy,225,0.0
Cotoneaster_integerrimus.npy,416,0.0
Crataegus_monogyna.npy,632,0.01
Cydonia_oblonga.npy,1073,0.03
Daphne_mezereum.npy,507,0.02
Deutzia_scabra.npy,534,0.01
Elaeagnus_angustifolia.npy,461,0.01
Euonymus_europaea.npy,906,0.02
Euonymus_verrucosa.npy,642,0.02
Fagus_sylvatica.npy,1602,0.03
Fallopia_aubertii.npy,599,0.01
Ficus_carica.npy,2805,0.07
Forsythia_intermedia.npy,742,0.02
Frangula_alnus.npy,792,0.01
Fraxinus_excelsior.npy,1077,0.04
Fraxinus_ornus.npy,706,0.02
Ginkgo_biloba.npy,1404,0.03
Gleditsia_triacanthos.npy,208,0.0
Gymnocladus_dioicus.npy,1013,0.02
Hamamelis_japonica.npy,1303,0.02
Hamamelis_virginiana.npy,940,0.03
Hedera_helixFERTILE.npy,2519,0.05
Hedera_helixSTERILE.npy,1850,0.09
Hibiscus_syriacus.npy,937,0.04
Hippophae_rhamnoides.npy,204,0.01
Humulus_lupulus.npy,3117,0.07
Hydrangea_petiolaris.npy,1634,0.13
Ilex_aquifolium.npy,558,0.01
Juglans_cinerea.npy,1032,0.04
Juglans_nigra.npy,858,0.03
Juglans_regia.npy,1278,0.04
Kerria_japonica.npy,767,0.02
Koelreuteria_paniculata.npy,1070,0.03
Kolkwitzia_amabilis.npy,663,0.01
Laburnum_anagyroides.npy,524,0.01
Laurus_nobilis.npy,797,0.02
Lavandula_angustifolia.npy,144,0.0
Ledum_palustre.npy,176,0.0
Ligustrum_ovalifolium.npy,887,0.02
Ligustrum_vulgare.npy,419,0.01
Liquidambar_styraciflua.npy,3361,0.29
Liriodendron_tulipifera.npy,1501,0.05
Lonicera_henryi.npy,546,0.01
Lonicera_involucrata.npy,1275,0.05
Lonicera_purpusii.npy,724,0.01
Lonicera_tatarica.npy,478,0.01
Lonicera_xylosteum.npy,644,0.01
Loranthus_europaeus.npy,252,0.0
Lycium_barbarum.npy,465,0.01
Maclura_pomiferaFEMALE.npy,866,0.01
Maclura_pomiferaMALE.npy,882,0.02
Magnolia_hypoleuca.npy,3348,0.23
Magnolia_soulangeana.npy,1656,0.07
Magnolia_specPETRIN.npy,1372,0.04
Mahonia_aquifolium.npy,789,0.02
Malus_domestica.npy,1135,0.03
Mespilus_germanica.npy,1040,0.04
Morus_alba.npy,1916,0.05
Myrtus_communis.npy,370,0.13
Nerium_oleander.npy,432,0.01
Olea_oleaster.npy,363,0.01
Ostrya_carpinifolia.npy,965,0.03
Paliurus_spinachristi.npy,453,0.01
Parthenocissus_inserta.npy,964,0.03
Parthenocissus_tricuspidata.npy,1505,0.1
Paulownia_tomentosa.npy,2822,0.09
Phellodendron_amurense.npy,1089,0.04
Philadelphus_coronarius.npy,941,0.02
Physocarpus_opulifolius.npy,992,0.02
Pistacia_lentiscus.npy,176,0.0
Pittosporum_tobira.npy,982,0.03
Platanus_hispanica.npy,5130,0.16
Populus_alba.npy,1323,0.03
Populus_canadensis.npy,1404,0.04
Populus_canescens.npy,1789,0.05
Populus_nigra.npy,1475,0.06
Populus_tremula.npy,1290,0.04
Prunus_armeniaca.npy,916,0.02
Prunus_avium.npy,1,0.0
Prunus_cerasifera.npy,496,0.01
Prunus_laurocerasus.npy,1086,0.03
Prunus_mahaleb.npy,736,0.02
Prunus_padus.npy,887,0.02
Prunus_persica.npy,1139,0.07
Prunus_spinosa.npy,616,0.01
Pterocarya_pterocarpa.npy,1001,0.04
Punica_granatum.npy,424,0.01
Pyracantha_coccinea.npy,493,0.01
Pyrus_amygdaliformis.npy,279,0.0
Quercus_cerris.npy,1610,0.06
Quercus_frainetto.npy,2717,0.1
Quercus_macrocarpa.npy,2199,0.09
Quercus_palustris.npy,2371,0.08
Quercus_petraea.npy,1759,0.07
Quercus_pubescens.npy,1887,0.06
Quercus_robur.npy,1903,0.06
Quercus_rubra.npy,3241,0.09
Rhamnus_cathartica.npy,625,0.01
Rhus_hirta.npy,492,0.02
Ribes_alpinum.npy,837,0.01
Ribes_rubra.npy,1078,0.03
Robinia_pseudacacia.npy,679,0.01
Robinia_viscosa.npy,593,0.01
Rosa_canina.npy,416,0.01
Ruscus_aculeatus.npy,340,0.01
Salix_alba.npy,247,0.0
Salix_aurita.npy,744,0.01
Salix_caprea.npy,1135,0.03
Salix_pentandra.npy,944,0.03
Salix_purpurea.npy,566,0.02
Sambucus_nigra.npy,890,0.03
Sambucus_racemosa.npy,644,0.02
Sophora_japonica.npy,582,0.01
Sorbaria_sorbifolia.npy,422,0.01
Sorbus_aria.npy,1230,0.04
Sorbus_aucuparia.npy,434,0.01
Sorbus_domestica.npy,435,0.01
Sorbus_intermedia.npy,1314,0.04
Sorbus_torminalis.npy,1821,0.04
Spiraea_douglasii.npy,496,0.01
Spiraea_japonica.npy,677,0.02
Spiraea_salicifolia.npy,363,0.01
Spiraea_vanhouttei.npy,408,0.01
Staphylea_pinnata.npy,803,0.01
Symphoricarpos_albus.npy,720,0.01
Symphoricarpos_orbiculatus.npy,368,0.0
Syringa_chinensis.npy,622,0.01
Syringa_josikaea.npy,1276,0.04
Syringa_prestoniae.npy,1562,0.06
Syringa_vulgaris.npy,1132,0.03
Tilia_cordata.npy,713,0.01
Tilia_platyphyllos.npy,1868,0.05
Tilia_tomentosa.npy,1501,0.04
Ulmus_glabra.npy,1027,0.03
Ulmus_laevis.npy,1832,0.05
Ulmus_minor.npy,771,0.02
Ulmus_pumila.npy,610,0.01
Vaccinium_myrtillus.npy,346,0.01
Vaccinium_uliginosum.npy,274,0.0
Vaccinium_vitisidaea.npy,199,0.0
Viburnum_farreri.npy,839,0.02
Viburnum_lantana.npy,1536,0.08
Viburnum_opulus.npy,943,0.02
Viburnum_pragense.npy,479,0.01
Viburnum_rhytidophyllum.npy,1079,0.04
Vinca_major.npy,591,0.01
Vinca_minor.npy,514,0.01
Vitis_riparia.npy,2122,0.05
Vitis_vinifera.npy,3248,0.12
Weigela_florida.npy,360,0.01
Wisteria_sinensis.npy,878,0.02
Zelkova_serrata.npy,1342,0.05
