image_name,rectangle_count,execution_time_sec
Bone-10_binary.npy,1491,0.03
Bone-13_binary.npy,1105,0.02
Bone-17_binary.npy,1322,0.03
Bone-18_binary.npy,1142,0.02
Comma-12_binary.npy,953,0.02
Comma-13_binary.npy,932,0.02
Comma-14_binary.npy,947,0.02
Comma-17_binary.npy,1028,0.02
Glas-10_binary.npy,1162,0.02
Glas-11_binary.npy,975,0.02
Glas-3_binary.npy,1263,0.03
Glas-8_binary.npy,1176,0.02
HCircle-12_binary.npy,655,0.01
HCircle-16_binary.npy,729,0.01
HCircle-17_binary.npy,709,0.01
HCircle-6_binary.npy,665,0.01
Heart-10_binary.npy,1614,0.03
Heart-16_binary.npy,1620,0.03
Heart-7_binary.npy,1671,0.03
Heart-9_binary.npy,1592,0.1
Misk-17_binary.npy,1574,0.03
Misk-3_binary.npy,1432,0.03
Misk-4_binary.npy,1523,0.03
Misk-7_binary.npy,1522,0.03
apple-10_binary.npy,670,0.01
apple-15_binary.npy,825,0.02
apple-18_binary.npy,743,0.01
apple-8_binary.npy,687,0.01
bat-14_binary.npy,2311,0.04
bat-18_binary.npy,1936,0.05
bat-1_binary.npy,1878,0.04
bat-3_binary.npy,2211,0.13
beetle-12_binary.npy,1113,0.02
beetle-13_binary.npy,1632,0.03
beetle-16_binary.npy,1070,0.02
beetle-1_binary.npy,3463,0.07
bell-13_binary.npy,738,0.01
bell-20_binary.npy,704,0.01
bell-2_binary.npy,165,0.0
bell-7_binary.npy,349,0.01
bird-11_binary.npy,937,0.02
bird-18_binary.npy,708,0.01
bird-4_binary.npy,2016,0.04
bird-9_binary.npy,985,0.02
bottle-03_binary.npy,309,0.01
bottle-04_binary.npy,339,0.01
bottle-13_binary.npy,289,0.01
bottle-18_binary.npy,313,0.01
brick-07_binary.npy,487,0.01
brick-10_binary.npy,440,0.01
brick-12_binary.npy,481,0.01
brick-18_binary.npy,483,0.01
butterfly-11_binary.npy,2705,0.05
butterfly-12_binary.npy,1867,0.04
butterfly-17_binary.npy,2796,0.05
butterfly-19_binary.npy,1272,0.03
camel-12_binary.npy,1184,0.02
camel-13_binary.npy,1416,0.03
camel-17_binary.npy,1746,0.03
camel-2_binary.npy,1629,0.03
