configuration,seed,rectangles,execution_time,fitness
baseline,42,1162,21.6677885055542,3160.4800000000005
best,670488,637,172.21624898910522,3685.4800000000005
best,116740,637,174.76072883605957,3685.4800000000005
best,26226,637,165.2646095752716,3685.4800000000005
best,777573,637,172.5044708251953,3685.4800000000005
best,288390,637,168.9777536392212,3685.4800000000005
best,256788,637,176.3514256477356,3685.4800000000005
best,234054,637,167.03799986839294,3685.4800000000005
best,146317,637,183.34299898147583,3685.4800000000005
best,772247,637,175.43678259849548,3685.4800000000005
best,107474,637,161.1858971118927,3685.4800000000005
