p_geometry,p_merge,p_local,rectangles,execution_time,fitness
0.05,0.05,0.05,1264,537.5200815200806,4976.24
0.05,0.05,0.1,1265,518.8138756752014,4975.24
0.05,0.05,0.2,1264,551.1036901473999,4976.24
0.05,0.05,0.3,1264,554.7752652168274,4976.24
0.05,0.1,0.05,1264,341.16840291023254,4976.24
0.05,0.1,0.1,1265,337.41926980018616,4975.24
0.05,0.1,0.2,1265,349.4084587097168,4975.24
0.05,0.1,0.3,1264,354.1429829597473,4976.24
0.05,0.2,0.05,1264,217.58564352989197,4976.24
0.05,0.2,0.1,1264,200.29179048538208,4976.24
0.05,0.2,0.2,1264,204.42499017715454,4976.24
0.05,0.2,0.3,1264,217.414781332016,4976.24
0.05,0.3,0.05,1264,166.53970670700073,4976.24
0.05,0.3,0.1,1264,159.36047458648682,4976.24
0.05,0.3,0.2,1266,175.90872836112976,4974.24
0.05,0.3,0.3,1264,157.44464898109436,4976.24
0.1,0.05,0.05,1265,587.7699451446533,4975.24
0.1,0.05,0.1,1265,601.0557243824005,4975.24
0.1,0.05,0.2,1264,609.4847428798676,4976.24
0.1,0.05,0.3,1264,585.5798120498657,4976.24
0.1,0.1,0.05,1264,320.96949434280396,4976.24
0.1,0.1,0.1,1264,339.77190685272217,4976.24
0.1,0.1,0.2,1264,383.3054795265198,4976.24
0.1,0.1,0.3,1265,381.4704508781433,4975.24
0.1,0.2,0.05,1264,231.28373384475708,4976.24
0.1,0.2,0.1,1264,228.0338327884674,4976.24
0.1,0.2,0.2,1264,242.75193667411804,4976.24
0.1,0.2,0.3,1264,226.4843475818634,4976.24
0.1,0.3,0.05,1264,176.78841137886047,4976.24
0.1,0.3,0.1,1264,181.44109678268433,4976.24
0.1,0.3,0.2,1264,182.1432387828827,4976.24
0.1,0.3,0.3,1264,193.48277878761292,4976.24
0.2,0.05,0.05,1264,601.0854866504669,4976.24
0.2,0.05,0.1,1265,597.267410993576,4975.24
0.2,0.05,0.2,1264,607.1362683773041,4976.24
0.2,0.05,0.3,1265,567.6214649677277,4975.24
0.2,0.1,0.05,1264,370.9935710430145,4976.24
0.2,0.1,0.1,1264,392.1086800098419,4976.24
0.2,0.1,0.2,1264,390.161012172699,4976.24
0.2,0.1,0.3,1264,378.0903797149658,4976.24
0.2,0.2,0.05,1265,230.50242447853088,4975.24
0.2,0.2,0.1,1264,232.36082482337952,4976.24
0.2,0.2,0.2,1264,240.69003200531006,4976.24
0.2,0.2,0.3,1265,244.45185208320618,4975.24
0.2,0.3,0.05,1264,191.38984847068787,4976.24
0.2,0.3,0.1,1264,182.786554813385,4976.24
0.2,0.3,0.2,1264,204.6400454044342,4976.24
0.2,0.3,0.3,1264,204.1228485107422,4976.24
0.3,0.05,0.05,1265,704.4816243648529,4975.24
0.3,0.05,0.1,1264,661.5133204460144,4976.24
0.3,0.05,0.2,1264,718.8177182674408,4976.24
0.3,0.05,0.3,1264,627.8371193408966,4976.24
0.3,0.1,0.05,1264,349.17724418640137,4976.24
0.3,0.1,0.1,1264,375.4193856716156,4976.24
0.3,0.1,0.2,1264,374.3500099182129,4976.24
0.3,0.1,0.3,1265,390.7065079212189,4975.24
0.3,0.2,0.05,1265,227.14731431007385,4975.24
0.3,0.2,0.1,1265,235.48430490493774,4975.24
0.3,0.2,0.2,1264,232.59658241271973,4976.24
0.3,0.2,0.3,1264,236.8409812450409,4976.24
0.3,0.3,0.05,1264,192.84988069534302,4976.24
0.3,0.3,0.1,1264,174.01358008384705,4976.24
0.3,0.3,0.2,1264,214.34549236297607,4976.24
0.3,0.3,0.3,1264,209.78312134742737,4976.24
