configuration,seed,rectangles,execution_time,fitness
baseline,42,2348,82.1484649181366,3892.24
best,670488,1264,614.468257188797,4976.24
best,116740,1264,627.6792185306549,4976.24
best,26226,1264,636.5389926433563,4976.24
best,777573,1264,603.6815099716187,4976.24
best,288390,1264,633.5609307289124,4976.24
best,256788,1264,637.8605670928955,4976.24
best,234054,1264,644.0851624011993,4976.24
best,146317,1265,649.4790682792664,4975.24
best,772247,1264,619.801237821579,4976.24
best,107474,1264,624.5502555370331,4976.24
