p_geometry,p_merge,p_local,rectangles,execution_time,fitness
0.05,0.05,0.05,149,5.529253244400024,-49.64999999999999
0.05,0.05,0.1,153,5.22724175453186,-53.64999999999999
0.05,0.05,0.2,148,5.108089208602905,-48.64999999999999
0.05,0.05,0.3,147,6.079159736633301,-47.64999999999999
0.05,0.1,0.05,150,5.14704704284668,-50.64999999999999
0.05,0.1,0.1,147,3.4508306980133057,-47.64999999999999
0.05,0.1,0.2,147,5.428379058837891,-47.64999999999999
0.05,0.1,0.3,148,4.995116710662842,-48.64999999999999
0.05,0.2,0.05,151,2.905136823654175,-51.64999999999999
0.05,0.2,0.1,152,3.3724939823150635,-52.64999999999999
0.05,0.2,0.2,150,4.402980804443359,-50.64999999999999
0.05,0.2,0.3,152,3.785175085067749,-52.64999999999999
0.05,0.3,0.05,151,1.9170827865600586,-51.64999999999999
0.05,0.3,0.1,151,2.0187244415283203,-51.64999999999999
0.05,0.3,0.2,149,2.9773731231689453,-49.64999999999999
0.05,0.3,0.3,146,2.708184242248535,-46.64999999999999
0.1,0.05,0.05,154,5.565398931503296,-54.64999999999999
0.1,0.05,0.1,155,5.755404233932495,-55.64999999999999
0.1,0.05,0.2,154,5.348647117614746,-54.64999999999999
0.1,0.05,0.3,153,5.458520889282227,-53.64999999999999
0.1,0.1,0.05,153,3.229637384414673,-53.64999999999999
0.1,0.1,0.1,146,3.7549781799316406,-46.64999999999999
0.1,0.1,0.2,151,3.5382325649261475,-51.64999999999999
0.1,0.1,0.3,153,3.4832704067230225,-53.64999999999999
0.1,0.2,0.05,151,2.3662123680114746,-51.64999999999999
0.1,0.2,0.1,152,2.405118942260742,-52.64999999999999
0.1,0.2,0.2,148,3.222273588180542,-48.64999999999999
0.1,0.2,0.3,149,3.9223415851593018,-49.64999999999999
0.1,0.3,0.05,150,2.126112222671509,-50.64999999999999
0.1,0.3,0.1,150,2.2984566688537598,-50.64999999999999
0.1,0.3,0.2,147,2.6239335536956787,-47.64999999999999
0.1,0.3,0.3,148,2.451171875,-48.64999999999999
0.2,0.05,0.05,152,5.153519868850708,-52.64999999999999
0.2,0.05,0.1,152,5.155017614364624,-52.64999999999999
0.2,0.05,0.2,148,5.2244579792022705,-48.64999999999999
0.2,0.05,0.3,150,5.295387506484985,-50.64999999999999
0.2,0.1,0.05,148,3.7762451171875,-48.64999999999999
0.2,0.1,0.1,148,4.789940595626831,-48.64999999999999
0.2,0.1,0.2,154,5.925001621246338,-54.64999999999999
0.2,0.1,0.3,156,4.424248695373535,-56.64999999999999
0.2,0.2,0.05,151,2.4785993099212646,-51.64999999999999
0.2,0.2,0.1,150,3.302769660949707,-50.64999999999999
0.2,0.2,0.2,150,3.603663444519043,-50.64999999999999
0.2,0.2,0.3,144,3.0654520988464355,-44.64999999999999
0.2,0.3,0.05,150,2.30766224861145,-50.64999999999999
0.2,0.3,0.1,150,2.2152953147888184,-50.64999999999999
0.2,0.3,0.2,147,4.5586793422698975,-47.64999999999999
0.2,0.3,0.3,145,4.458365440368652,-45.64999999999999
0.3,0.05,0.05,150,5.669223070144653,-50.64999999999999
0.3,0.05,0.1,149,4.649929761886597,-49.64999999999999
0.3,0.05,0.2,149,4.986103296279907,-49.64999999999999
0.3,0.05,0.3,153,5.301698446273804,-53.64999999999999
0.3,0.1,0.05,152,3.846186876296997,-52.64999999999999
0.3,0.1,0.1,150,4.055834054946899,-50.64999999999999
0.3,0.1,0.2,148,4.260305643081665,-48.64999999999999
0.3,0.1,0.3,147,4.96466064453125,-47.64999999999999
0.3,0.2,0.05,150,2.6829965114593506,-50.64999999999999
0.3,0.2,0.1,150,2.729231119155884,-50.64999999999999
0.3,0.2,0.2,152,3.4281980991363525,-52.64999999999999
0.3,0.2,0.3,155,2.83917236328125,-55.64999999999999
0.3,0.3,0.05,146,3.04978346824646,-46.64999999999999
0.3,0.3,0.1,147,3.1759769916534424,-47.64999999999999
0.3,0.3,0.2,148,2.2766590118408203,-48.64999999999999
0.3,0.3,0.3,148,2.903953790664673,-48.64999999999999
