configuration,seed,rectangles,execution_time,fitness
baseline,42,253,1.0949978828430176,-153.64999999999998
best,670488,149,2.630725145339966,-49.64999999999999
best,116740,150,3.2246720790863037,-50.64999999999999
best,26226,158,2.99196195602417,-58.64999999999999
best,777573,149,3.7957048416137695,-49.64999999999999
best,288390,145,3.880540370941162,-45.64999999999999
best,256788,147,3.8318381309509277,-47.64999999999999
best,234054,152,2.9789741039276123,-52.64999999999999
best,146317,147,3.032411575317383,-47.64999999999999
best,772247,148,2.5359902381896973,-48.64999999999999
best,107474,146,3.4428534507751465,-46.64999999999999
